,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,450,901,970,950,958,917,1032,1128,1228,1159,960,1097,978,1057,1055,983,915,849,780
GS24,1020,451,1132,1218,1181,1186,1141,1288,1428,1529,1437,1179,1348,1229,1327,1322,1223,1144,1047,975
GS24,1020,452,1430,1520,1479,1488,1420,1625,1779,1925,1803,1491,1685,1534,1638,1652,1535,1410,1318,1207
GS24,1020,453,1741,1846,1798,1824,1753,1971,2159,2367,2186,1817,2061,1859,2008,2003,1859,1721,1595,1476
GS24,1020,454,2169,2294,2248,2270,2174,2438,2727,2962,2743,2273,2582,2331,2502,2494,2311,2150,1980,1843
GS24,1020,455,2627,2805,2756,2751,2626,2955,3297,3568,3333,2752,3148,2849,3032,3003,2815,2620,2397,2238
GS24,1020,456,3155,3368,3286,3306,3164,3544,3985,4309,4010,3301,3760,3410,3637,3617,3363,3109,2896,2658
GS24,1020,457,3811,4049,3961,3960,3774,4264,4796,5185,4841,3979,4545,4092,4391,4344,4019,3770,3461,3181
GS24,1020,458,4499,4797,4671,4699,4474,5040,5713,6214,5810,4745,5387,4878,5189,5175,4791,4462,4137,3766
GS24,1020,459,5362,5710,5599,5632,5346,5990,6846,7372,6916,5655,6420,5823,6193,6175,5714,5297,4909,4479
GS24,1020,460,6278,6706,6528,6568,6272,6966,7972,8646,8101,6636,7551,6820,7235,7207,6686,6220,5730,5215
GS24,1020,461,7209,7729,7495,7509,7204,8015,9211,10007,9334,7674,8734,7862,8307,8309,7739,7187,6597,6008
GS24,1020,462,8273,8825,8594,8637,8225,9169,10562,11487,10761,8822,10011,8992,9542,9550,8855,8237,7580,6910
GS24,1020,463,9530,10134,9864,9916,9455,10498,12175,13308,12450,10167,11554,10379,10928,10981,10182,9462,8691,7944
GS24,1020,464,10593,11284,11024,11073,10507,11736,13637,14852,13891,11437,13022,11627,12293,12295,11402,10615,9774,8853
GS24,1020,465,11629,12476,12136,12184,11597,12833,14975,16361,15353,12583,14322,12867,13532,13560,12569,11706,10745,9772
GS24,1020,466,13019,13844,13478,13510,12858,14259,16748,18274,17078,14062,16027,14380,15057,15111,14030,13019,11978,10879
GS24,1020,467,13976,14901,14546,14590,13858,15375,18061,19730,18576,15236,17366,15513,16269,16335,15168,14105,12985,11762
GS24,1020,468,14934,15934,15496,15556,14800,16342,19353,21209,19896,16309,18613,16611,17358,17458,16203,15147,13886,12531
GS24,1020,469,15829,16810,16417,16431,15626,17311,20467,22435,21072,17330,19685,17708,18415,18545,17191,15998,14712,13307
GS24,1020,470,16787,17841,17316,17353,16529,18314,21810,23918,22425,18463,21032,18850,19570,19734,18248,17023,15645,14196
GS24,1020,471,17308,18436,17950,17844,17062,18825,22521,24764,23251,19155,21795,19481,20239,20397,18912,17615,16180,14675
GS24,1020,472,17641,18760,18271,18287,17402,19273,23046,25311,23818,19534,22280,19988,20742,20845,19359,18091,16552,15029
GS24,1020,473,18174,19298,18792,18829,17896,19824,23753,26149,24544,20207,23093,20654,21380,21614,20054,18672,17103,15510
GS24,1020,474,18283,19457,18975,18989,18042,19965,23969,26340,24788,20426,23344,20885,21606,21755,20239,18779,17310,15676
GS24,1020,475,18181,19287,18825,18804,17942,19856,23872,26371,24716,20400,23322,20898,21526,21709,20137,18817,17262,15682
GS24,1020,476,18248,19399,18919,18937,18016,19995,23999,26506,24868,20491,23447,20993,21650,21798,20264,18894,17382,15737
GS24,1020,477,17912,19067,18680,18652,17790,19712,23746,26172,24591,20273,23207,20726,21452,21514,20008,18709,17213,15616
GS24,1020,478,17542,18638,18126,18116,17305,19150,23129,25536,23983,19770,22603,20283,20898,21023,19593,18300,16799,15294
GS24,1020,479,17302,18431,17994,17997,17169,19101,22946,25394,23828,19707,22458,20196,20709,20863,19477,18144,16760,15159
GS24,1020,480,16760,17848,17454,17431,16617,18496,22234,24464,23110,19019,21773,19564,20090,20284,18891,17586,16155,14682
GS24,1020,481,16468,17484,17065,17071,16309,18086,21775,24037,22571,18644,21362,19216,19664,19839,18503,17221,15934,14411
GS24,1020,482,16049,17118,16734,16686,16017,17745,21330,23542,22104,18292,20840,18811,19260,19466,18081,16913,15596,14217
GS24,1020,483,15542,16518,16131,16155,15441,17157,20592,22662,21393,17604,20140,18120,18590,18747,17441,16322,15069,13726
GS24,1020,484,15384,16377,15957,16014,15275,16973,20385,22474,21100,17468,19842,17949,18399,18564,17311,16119,14878,13577
GS24,1020,485,14909,15885,15502,15545,14843,16491,19721,21733,20474,16904,19321,17377,17817,17983,16797,15701,14499,13215
GS24,1020,486,14685,15689,15258,15298,14642,16271,19466,21376,20142,16569,18962,17193,17554,17715,16423,15455,14232,13008
GS24,1020,487,14527,15450,15066,15110,14422,16058,19070,21029,19708,16361,18644,16858,17238,17406,16236,15176,14013,12828
GS24,1020,488,14379,15326,14954,14968,14302,15886,18822,20736,19530,16135,18409,16672,17043,17142,16012,14996,13856,12685
GS24,1020,489,14277,15227,14812,14901,14170,15794,18702,20582,19326,15987,18317,16532,16910,17028,15913,14893,13786,12565
GS24,1020,490,14405,15287,14890,14891,14233,15821,18608,20535,19340,15994,18267,16512,16882,17018,15811,14854,13746,12536
GS24,1020,491,14324,15254,14897,14871,14216,15745,18576,20354,19208,15864,18131,16470,16814,16900,15721,14809,13736,12514
GS24,1020,492,14526,15473,15071,15049,14369,15993,18705,20423,19339,16022,18349,16555,16891,17048,15864,14906,13782,12660
GS24,1020,493,14823,15748,15275,15329,14667,16275,18934,20660,19587,16278,18523,16888,17128,17215,16085,15092,13992,12887
GS24,1020,494,15102,15979,15652,15614,15004,16599,19183,21049,19804,16470,18782,17145,17412,17516,16276,15350,14225,13179
GS24,1020,495,15505,16439,16056,16049,15348,17017,19545,21421,20183,16866,19213,17600,17701,17826,16639,15669,14575,13499
GS24,1020,496,15931,16835,16495,16500,15739,17431,19913,21782,20580,17215,19576,17979,18007,18129,16882,15954,14910,13782
