,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mNGctrl (NGfree),1020,450,51,53,53,54,55,52,54,52,55,57,58,61,49,49,49,52,91,57
mNGctrl (NGfree),1020,451,54,53,53,51,52,57,57,55,57,58,56,61,50,51,51,54,89,59
mNGctrl (NGfree),1020,452,53,53,53,53,52,55,55,54,54,57,60,60,50,52,52,53,89,57
mNGctrl (NGfree),1020,453,52,55,55,52,55,55,60,53,55,58,59,62,53,54,54,54,87,56
mNGctrl (NGfree),1020,454,54,54,54,55,53,55,61,54,54,58,60,62,51,54,52,52,88,55
mNGctrl (NGfree),1020,455,54,54,55,53,55,54,60,53,53,57,58,64,51,52,53,53,85,58
mNGctrl (NGfree),1020,456,52,55,52,55,53,58,61,53,54,57,60,62,50,54,54,53,81,55
mNGctrl (NGfree),1020,457,53,56,53,53,52,59,67,54,55,60,60,64,52,52,53,53,85,55
mNGctrl (NGfree),1020,458,53,55,55,55,54,59,67,54,54,60,59,60,54,53,54,56,80,57
mNGctrl (NGfree),1020,459,53,53,55,54,56,55,72,56,55,59,57,61,54,54,53,57,81,58
mNGctrl (NGfree),1020,460,49,54,52,56,57,57,74,54,55,61,58,65,52,54,55,55,82,59
mNGctrl (NGfree),1020,461,54,51,54,54,52,58,79,53,56,63,57,62,53,52,52,54,82,57
mNGctrl (NGfree),1020,462,53,52,53,52,56,55,82,54,56,58,63,60,53,53,52,55,84,59
mNGctrl (NGfree),1020,463,51,52,53,53,54,56,87,52,55,59,59,61,53,54,51,56,79,56
mNGctrl (NGfree),1020,464,52,54,55,55,53,57,89,56,58,59,60,63,53,52,55,55,85,58
mNGctrl (NGfree),1020,465,56,53,54,57,55,57,95,55,56,62,58,61,55,54,53,54,81,56
mNGctrl (NGfree),1020,466,54,56,55,56,57,59,97,56,56,58,61,61,54,54,54,54,79,60
mNGctrl (NGfree),1020,467,54,53,55,57,55,58,101,53,55,63,59,63,58,55,54,59,81,59
mNGctrl (NGfree),1020,468,55,56,55,55,55,59,106,58,59,62,63,64,57,56,54,57,81,56
mNGctrl (NGfree),1020,469,57,56,54,59,57,59,111,56,56,65,63,65,57,56,55,56,79,62
mNGctrl (NGfree),1020,470,58,58,55,57,56,58,113,55,57,64,62,64,60,56,55,55,79,58
mNGctrl (NGfree),1020,471,57,59,56,57,57,59,114,56,59,61,62,66,55,53,56,54,82,58
mNGctrl (NGfree),1020,472,58,57,56,60,59,60,117,55,61,63,65,66,58,56,54,58,82,59
mNGctrl (NGfree),1020,473,59,58,59,60,60,62,120,59,64,66,63,70,64,56,56,58,80,62
mNGctrl (NGfree),1020,474,58,60,60,58,61,62,123,62,63,69,66,67,58,58,57,63,80,64
mNGctrl (NGfree),1020,475,62,61,61,61,65,65,123,62,62,70,67,68,63,62,59,62,81,62
mNGctrl (NGfree),1020,476,63,64,65,63,66,66,124,62,68,71,67,72,66,58,59,64,82,65
mNGctrl (NGfree),1020,477,65,65,65,67,66,70,126,67,68,75,70,69,67,65,61,68,89,64
mNGctrl (NGfree),1020,478,68,66,67,71,70,72,132,69,71,72,73,75,71,66,63,66,86,66
mNGctrl (NGfree),1020,479,67,69,69,72,71,74,128,69,69,78,78,77,70,68,66,69,88,70
mNGctrl (NGfree),1020,480,69,75,75,76,76,77,131,69,74,78,75,78,73,69,64,71,90,73
mNGctrl (NGfree),1020,481,76,74,79,79,77,78,133,75,74,82,79,86,80,71,71,76,95,76
mNGctrl (NGfree),1020,482,78,79,80,83,81,84,135,77,80,84,79,90,80,77,75,79,97,79
mNGctrl (NGfree),1020,483,83,81,84,87,87,86,137,84,82,89,84,87,84,78,75,81,100,84
mNGctrl (NGfree),1020,484,89,93,94,97,91,95,141,90,91,96,89,94,91,83,79,85,103,86
mNGctrl (NGfree),1020,485,91,90,100,100,96,101,145,89,89,97,98,98,95,88,82,92,111,92
mNGctrl (NGfree),1020,486,103,106,110,110,110,110,157,97,99,109,105,110,101,94,93,94,116,103
mNGctrl (NGfree),1020,487,112,111,120,118,113,120,163,109,108,115,110,117,110,106,94,101,125,109
mNGctrl (NGfree),1020,488,120,122,133,130,130,133,174,118,118,124,122,124,121,115,105,114,130,115
mNGctrl (NGfree),1020,489,136,141,146,148,138,147,187,127,128,139,129,135,131,119,113,119,138,130
mNGctrl (NGfree),1020,490,154,158,167,165,157,167,207,148,144,154,143,150,149,141,124,137,159,143
mNGctrl (NGfree),1020,491,172,174,187,185,180,185,221,158,160,171,158,167,168,153,139,148,170,154
mNGctrl (NGfree),1020,492,204,203,221,219,208,218,254,188,182,196,179,196,190,178,155,172,192,176
mNGctrl (NGfree),1020,493,232,238,253,252,242,249,279,216,207,221,207,218,213,203,178,193,220,203
mNGctrl (NGfree),1020,494,268,272,299,296,282,287,321,249,242,256,236,252,263,235,205,227,250,228
mNGctrl (NGfree),1020,495,318,318,358,349,342,342,373,297,278,295,278,291,301,276,243,260,291,274
mNGctrl (NGfree),1020,496,368,378,425,413,392,404,430,339,327,345,326,336,356,318,280,305,336,317
mNGctrl (NGfree),1020,497,442,450,505,494,466,485,507,409,395,413,381,396,418,387,318,356,399,371
mNGctrl (NGfree),1020,498,536,545,611,592,559,581,600,494,470,492,455,480,499,460,383,433,457,445
mNGctrl (NGfree),1020,499,637,649,725,703,653,692,709,574,564,580,531,564,599,543,449,504,547,528
mNGctrl (NGfree),1020,500,757,768,850,832,771,804,829,694,659,693,638,667,703,647,533,591,634,628
mNGctrl (NGfree),1020,501,890,899,1007,985,916,948,982,809,789,820,746,789,830,753,619,695,763,735
mNGctrl (NGfree),1020,502,1070,1080,1218,1183,1096,1139,1165,982,946,989,896,943,997,902,752,835,898,881
mNGctrl (NGfree),1020,503,1238,1245,1413,1369,1274,1320,1329,1146,1088,1141,1042,1081,1150,1049,864,964,1046,1019
mNGctrl (NGfree),1020,504,1439,1449,1632,1572,1470,1513,1553,1318,1274,1317,1222,1262,1332,1220,1003,1127,1211,1181
