,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24
p53 NTAD,1020,450,1446,1347,1525,1380,1415,1474,1537,1462,1365,1206,1234,1529,1473,1426,1472,1366,1343,1359,1470,1460,1515,1468,1503,1592,1810,1782,1853,1937,1930,1911,1689,1593,1526,1414,1339,1209,1632,1495,1540,1498,1354,807,1653,1486,1331,1252,1177,970,1455,1429,1577,1526,1411,1498,1423,1440,1625,1490,1404,1388,1333,1576,1393,1289,1341,1173,1362,1562,1563,1324,1426,1489,1653,1682,1710,1672,1648,1560,1600,1567,1522,1414,1206,1186,1592,1475,1459,1116,1585,943,1584,1486,1436,1243,1222,946
p53 NTAD,1020,451,1781,1660,1899,1728,1775,1840,1900,1795,1681,1462,1516,1868,1821,1761,1828,1700,1657,1672,1839,1804,1863,1830,1862,1987,2248,2221,2297,2403,2410,2358,2099,1991,1889,1756,1651,1500,2028,1858,1881,1867,1692,984,2043,1831,1650,1550,1445,1222,1803,1775,1969,1881,1760,1825,1771,1787,2025,1848,1748,1712,1636,1933,1678,1534,1573,1354,1673,1942,1950,1659,1758,1851,2052,2091,2092,2072,2043,1926,1994,1909,1883,1760,1488,1454,1981,1840,1802,1389,1944,1159,1972,1833,1769,1519,1498,1159
p53 NTAD,1020,452,2211,2058,2367,2146,2194,2283,2359,2217,2057,1793,1830,2259,2257,2160,2255,2103,2037,2057,2263,2226,2303,2267,2312,2447,2777,2732,2847,2979,2945,2927,2604,2436,2328,2165,2039,1853,2479,2282,2316,2285,2068,1205,2526,2272,2049,1912,1764,1485,2238,2190,2425,2350,2170,2261,2214,2213,2490,2279,2146,2112,1993,2365,2052,1851,1871,1580,2079,2385,2402,2029,2183,2259,2527,2571,2611,2560,2548,2382,2465,2383,2345,2177,1854,1788,2441,2276,2220,1717,2421,1428,2428,2260,2183,1879,1843,1424
p53 NTAD,1020,453,2713,2515,2880,2635,2685,2802,2866,2693,2504,2159,2225,2742,2758,2643,2743,2539,2496,2484,2784,2709,2822,2761,2823,3008,3387,3348,3491,3656,3624,3586,3167,2987,2853,2640,2504,2269,3059,2787,2831,2815,2520,1467,3117,2768,2491,2339,2152,1799,2735,2696,2982,2863,2650,2747,2705,2718,3042,2795,2641,2549,2445,2850,2433,2170,2218,1851,2551,2915,2934,2504,2680,2775,3094,3143,3188,3136,3103,2915,3032,2887,2851,2649,2256,2181,3001,2778,2721,2093,2934,1746,2963,2782,2663,2314,2237,1718
p53 NTAD,1020,454,3337,3120,3559,3256,3320,3457,3510,3290,3065,2611,2710,3339,3378,3246,3371,3124,3037,3034,3410,3346,3469,3373,3480,3701,4167,4135,4298,4519,4471,4431,3908,3670,3507,3261,3089,2795,3759,3418,3464,3448,3104,1800,3823,3400,3063,2835,2653,2202,3367,3292,3648,3526,3252,3374,3329,3350,3740,3432,3237,3111,2986,3483,2953,2636,2656,2167,3115,3602,3630,3064,3276,3391,3828,3879,3930,3883,3831,3547,3692,3558,3504,3254,2781,2683,3667,3402,3337,2547,3595,2124,3637,3381,3250,2809,2738,2114
p53 NTAD,1020,455,4055,3814,4372,3972,4069,4228,4271,4024,3727,3170,3295,4057,4145,3971,4111,3786,3697,3681,4170,4081,4223,4121,4229,4533,5073,4994,5242,5429,5421,5402,4731,4476,4250,3938,3729,3352,4530,4127,4231,4199,3759,2171,4616,4109,3713,3455,3206,2672,4144,4002,4466,4303,3955,4097,4066,4101,4598,4169,3929,3816,3639,4194,3567,3150,3160,2550,3815,4421,4430,3728,4013,4159,4634,4706,4759,4689,4627,4320,4498,4323,4268,3966,3358,3257,4462,4155,4049,3116,4363,2577,4427,4113,3925,3408,3313,2544
p53 NTAD,1020,456,4905,4628,5275,4810,4913,5091,5173,4841,4461,3802,3939,4887,4985,4773,4946,4557,4437,4442,5000,4934,5105,4971,5090,5461,6116,6052,6301,6586,6566,6531,5672,5392,5158,4738,4521,4070,5460,4975,5061,5015,4521,2623,5517,4963,4458,4178,3869,3210,4997,4836,5392,5169,4769,4936,4914,4955,5555,5023,4719,4591,4381,5050,4248,3740,3726,2972,4613,5287,5332,4523,4822,4963,5600,5686,5738,5662,5573,5230,5412,5236,5146,4779,4031,3932,5402,5006,4875,3726,5271,3097,5317,4950,4733,4114,3987,3043
p53 NTAD,1020,457,5828,5537,6323,5718,5863,6078,6108,5780,5317,4515,4693,5782,5926,5679,5910,5443,5283,5304,5967,5875,6083,5942,6077,6499,7258,7209,7480,7811,7790,7750,6823,6400,6092,5649,5368,4805,6503,5913,6007,5975,5349,3093,6552,5889,5308,4951,4610,3815,5952,5820,6431,6172,5688,5864,5885,5913,6636,5979,5629,5462,5203,5992,5033,4404,4363,3442,5512,6354,6343,5384,5751,5933,6669,6769,6838,6737,6649,6205,6414,6215,6130,5672,4809,4623,6384,5933,5798,4429,6248,3662,6313,5866,5616,4870,4719,3641
