,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,450,1189,1122,1102,1029,1073,1085,1123,1092,937,953,922,883,1195,1063,952,925,834,784
p53 NTAD,1020,451,1446,1376,1350,1290,1319,1324,1384,1331,1166,1168,1118,1066,1470,1308,1164,1133,1011,949
p53 NTAD,1020,452,1767,1691,1663,1579,1605,1628,1695,1620,1416,1417,1370,1309,1772,1608,1421,1373,1236,1157
p53 NTAD,1020,453,2212,2084,2053,1960,2017,2041,2112,2043,1765,1765,1716,1640,2257,1996,1780,1723,1538,1433
p53 NTAD,1020,454,2675,2548,2491,2374,2451,2469,2566,2484,2157,2160,2074,1969,2719,2418,2145,2087,1867,1742
p53 NTAD,1020,455,3234,3091,3004,2874,2928,2985,3094,2979,2607,2587,2503,2361,3234,2921,2586,2526,2250,2099
p53 NTAD,1020,456,3863,3681,3603,3461,3520,3558,3698,3572,3114,3103,3002,2840,3881,3496,3099,3030,2717,2523
p53 NTAD,1020,457,4607,4381,4321,4095,4177,4255,4427,4292,3712,3706,3550,3415,4646,4172,3704,3610,3240,2990
p53 NTAD,1020,458,5522,5258,5192,4904,5039,5088,5298,5156,4467,4443,4282,4064,5550,4960,4397,4297,3867,3585
p53 NTAD,1020,459,6420,6122,6003,5754,5863,5940,6198,5984,5193,5172,5023,4755,6496,5852,5173,5051,4515,4195
p53 NTAD,1020,460,7432,7113,6974,6654,6785,6891,7160,6951,6037,6014,5806,5512,7512,6739,5973,5866,5264,4855
p53 NTAD,1020,461,8486,8126,8011,7586,7799,7851,8229,7940,6921,6918,6671,6347,8619,7728,6846,6720,6042,5543
p53 NTAD,1020,462,9832,9408,9198,8824,9005,9091,9485,9209,7999,8005,7746,7333,9984,8978,7913,7803,6967,6437
p53 NTAD,1020,463,11105,10603,10442,9899,10101,10256,10706,10376,9057,9077,8682,8308,11223,10067,8934,8788,7868,7248
p53 NTAD,1020,464,12261,11784,11562,11011,11244,11359,11882,11582,10094,10078,9740,9239,12510,11256,9944,9741,8743,8101
p53 NTAD,1020,465,13672,13093,12859,12300,12570,12686,13242,12903,11251,11275,10891,10333,13959,12588,11120,10902,9785,9021
p53 NTAD,1020,466,14783,14205,13930,13304,13629,13769,14418,14070,12262,12283,11830,11201,15122,13683,12134,11875,10634,9813
p53 NTAD,1020,467,15875,15205,14967,14316,14609,14783,15433,15099,13176,13238,12763,12089,16262,14680,13039,12763,11472,10585
p53 NTAD,1020,468,16957,16280,16002,15260,15588,15764,16545,16149,14127,14209,13655,12938,17378,15727,13875,13679,12266,11320
p53 NTAD,1020,469,18064,17298,16984,16167,16536,16730,17656,17199,15027,15114,14536,13775,18496,16729,14850,14518,13033,12065
p53 NTAD,1020,470,18843,17982,17741,16896,17243,17422,18427,17988,15717,15760,15216,14406,19309,17472,15518,15175,13672,12623
p53 NTAD,1020,471,19176,18379,18153,17236,17663,17854,18758,18487,16151,16195,15660,14800,19767,17982,15916,15577,13972,12913
p53 NTAD,1020,472,19834,18963,18662,17851,18152,18365,19525,19107,16685,16736,16173,15311,20439,18491,16532,16167,14461,13362
p53 NTAD,1020,473,20157,19231,18926,18060,18456,18662,19847,19542,17002,17046,16455,15565,20789,18922,16804,16367,14741,13595
p53 NTAD,1020,474,20244,19376,18986,18094,18501,18806,19961,19583,17123,17120,16544,15641,20879,19003,16873,16516,14797,13696
p53 NTAD,1020,475,20354,19543,19109,18272,18716,18958,20124,19795,17289,17392,16736,15811,21108,19227,17010,16672,15009,13873
p53 NTAD,1020,476,20021,19222,18905,18009,18385,18611,19876,19513,17058,17123,16520,15629,20848,18986,16835,16481,14799,13696
p53 NTAD,1020,477,19881,18990,18677,17787,18198,18491,19677,19324,16907,16947,16425,15513,20636,18771,16722,16328,14699,13584
p53 NTAD,1020,478,19425,18640,18311,17454,17772,18062,19313,18968,16625,16632,16068,15231,20229,18429,16375,16036,14385,13322
p53 NTAD,1020,479,19117,18364,18030,17139,17552,17714,19026,18660,16400,16352,15794,15015,19919,18193,16105,15833,14186,13134
p53 NTAD,1020,480,18630,17895,17549,16689,17071,17282,18501,18151,15909,15918,15428,14604,19423,17687,15729,15385,13820,12811
p53 NTAD,1020,481,18318,17474,17157,16398,16816,16963,18213,17866,15689,15703,15169,14334,19007,17330,15455,15139,13626,12565
p53 NTAD,1020,482,17845,17077,16783,15981,16298,16477,17659,17370,15238,15276,14709,13996,18548,16879,15011,14749,13289,12258
p53 NTAD,1020,483,17248,16510,16213,15496,15783,15938,17114,16807,14766,14775,14262,13509,17981,16323,14576,14296,12818,11881
p53 NTAD,1020,484,16997,16238,16001,15299,15584,15803,16864,16533,14479,14537,14066,13376,17703,16149,14374,14061,12651,11723
p53 NTAD,1020,485,16569,15876,15607,14916,15222,15397,16417,16130,14174,14204,13697,13050,17254,15634,13979,13718,12325,11418
p53 NTAD,1020,486,16443,15814,15443,14742,15066,15273,16246,15939,14036,14053,13608,12925,17037,15522,13835,13553,12236,11337
p53 NTAD,1020,487,16245,15492,15265,14613,14832,15042,16027,15654,13746,13859,13365,12722,16826,15312,13575,13410,12030,11163
p53 NTAD,1020,488,15995,15308,15024,14386,14647,14864,15725,15404,13576,13618,13208,12525,16586,15047,13399,13153,11883,10991
p53 NTAD,1020,489,15960,15308,15046,14336,14676,14898,15750,15408,13504,13598,13117,12524,16510,15005,13374,13095,11850,10983
p53 NTAD,1020,490,15943,15325,15042,14296,14676,14832,15669,15301,13475,13585,13094,12480,16532,14936,13318,13093,11829,10982
p53 NTAD,1020,491,15850,15199,14963,14263,14594,14822,15534,15201,13383,13425,13031,12427,16385,14885,13215,13013,11752,10912
p53 NTAD,1020,492,16122,15510,15206,14481,14799,15043,15763,15439,13535,13588,13205,12575,16589,15086,13477,13137,11945,11096
p53 NTAD,1020,493,16303,15563,15283,14620,14931,15127,15854,15450,13622,13738,13294,12664,16684,15109,13475,13277,12032,11197
