,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,450,564,378,731,662,703,656,688,757,667,630,582,576,671,682,657,658,592,580
PUMA S3,1020,451,702,474,909,816,875,802,855,929,838,784,725,700,824,831,817,792,720,714
PUMA S3,1020,452,860,576,1131,1013,1070,991,1056,1167,1038,957,903,866,1024,1047,993,985,881,879
PUMA S3,1020,453,1040,702,1366,1229,1319,1216,1301,1397,1265,1189,1084,1042,1251,1249,1224,1210,1089,1066
PUMA S3,1020,454,1280,863,1683,1512,1620,1472,1592,1729,1562,1446,1330,1287,1521,1552,1503,1489,1330,1303
PUMA S3,1020,455,1578,1039,2041,1844,1960,1786,1935,2122,1888,1766,1626,1571,1854,1880,1820,1790,1608,1571
PUMA S3,1020,456,1877,1259,2459,2216,2370,2152,2348,2558,2288,2124,1956,1891,2238,2253,2195,2161,1921,1874
PUMA S3,1020,457,2244,1476,2907,2634,2821,2565,2798,3066,2716,2530,2335,2255,2669,2680,2613,2582,2295,2240
PUMA S3,1020,458,2664,1761,3485,3134,3350,3028,3315,3642,3249,2994,2793,2674,3163,3199,3110,3090,2711,2642
PUMA S3,1020,459,3098,2053,4097,3700,3916,3562,3942,4316,3859,3570,3284,3167,3709,3786,3687,3617,3216,3157
PUMA S3,1020,460,3633,2402,4764,4319,4541,4147,4583,4998,4473,4145,3797,3674,4339,4410,4296,4253,3740,3653
PUMA S3,1020,461,4167,2757,5441,4911,5206,4707,5233,5763,5142,4728,4373,4197,4948,5035,4909,4833,4262,4168
PUMA S3,1020,462,4746,3138,6174,5608,5956,5384,6005,6573,5909,5438,5019,4847,5690,5788,5630,5531,4889,4768
PUMA S3,1020,463,5449,3583,7136,6443,6833,6132,6880,7579,6779,6275,5750,5533,6514,6624,6456,6371,5594,5465
PUMA S3,1020,464,6016,3963,7865,7125,7507,6842,7656,8418,7529,6961,6409,6131,7267,7396,7173,7062,6244,6070
PUMA S3,1020,465,6643,4386,8690,7826,8325,7513,8447,9294,8341,7695,7071,6795,8017,8157,7945,7809,6894,6712
PUMA S3,1020,466,7331,4843,9572,8630,9143,8287,9312,10323,9250,8545,7855,7522,8875,9025,8801,8621,7604,7412
PUMA S3,1020,467,7848,5194,10237,9264,9824,8845,10023,11095,9925,9201,8429,8102,9502,9656,9435,9273,8170,7958
PUMA S3,1020,468,8368,5559,10925,9877,10456,9450,10709,11844,10639,9841,9026,8652,10115,10302,10059,9926,8763,8533
PUMA S3,1020,469,8882,5886,11598,10500,11059,10024,11405,12555,11293,10496,9612,9234,10821,10960,10752,10579,9359,9076
PUMA S3,1020,470,9291,6127,12140,10984,11600,10460,11977,13257,11890,10991,10151,9658,11287,11523,11256,11089,9784,9504
PUMA S3,1020,471,9518,6316,12407,11251,11862,10695,12242,13595,12200,11256,10353,9967,11587,11828,11553,11364,10047,9780
PUMA S3,1020,472,9736,6454,12726,11486,12138,10945,12545,13898,12469,11528,10666,10195,11887,12132,11868,11710,10271,10040
PUMA S3,1020,473,9923,6581,12966,11762,12416,11232,12852,14266,12806,11828,10912,10489,12171,12426,12188,11994,10580,10358
PUMA S3,1020,474,9942,6605,13044,11750,12442,11229,12890,14349,12934,11920,10984,10512,12183,12511,12231,12046,10619,10344
PUMA S3,1020,475,9975,6637,13057,11854,12524,11269,12970,14409,12994,12042,11036,10568,12320,12593,12328,12144,10729,10477
PUMA S3,1020,476,9892,6575,12893,11695,12339,11148,12812,14299,12867,11886,10973,10524,12188,12486,12178,11993,10643,10394
PUMA S3,1020,477,9768,6499,12744,11522,12200,11050,12630,14067,12658,11738,10799,10417,11994,12314,12069,11900,10535,10289
PUMA S3,1020,478,9568,6318,12500,11293,11976,10762,12402,13833,12461,11539,10610,10172,11775,12091,11873,11653,10329,10015
PUMA S3,1020,479,9398,6267,12278,11114,11770,10608,12271,13647,12277,11353,10434,10063,11582,11877,11633,11514,10176,9902
PUMA S3,1020,480,9116,6083,11925,10796,11419,10279,11876,13224,11866,11008,10146,9783,11329,11572,11323,11183,9877,9687
PUMA S3,1020,481,8930,5991,11693,10550,11195,10135,11697,12932,11650,10762,9968,9597,11084,11349,11089,10978,9711,9476
PUMA S3,1020,482,8718,5847,11377,10291,10887,9901,11369,12608,11381,10501,9702,9356,10806,11107,10864,10734,9492,9274
PUMA S3,1020,483,8432,5662,11012,10001,10547,9579,10956,12233,10966,10148,9383,9013,10466,10753,10500,10362,9138,8945
PUMA S3,1020,484,8344,5619,10895,9868,10440,9491,10831,12044,10841,10078,9267,8902,10317,10596,10378,10227,9086,8861
PUMA S3,1020,485,8141,5475,10631,9640,10212,9235,10602,11712,10591,9804,9034,8702,10064,10342,10143,10023,8848,8657
PUMA S3,1020,486,8038,5388,10503,9490,10060,9095,10407,11529,10375,9642,8875,8567,9894,10155,9946,9842,8686,8494
