,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,450,863,828,847,924,902,848,932,874,825,864,796,763,926,902,759,776,739,637
PUMA S3,1020,451,1083,1029,1054,1145,1123,1036,1158,1081,1004,1072,988,928,1162,1115,932,956,931,781
PUMA S3,1020,452,1325,1275,1308,1414,1375,1297,1424,1343,1234,1308,1219,1160,1419,1375,1163,1186,1158,962
PUMA S3,1020,453,1608,1546,1599,1710,1676,1575,1748,1627,1502,1598,1488,1396,1716,1669,1413,1439,1390,1173
PUMA S3,1020,454,1974,1900,1962,2111,2062,1931,2152,1999,1847,1956,1827,1711,2106,2058,1735,1763,1707,1414
PUMA S3,1020,455,2398,2321,2361,2555,2513,2353,2599,2426,2244,2383,2232,2093,2560,2500,2111,2139,2071,1759
PUMA S3,1020,456,2881,2786,2857,3092,3004,2799,3113,2920,2693,2882,2681,2523,3081,2992,2513,2566,2479,2082
PUMA S3,1020,457,3429,3297,3402,3668,3593,3361,3715,3456,3170,3435,3196,2974,3681,3574,3002,3046,2960,2479
PUMA S3,1020,458,4055,3921,4015,4362,4272,3971,4396,4116,3764,4063,3772,3548,4343,4245,3551,3628,3521,2939
PUMA S3,1020,459,4759,4632,4774,5160,5044,4666,5208,4896,4474,4842,4494,4164,5139,5011,4213,4275,4155,3468
PUMA S3,1020,460,5519,5409,5559,6027,5864,5423,6055,5712,5221,5616,5206,4875,5945,5804,4890,4934,4843,4033
PUMA S3,1020,461,6315,6147,6318,6871,6698,6160,6902,6518,5965,6445,5981,5563,6817,6641,5615,5688,5500,4626
PUMA S3,1020,462,7183,7055,7237,7812,7603,7054,7890,7429,6810,7380,6834,6380,7742,7603,6412,6515,6312,5284
PUMA S3,1020,463,8195,8018,8236,8937,8745,8050,9001,8515,7829,8472,7803,7282,8885,8690,7319,7450,7216,6024
PUMA S3,1020,464,9094,8888,9131,9980,9659,8943,10044,9524,8720,9448,8749,8141,9853,9649,8152,8315,8056,6686
PUMA S3,1020,465,9995,9726,10053,10969,10656,9823,11106,10487,9592,10396,9659,8989,10841,10664,8986,9158,8914,7423
PUMA S3,1020,466,11063,10766,11097,12077,11769,10851,12273,11651,10660,11525,10674,9933,11993,11827,9975,10165,9821,8202
PUMA S3,1020,467,11856,11576,11859,12932,12636,11673,13159,12513,11442,12397,11443,10677,12891,12715,10734,10901,10586,8792
PUMA S3,1020,468,12571,12252,12624,13777,13366,12367,13988,13277,12168,13215,12220,11404,13700,13472,11385,11645,11271,9383
PUMA S3,1020,469,13440,13055,13442,14644,14264,13140,14981,14220,13002,14167,13073,12107,14629,14425,12219,12453,12034,10044
PUMA S3,1020,470,13963,13573,13967,15189,14833,13705,15604,14846,13583,14738,13694,12684,15215,15047,12752,13012,12568,10491
PUMA S3,1020,471,14350,13956,14348,15612,15234,14065,16081,15254,14029,15177,14030,13054,15698,15434,13130,13417,13004,10802
PUMA S3,1020,472,14630,14270,14708,15946,15543,14407,16386,15641,14322,15580,14444,13425,16061,15927,13540,13754,13329,11064
PUMA S3,1020,473,14899,14537,14966,16293,15827,14680,16788,15950,14633,15927,14693,13698,16455,16240,13760,14023,13639,11305
PUMA S3,1020,474,14981,14613,15042,16360,15939,14754,16948,16122,14737,16060,14865,13847,16558,16362,13890,14190,13757,11425
PUMA S3,1020,475,15080,14654,15102,16427,16010,14792,17003,16235,14865,16168,14954,13946,16643,16478,13977,14261,13816,11507
PUMA S3,1020,476,14858,14436,14858,16144,15723,14555,16756,15965,14676,15910,14761,13757,16445,16229,13800,14109,13627,11361
PUMA S3,1020,477,14730,14332,14760,16029,15677,14452,16668,15893,14563,15840,14705,13671,16350,16215,13771,14037,13655,11331
PUMA S3,1020,478,14425,14055,14488,15709,15341,14165,16324,15592,14258,15523,14371,13416,15981,15855,13520,13718,13301,11138
PUMA S3,1020,479,14189,13795,14167,15410,14962,13864,16026,15282,14006,15294,14179,13231,15786,15570,13240,13524,13129,10975
PUMA S3,1020,480,13791,13377,13790,15023,14632,13529,15566,14839,13674,14895,13838,12894,15329,15167,12913,13195,12782,10672
PUMA S3,1020,481,13492,13090,13470,14613,14266,13233,15232,14594,13336,14598,13464,12552,15005,14803,12644,12859,12458,10452
PUMA S3,1020,482,13231,12818,13142,14295,14013,12957,14929,14290,13107,14238,13218,12357,14659,14517,12349,12665,12229,10242
PUMA S3,1020,483,12723,12409,12777,13827,13545,12533,14446,13823,12660,13750,12784,11950,14203,14053,11959,12184,11853,9947
PUMA S3,1020,484,12590,12226,12542,13672,13347,12387,14251,13537,12373,13556,12607,11725,13912,13748,11803,11998,11647,9759
PUMA S3,1020,485,12358,11995,12352,13384,13121,12171,13916,13277,12164,13265,12325,11547,13667,13535,11571,11750,11443,9562
