,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA WT,1020,450,670,606,611,627,622,614,727,758,754,774,834,681,731,771,677,699,688,572
PUMA WT,1020,451,799,738,748,757,765,729,867,931,913,945,1018,824,876,944,833,835,829,686
PUMA WT,1020,452,993,899,903,932,933,891,1074,1134,1109,1160,1249,1009,1071,1156,1008,1023,1004,830
PUMA WT,1020,453,1219,1110,1127,1163,1135,1109,1328,1414,1389,1443,1556,1258,1325,1433,1265,1279,1259,1019
PUMA WT,1020,454,1487,1361,1365,1400,1396,1339,1628,1740,1707,1765,1885,1518,1604,1755,1530,1539,1516,1245
PUMA WT,1020,455,1798,1631,1654,1690,1665,1611,1969,2077,2057,2102,2286,1824,1923,2099,1835,1858,1843,1486
PUMA WT,1020,456,2147,1972,1981,2018,2009,1913,2379,2525,2482,2536,2722,2186,2325,2522,2187,2239,2191,1783
PUMA WT,1020,457,2579,2354,2370,2418,2405,2282,2827,3000,2958,3037,3263,2605,2768,3020,2609,2635,2610,2113
PUMA WT,1020,458,3059,2806,2823,2895,2841,2722,3388,3600,3539,3626,3891,3108,3310,3608,3134,3185,3112,2523
PUMA WT,1020,459,3568,3277,3290,3368,3345,3183,3958,4226,4161,4231,4566,3619,3888,4217,3647,3712,3625,2941
PUMA WT,1020,460,4153,3816,3831,3917,3841,3675,4611,4909,4813,4955,5346,4227,4459,4892,4248,4278,4224,3394
PUMA WT,1020,461,4768,4360,4405,4469,4405,4203,5312,5636,5561,5693,6121,4828,5132,5602,4861,4930,4843,3872
PUMA WT,1020,462,5513,5037,5089,5173,5071,4873,6114,6529,6396,6607,7097,5593,5965,6470,5618,5665,5573,4491
PUMA WT,1020,463,6203,5695,5730,5835,5704,5437,6936,7349,7231,7455,8006,6311,6701,7283,6333,6422,6287,5053
PUMA WT,1020,464,6894,6294,6364,6469,6337,6054,7684,8172,8022,8270,8887,7025,7466,8092,7038,7117,6946,5613
PUMA WT,1020,465,7698,7057,7093,7216,7088,6730,8524,9131,8978,9265,9939,7863,8303,9105,7851,7942,7767,6272
PUMA WT,1020,466,8344,7612,7693,7837,7716,7332,9357,9960,9801,10076,10825,8527,9026,9839,8576,8627,8483,6787
PUMA WT,1020,467,8939,8175,8247,8354,8244,7839,10015,10691,10490,10808,11587,9142,9703,10589,9197,9265,9067,7278
PUMA WT,1020,468,9569,8742,8822,8933,8778,8357,10674,11401,11231,11538,12415,9775,10389,11297,9840,9888,9693,7774
PUMA WT,1020,469,10142,9274,9324,9509,9345,8903,11385,12183,11935,12318,13240,10431,11035,12028,10451,10589,10335,8303
PUMA WT,1020,470,10591,9654,9734,9878,9744,9276,11910,12708,12494,12894,13802,10883,11523,12599,10900,11030,10782,8655
PUMA WT,1020,471,10815,9909,9938,10094,9937,9437,12123,12957,12779,13160,14147,11132,11744,12867,11192,11283,11056,8898
PUMA WT,1020,472,11129,10209,10269,10397,10289,9775,12602,13465,13258,13644,14673,11530,12158,13319,11538,11676,11436,9190
PUMA WT,1020,473,11298,10328,10403,10563,10405,9925,12774,13675,13461,13846,14882,11665,12343,13518,11745,11859,11604,9316
PUMA WT,1020,474,11316,10370,10440,10616,10483,9924,12818,13646,13490,13880,14947,11689,12386,13534,11817,11932,11654,9405
PUMA WT,1020,475,11402,10413,10480,10691,10492,10014,12922,13852,13649,14031,15102,11880,12503,13697,11930,12070,11823,9521
PUMA WT,1020,476,11242,10265,10351,10544,10383,9856,12763,13673,13457,13800,14829,11706,12295,13534,11742,11864,11646,9373
PUMA WT,1020,477,11093,10156,10252,10390,10291,9796,12626,13564,13294,13728,14734,11630,12225,13421,11685,11770,11594,9312
PUMA WT,1020,478,10851,9964,10086,10211,10100,9611,12368,13195,13008,13402,14418,11328,12010,13149,11425,11597,11326,9127
PUMA WT,1020,479,10736,9797,9881,10047,9882,9463,12126,13039,12793,13252,14190,11151,11776,12951,11272,11366,11171,8995
PUMA WT,1020,480,10400,9537,9605,9777,9681,9226,11894,12675,12439,12836,13791,10883,11484,12623,10983,11126,10856,8745
PUMA WT,1020,481,10186,9375,9474,9619,9488,9031,11626,12460,12266,12594,13562,10644,11310,12413,10806,10903,10681,8602
PUMA WT,1020,482,9970,9172,9163,9362,9243,8824,11303,12146,11940,12258,13178,10366,10978,12095,10510,10615,10441,8402
PUMA WT,1020,483,9673,8880,8897,9081,8961,8508,10927,11699,11525,11888,12762,10091,10655,11703,10211,10317,10099,8144
PUMA WT,1020,484,9557,8788,8869,8968,8904,8469,10782,11601,11421,11723,12605,9969,10531,11540,10041,10168,9976,8055
PUMA WT,1020,485,9372,8608,8669,8787,8677,8299,10565,11315,11137,11440,12309,9706,10248,11305,9822,9958,9757,7862
PUMA WT,1020,486,9320,8546,8625,8754,8653,8241,10489,11227,11029,11344,12220,9606,10229,11227,9765,9871,9670,7828
PUMA WT,1020,487,9272,8508,8576,8699,8609,8181,10375,11078,10903,11177,12036,9483,10085,11037,9692,9774,9579,7716
PUMA WT,1020,488,9224,8438,8529,8692,8567,8140,10231,10956,10735,11060,11893,9410,9972,10921,9552,9640,9464,7667
PUMA WT,1020,489,9332,8560,8599,8759,8696,8254,10288,10931,10780,11112,11950,9419,10017,10987,9516,9714,9526,7702
PUMA WT,1020,490,9426,8701,8724,8847,8748,8361,10370,10973,10796,11168,11992,9481,10100,10983,9621,9742,9542,7770
PUMA WT,1020,491,9511,8756,8851,8951,8863,8427,10337,10927,10790,11074,11943,9447,10099,10980,9586,9758,9578,7753
PUMA WT,1020,492,9904,9082,9141,9263,9207,8712,10556,11219,11036,11322,12211,9651,10380,11259,9828,9964,9804,7963
PUMA WT,1020,493,10183,9379,9418,9548,9493,8999,10798,11414,11173,11491,12368,9844,10530,11402,9976,10133,9960,8103
PUMA WT,1020,494,10638,9793,9853,10008,9923,9444,11104,11726,11506,11796,12794,10124,10868,11804,10292,10485,10275,8431
PUMA WT,1020,495,11213,10342,10387,10564,10472,9948,11603,12132,11924,12242,13196,10490,11286,12179,10662,10871,10730,8748
