Q,I(Q),Error
2.99882683E-03,3.10717896E-02,3.06964893E-03
3.28442939E-03,2.88038738E-02,1.64463528E-03
3.57003195E-03,3.13701518E-02,1.41636002E-03
3.85563450E-03,3.18491720E-02,1.15498694E-03
4.14123706E-03,3.19050401E-02,9.32262865E-04
4.42683961E-03,3.19974795E-02,7.93474302E-04
4.71244217E-03,3.15970331E-02,7.25737088E-04
4.99804472E-03,3.18982787E-02,6.93987041E-04
5.28364728E-03,3.23438831E-02,6.65614445E-04
5.56924984E-03,3.15429531E-02,6.59707639E-04
5.85485239E-03,3.16142924E-02,6.57636246E-04
6.14045495E-03,3.08679827E-02,6.36110670E-04
6.42605750E-03,3.10483761E-02,6.22151135E-04
6.71166006E-03,3.14215608E-02,6.02955567E-04
6.99726261E-03,3.08619402E-02,5.88840326E-04
7.28286517E-03,3.06524858E-02,5.81377374E-04
7.56846773E-03,3.24767753E-02,5.83075837E-04
7.85407028E-03,3.20577808E-02,5.61207417E-04
8.13967284E-03,3.20821963E-02,5.51792162E-04
8.42527539E-03,3.17033194E-02,5.47066164E-04
8.71087795E-03,3.14082913E-02,5.32924356E-04
8.99648050E-03,3.13878953E-02,5.29166931E-04
9.28208306E-03,3.11181843E-02,5.13324919E-04
9.56768562E-03,3.05410065E-02,5.02330409E-04
9.85328817E-03,3.23642753E-02,5.20756675E-04
1.01388907E-02,3.05157416E-02,4.88849385E-04
1.04244933E-02,3.06965820E-02,4.80720127E-04
1.07100958E-02,3.09141129E-02,4.84848143E-04
1.09956984E-02,3.14175375E-02,4.78645006E-04
1.12813009E-02,3.03741507E-02,4.77388821E-04
1.15669035E-02,3.09935324E-02,4.59300113E-04
1.18525061E-02,2.98620351E-02,4.57469516E-04
1.21381086E-02,3.02972123E-02,4.53946287E-04
1.24237112E-02,2.97972858E-02,4.16865414E-04
1.27093137E-02,2.94938199E-02,4.08511399E-04
1.29949163E-02,2.95366757E-02,3.91000572E-04
1.32805188E-02,2.95199789E-02,3.89293944E-04
1.35661214E-02,2.97667310E-02,3.77278589E-04
1.38517240E-02,2.97799930E-02,3.71264673E-04
1.41373265E-02,3.01137306E-02,3.64642226E-04
1.44229291E-02,2.99036428E-02,3.59875792E-04
1.47085316E-02,2.88074464E-02,3.51589153E-04
1.49941342E-02,2.86440998E-02,3.43927969E-04
1.52797367E-02,2.87767500E-02,3.41331861E-04
1.55653393E-02,2.86736377E-02,3.32584607E-04
1.58509418E-02,2.88651660E-02,3.31622155E-04
1.61365444E-02,2.92713009E-02,3.26434770E-04
1.64221470E-02,2.90167294E-02,3.21855112E-04
1.67077495E-02,2.80474238E-02,3.16292787E-04
1.69933521E-02,2.84266844E-02,3.11467354E-04
1.72789546E-02,2.84140781E-02,3.08794373E-04
1.75645572E-02,2.78091133E-02,3.04672457E-04
1.78501597E-02,2.85427272E-02,3.01232961E-04
1.81357623E-02,2.79516019E-02,2.99779728E-04
1.84213648E-02,2.77147666E-02,2.92661234E-04
1.87069674E-02,2.79885456E-02,2.92109738E-04
1.89925700E-02,2.79614218E-02,2.91976765E-04
1.92781725E-02,2.72288062E-02,2.82213951E-04
1.95637751E-02,2.75540277E-02,2.84429313E-04
1.98493776E-02,2.71011107E-02,2.77065004E-04
2.01349802E-02,2.71321684E-02,2.77344108E-04
2.04205827E-02,2.70366222E-02,2.75694523E-04
