,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,450,1130,2445,2190,2269,2252,2289,2473,2388,2151,2212,1987,1877,2352,2346,2289,2059,1978,1816
GS48,1020,451,1387,3015,2724,2790,2775,2828,3062,2911,2654,2713,2459,2324,2893,2879,2791,2555,2436,2245
GS48,1020,452,1701,3747,3397,3454,3438,3498,3775,3609,3272,3360,3016,2867,3576,3554,3471,3142,3008,2728
GS48,1020,453,2152,4742,4269,4358,4337,4346,4731,4559,4123,4208,3802,3588,4497,4497,4363,3954,3777,3455
GS48,1020,454,2610,5826,5251,5346,5329,5371,5809,5588,5097,5181,4702,4403,5509,5520,5385,4836,4637,4213
GS48,1020,455,3182,7054,6364,6510,6461,6474,7039,6806,6172,6307,5693,5342,6680,6718,6532,5867,5575,5091
GS48,1020,456,3831,8523,7706,7832,7761,7795,8471,8239,7472,7676,6895,6448,8062,8053,7865,7091,6767,6116
GS48,1020,457,4636,10279,9270,9468,9377,9375,10266,9941,9044,9279,8339,7799,9732,9758,9499,8507,8146,7356
GS48,1020,458,5519,12325,11106,11276,11157,11137,12182,11907,10818,11050,9976,9313,11578,11684,11327,10157,9682,8802
GS48,1020,459,6497,14552,13072,13316,13124,13096,14443,14011,12786,13162,11825,11037,13646,13795,13383,12072,11472,10348
GS48,1020,460,7552,16877,15178,15327,15206,15239,16655,16335,14913,15234,13765,12812,15842,15966,15553,14037,13345,12066
GS48,1020,461,8660,19407,17436,17678,17460,17472,19223,18783,17153,17622,15894,14753,18177,18403,17912,16088,15326,13818
GS48,1020,462,10052,22501,20201,20518,20269,20218,22291,21874,19936,20509,18556,17244,21126,21414,20766,18738,17799,16026
GS48,1020,463,11279,25385,22688,23034,22803,22756,25114,24651,22553,23209,20945,19415,23717,24067,23564,21167,20155,18042
GS48,1020,464,12556,28214,25255,25624,25323,25249,27934,27571,25214,25862,23328,21691,26556,26902,26268,23647,22431,20111
GS48,1020,465,13921,31211,27951,28464,28067,27932,30928,30617,28060,28789,25982,24192,29393,29827,29134,26289,24883,22352
GS48,1020,466,15212,34195,30650,31048,30683,30492,33858,33533,30777,31571,28491,26436,32081,32730,31980,28796,27272,24505
GS48,1020,467,16256,36539,32737,33279,32829,32599,36274,36001,33024,33923,30598,28471,34356,35119,34294,30872,29283,26348
GS48,1020,468,17276,38853,34721,35330,34928,34635,38615,38308,35224,36144,32663,30293,36616,37422,36602,32923,31250,28073
GS48,1020,469,18414,41394,36966,37603,37168,36896,41203,40978,37755,38822,34865,32425,39095,40016,39112,35283,33393,29952
GS48,1020,470,19072,42857,38302,38931,38420,38120,42742,42493,39222,40350,36366,33761,40618,41543,40632,36632,34808,31170
GS48,1020,471,19525,43969,39356,40030,39364,39144,43965,43781,40374,41426,37506,34739,41792,42854,41777,37672,35788,32093
GS48,1020,472,19968,44931,40299,41020,40418,40100,45243,44969,41459,42624,38561,35775,42834,44043,42933,38767,36794,33010
GS48,1020,473,20377,45590,40897,41458,41015,40780,45824,45707,42090,43417,39177,36425,43547,44736,43766,39437,37435,33635
GS48,1020,474,20363,45528,40834,41498,40957,40729,45902,45761,42196,43572,39283,36448,43803,44912,43944,39651,37590,33682
GS48,1020,475,20375,45679,40801,41547,40911,40734,46086,45903,42251,43643,39381,36634,43736,44927,44132,39755,37573,33759
GS48,1020,476,20231,45074,40354,41072,40578,40235,45682,45493,41927,43268,39148,36400,43414,44521,43640,39418,37304,33620
GS48,1020,477,19869,44312,39620,40371,39823,39582,45026,44838,41273,42554,38532,35857,42649,43827,43048,38818,36813,33145
GS48,1020,478,19468,43181,38700,39418,38949,38744,44039,43753,40306,41685,37676,35093,41803,42852,42034,37855,36092,32424
GS48,1020,479,19059,42292,37931,38628,38120,37950,43159,43050,39636,40800,36969,34379,40960,42204,41282,37207,35361,31865
GS48,1020,480,18406,40947,36682,37137,36781,36656,41847,41617,38409,39491,35827,33314,39637,40679,39826,36001,34325,30894
GS48,1020,481,18174,40272,36072,36659,36340,36079,41246,40918,37789,38972,35258,32743,39183,40078,39257,35440,33696,30407
GS48,1020,482,17595,38884,34962,35409,34970,34961,39948,39652,36624,37634,34082,31638,37861,38753,37938,34373,32656,29459
GS48,1020,483,17047,37565,33700,34289,33887,33877,38539,38262,35402,36422,32921,30605,36586,37461,36783,33239,31563,28503
GS48,1020,484,16786,37218,33330,33866,33563,33472,38079,37834,34921,35914,32540,30313,36123,37012,36364,32738,31216,28202
GS48,1020,485,16311,35971,32240,32793,32328,32396,36771,36602,33781,34759,31400,29295,34912,35815,35075,31681,30185,27349
GS48,1020,486,16151,35700,32061,32592,32309,32303,36524,36271,33452,34490,31297,29106,34763,35448,34804,31458,29968,27047
GS48,1020,487,15917,35064,31511,31987,31744,31699,35761,35540,32814,33746,30673,28630,34031,34777,34101,30883,29374,26568
GS48,1020,488,15795,34592,31019,31602,31302,31278,35250,34944,32297,33233,30095,28185,33517,34288,33512,30340,29008,26261
GS48,1020,489,15772,34555,30984,31524,31282,31179,35065,34829,32148,33181,30037,28032,33282,34076,33395,30240,28877,26203
GS48,1020,490,15788,34458,30991,31426,31166,31157,34884,34551,31924,33042,29920,27921,33154,33887,33196,30114,28718,26080
GS48,1020,491,15705,34319,30782,31290,31061,31022,34597,34316,31671,32733,29755,27809,32948,33678,32935,29970,28652,25981
GS48,1020,492,15936,34705,31206,31753,31444,31477,34913,34600,32062,33040,30095,28088,33178,33967,33325,30251,28873,26341
GS48,1020,493,16173,35056,31489,32059,31691,31665,35116,34771,32228,33268,30229,28281,33356,34084,33568,30429,29175,26508
GS48,1020,494,16457,35686,32072,32614,32341,32276,35523,35155,32673,33591,30714,28703,33799,34554,33988,30896,29589,26922
GS48,1020,495,16840,36419,32739,33264,32956,32736,36017,35671,33154,34148,31164,29349,34284,35025,34476,31472,30152,27546
GS48,1020,496,17159,37089,33264,33796,33466,33488,36437,36195,33465,34637,31636,29814,34737,35429,34950,31784,30524,28039
