,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
Ash1,1020,450,1213,1259,1233,1261,997,1128,1496,1573,1481,1467,1354,1195,1386,1335,1292,1237,1135,1019
Ash1,1020,451,1508,1568,1521,1545,1247,1406,1879,1957,1830,1814,1700,1489,1729,1648,1600,1514,1391,1258
Ash1,1020,452,1867,1940,1898,1933,1549,1751,2324,2449,2271,2238,2128,1848,2140,2069,1994,1898,1726,1552
Ash1,1020,453,2308,2405,2331,2387,1908,2137,2836,3001,2804,2790,2592,2281,2640,2531,2457,2326,2112,1929
Ash1,1020,454,2840,2941,2875,2917,2325,2637,3504,3710,3473,3426,3198,2796,3237,3116,3030,2868,2599,2364
Ash1,1020,455,3464,3617,3503,3605,2860,3227,4293,4564,4275,4186,3913,3434,3962,3831,3678,3467,3165,2859
Ash1,1020,456,4179,4385,4232,4343,3441,3899,5184,5528,5151,5075,4759,4172,4761,4606,4461,4189,3829,3456
Ash1,1020,457,4981,5226,5084,5204,4141,4642,6206,6612,6211,6104,5660,4976,5703,5524,5359,5018,4601,4119
Ash1,1020,458,5931,6234,6044,6199,4888,5539,7439,7845,7382,7292,6806,5926,6798,6565,6367,5988,5435,4904
Ash1,1020,459,7054,7399,7193,7319,5803,6523,8800,9353,8780,8665,8091,7048,8060,7829,7516,7066,6490,5838
Ash1,1020,460,8245,8619,8406,8572,6790,7630,10230,10921,10269,10091,9419,8214,9414,9069,8771,8283,7593,6809
Ash1,1020,461,9407,9916,9582,9809,7764,8696,11687,12570,11839,11643,10846,9469,10736,10408,10076,9572,8676,7800
Ash1,1020,462,10856,11367,11065,11315,8910,9977,13484,14444,13621,13414,12538,10905,12309,11989,11631,10957,9971,8926
Ash1,1020,463,12389,13014,12662,12912,10136,11432,15469,16632,15572,15449,14406,12486,14154,13789,13344,12547,11432,10261
Ash1,1020,464,13723,14489,14062,14364,11287,12678,17158,18523,17434,17268,16062,13890,15685,15292,14850,13983,12746,11423
Ash1,1020,465,15214,16028,15541,15898,12502,14052,19043,20563,19292,19118,17842,15476,17380,16978,16457,15484,14132,12616
Ash1,1020,466,16833,17677,17195,17480,13793,15459,21041,22733,21397,21199,19786,17132,19132,18733,18218,17179,15608,13961
Ash1,1020,467,18079,19030,18574,18844,14872,16563,22640,24472,23045,22891,21380,18513,20582,20191,19651,18561,16842,15051
Ash1,1020,468,19224,20231,19698,20020,15753,17747,24020,26183,24647,24484,22830,19765,22042,21573,21029,19783,18009,16072
Ash1,1020,469,20432,21560,21017,21371,16801,18815,25604,27851,26405,26103,24303,21146,23457,22984,22338,21124,19203,17183
Ash1,1020,470,21472,22655,21978,22408,17639,19745,26962,29219,27717,27437,25644,22209,24599,24150,23551,22200,20132,18042
Ash1,1020,471,21999,23142,22499,22928,18014,20238,27576,30005,28479,28201,26351,22777,25266,24774,24210,22800,20683,18502
Ash1,1020,472,22448,23644,22974,23391,18420,20610,28232,30739,29056,28856,26941,23328,25806,25360,24723,23395,21254,19040
Ash1,1020,473,23108,24343,23631,24098,18956,21189,29098,31633,30010,29816,27830,24055,26642,26157,25581,24110,21987,19594
Ash1,1020,474,23035,24269,23448,23995,18905,21133,29056,31692,29943,29862,27807,24014,26629,26162,25440,24068,21920,19586
Ash1,1020,475,23236,24512,23735,24252,19147,21431,29468,32136,30413,30244,28169,24431,27047,26513,25877,24462,22168,19884
Ash1,1020,476,22824,24108,23336,23901,18828,21055,29017,31671,30034,29807,27708,24131,26589,26160,25500,24086,21989,19587
Ash1,1020,477,22463,23730,23037,23505,18498,20784,28668,31211,29541,29372,27345,23750,26141,25804,25176,23746,21625,19365
Ash1,1020,478,22134,23217,22652,23078,18090,20454,28115,30628,29021,28897,26921,23347,25771,25313,24729,23373,21232,19061
Ash1,1020,479,21585,22802,22087,22570,17766,20019,27536,30018,28389,28297,26407,22854,25186,24881,24182,22906,20883,18635
Ash1,1020,480,20977,22155,21457,21945,17291,19380,26759,29241,27723,27558,25705,22241,24541,24172,23560,22342,20273,18166
Ash1,1020,481,20619,21779,21046,21467,16981,19087,26375,28734,27188,27058,25224,21814,24128,23711,23174,21933,20023,17955
Ash1,1020,482,20013,21063,20440,20901,16430,18496,25508,27864,26402,26212,24510,21158,23411,23028,22501,21286,19339,17409
Ash1,1020,483,19397,20390,19784,20235,15981,17959,24719,26911,25574,25415,23676,20503,22676,22249,21764,20558,18767,16896
Ash1,1020,484,19128,20160,19621,20037,15773,17740,24358,26528,25165,25067,23391,20238,22361,22049,21469,20337,18616,16704
Ash1,1020,485,18556,19597,19097,19442,15323,17238,23776,25745,24469,24370,22661,19679,21702,21307,20829,19758,18042,16193
Ash1,1020,486,18299,19298,18712,19142,15089,16955,23332,25352,24055,23917,22345,19373,21367,20996,20544,19465,17772,15969
Ash1,1020,487,18128,19113,18545,18921,14917,16818,22990,25004,23697,23618,22090,19082,21089,20732,20279,19212,17591,15736
Ash1,1020,488,17809,18838,18271,18641,14750,16618,22592,24652,23353,23191,21665,18761,20786,20467,19974,18918,17282,15580
Ash1,1020,489,17737,18691,18128,18509,14656,16487,22408,24254,23074,22901,21489,18649,20547,20201,19696,18763,17086,15356
Ash1,1020,490,17883,18842,18224,18660,14770,16578,22392,24355,23107,22970,21540,18697,20611,20313,19845,18827,17143,15417
Ash1,1020,491,17786,18717,18209,18524,14662,16510,22256,24154,22960,22773,21318,18522,20486,20082,19648,18668,17086,15336
Ash1,1020,492,17947,18880,18204,18651,14789,16614,22265,24163,22945,22866,21433,18595,20565,20201,19692,18668,17127,15386
Ash1,1020,493,18240,19173,18582,18984,15092,16892,22593,24440,23289,23156,21687,18906,20844,20445,19962,18981,17366,15578
Ash1,1020,494,18546,19504,18897,19405,15368,17271,22822,24761,23495,23376,21940,19123,21140,20676,20188,19207,17551,15885
Ash1,1020,495,19064,20148,19490,19910,15815,17736,23282,25194,23920,23911,22466,19624,21611,21106,20609,19687,17973,16245
