,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,450,899,758,763,858,819,749,0,0,0,0,0,0,905,913,891,851,904,941,0,0,0,0,0,0,0,0,0,0,0,0,857,819,801,796,818,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,940,1053,1118,1179,1129,885,956,1115,1182,1258,1238
PUMA S2,1020,451,1123,941,950,1062,1021,930,0,0,0,0,0,0,1131,1120,1091,1034,1088,1129,0,0,0,0,0,0,0,0,0,0,0,0,1049,990,984,960,988,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,1160,1316,1380,1456,1398,1096,1181,1378,1463,1543,1527
PUMA S2,1020,452,1376,1185,1170,1329,1263,1147,0,0,0,0,0,0,1378,1361,1328,1256,1337,1370,0,0,0,0,0,0,0,0,0,0,0,0,1291,1220,1177,1162,1186,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,1414,1613,1709,1804,1732,1347,1472,1707,1789,1894,1880
PUMA S2,1020,453,1691,1420,1433,1615,1546,1410,0,0,0,0,0,0,1683,1653,1630,1506,1604,1649,0,0,0,0,0,0,0,0,0,0,0,0,1594,1483,1427,1409,1440,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851,1729,1966,2071,2198,2108,1635,1799,2083,2200,2320,2312
PUMA S2,1020,454,2065,1752,1783,1982,1905,1718,0,0,0,0,0,0,2045,2003,1970,1836,1948,1993,0,0,0,0,0,0,0,0,0,0,0,0,1918,1797,1744,1699,1743,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2279,2160,2423,2551,2698,2599,2022,2197,2568,2700,2863,2862
PUMA S2,1020,455,2546,2170,2162,2430,2334,2082,0,0,0,0,0,0,2496,2428,2390,2199,2318,2386,0,0,0,0,0,0,0,0,0,0,0,0,2332,2168,2105,2065,2082,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772,2593,2915,3098,3273,3129,2438,2657,3103,3272,3462,3465
PUMA S2,1020,456,3050,2603,2621,2916,2813,2519,0,0,0,0,0,0,2985,2904,2824,2635,2783,2825,0,0,0,0,0,0,0,0,0,0,0,0,2796,2602,2500,2456,2501,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,3123,3496,3713,3907,3779,2922,3190,3711,3951,4159,4164
PUMA S2,1020,457,3646,3111,3128,3520,3336,3018,0,0,0,0,0,0,3560,3470,3365,3118,3285,3354,0,0,0,0,0,0,0,0,0,0,0,0,3313,3097,2967,2903,2958,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3919,3686,4200,4434,4670,4492,3459,3786,4425,4703,4982,4958
