,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA WT,1020,450,730,690,682,677,669,657,877,882,862,831,795,749,873,868,792,742,781,590
PUMA WT,1020,451,883,840,830,828,821,807,1086,1081,1053,1017,970,909,1066,1056,959,910,949,710
PUMA WT,1020,452,1075,1036,1019,1023,1008,996,1325,1331,1297,1242,1200,1116,1298,1288,1171,1121,1169,870
PUMA WT,1020,453,1357,1289,1258,1260,1248,1219,1632,1670,1622,1544,1489,1374,1635,1608,1441,1391,1443,1083
PUMA WT,1020,454,1630,1570,1529,1548,1511,1485,2003,2021,1951,1885,1803,1674,1969,1946,1771,1693,1773,1322
PUMA WT,1020,455,1947,1882,1836,1866,1811,1776,2402,2440,2371,2262,2175,2017,2366,2349,2131,2042,2115,1578
PUMA WT,1020,456,2349,2246,2212,2221,2163,2133,2881,2924,2847,2713,2610,2424,2843,2844,2560,2454,2544,1905
PUMA WT,1020,457,2800,2684,2646,2650,2586,2533,3442,3491,3400,3258,3112,2891,3422,3390,3056,2920,3065,2264
PUMA WT,1020,458,3333,3209,3135,3129,3069,3024,4106,4168,4041,3902,3711,3460,4057,4047,3652,3507,3640,2685
PUMA WT,1020,459,3893,3722,3662,3671,3581,3544,4785,4883,4760,4576,4366,4061,4752,4749,4299,4109,4249,3176
PUMA WT,1020,460,4491,4322,4240,4281,4176,4114,5606,5649,5545,5308,5062,4718,5536,5523,5009,4793,4963,3671
PUMA WT,1020,461,5146,4912,4855,4883,4755,4690,6363,6451,6352,6089,5791,5385,6327,6299,5709,5460,5703,4222
PUMA WT,1020,462,5951,5713,5612,5655,5509,5411,7362,7530,7360,7048,6737,6263,7372,7337,6603,6368,6572,4912
PUMA WT,1020,463,6680,6421,6298,6322,6203,6094,8290,8484,8263,7954,7592,7037,8260,8249,7448,7135,7426,5507
PUMA WT,1020,464,7457,7110,7023,7054,6904,6772,9290,9431,9257,8880,8471,7862,9218,9203,8372,7967,8281,6126
PUMA WT,1020,465,8304,7970,7818,7858,7662,7596,10368,10533,10310,9885,9462,8753,10295,10277,9294,8913,9275,6866
PUMA WT,1020,466,9015,8661,8508,8612,8357,8223,11341,11503,11302,10795,10341,9607,11245,11210,10175,9723,10100,7506
PUMA WT,1020,467,9678,9294,9163,9213,8939,8814,12150,12366,12114,11626,11125,10298,12076,12082,10977,10455,10865,8067
PUMA WT,1020,468,10288,9864,9702,9793,9523,9384,12962,13229,12895,12383,11816,10997,12807,12838,11637,11179,11596,8591
PUMA WT,1020,469,10967,10548,10391,10458,10183,10011,13877,14164,13859,13293,12652,11714,13737,13800,12525,11938,12392,9211
PUMA WT,1020,470,11420,10958,10793,10881,10588,10432,14473,14747,14458,13873,13201,12288,14325,14406,13034,12470,12967,9617
PUMA WT,1020,471,11764,11234,11070,11128,10868,10695,14825,15131,14844,14281,13586,12656,14764,14772,13409,12817,13293,9834
PUMA WT,1020,472,12147,11649,11452,11528,11233,11071,15406,15705,15397,14767,14071,13104,15268,15335,13878,13265,13850,10246
PUMA WT,1020,473,12302,11856,11645,11737,11388,11234,15615,15972,15598,14995,14321,13278,15499,15533,14060,13513,13994,10420
PUMA WT,1020,474,12360,11863,11698,11764,11495,11281,15784,16088,15797,15066,14433,13383,15639,15618,14232,13618,14156,10509
PUMA WT,1020,475,12547,12024,11812,11903,11632,11366,15891,16281,15927,15299,14605,13537,15784,15798,14395,13759,14341,10620
PUMA WT,1020,476,12273,11799,11627,11700,11384,11223,15602,15974,15673,15059,14356,13323,15515,15590,14104,13559,14084,10441
PUMA WT,1020,477,12248,11775,11578,11595,11298,11185,15600,15904,15628,15005,14308,13284,15479,15508,14118,13539,14048,10415
PUMA WT,1020,478,12025,11559,11351,11405,11149,10993,15327,15654,15321,14772,14049,13060,15142,15177,13868,13246,13771,10238
PUMA WT,1020,479,11816,11347,11145,11229,10938,10793,14996,15355,15045,14463,13770,12801,14891,14951,13633,13018,13527,10030
PUMA WT,1020,480,11530,11056,10850,10961,10679,10505,14638,14972,14684,14134,13450,12572,14535,14602,13212,12750,13239,9826
PUMA WT,1020,481,11282,10834,10647,10691,10467,10275,14312,14617,14357,13790,13190,12244,14208,14238,12925,12441,12913,9625
PUMA WT,1020,482,11043,10595,10434,10479,10219,10057,14010,14335,14037,13467,12866,11968,13849,13905,12664,12158,12684,9405
PUMA WT,1020,483,10694,10302,10125,10136,9949,9756,13561,13825,13622,13054,12422,11558,13387,13519,12264,11744,12191,9100
PUMA WT,1020,484,10520,10119,9950,10034,9791,9581,13285,13584,13342,12759,12218,11320,13191,13250,12014,11541,12013,8921
PUMA WT,1020,485,10356,9944,9734,9842,9630,9445,13027,13309,13065,12548,11956,11106,12976,13021,11780,11293,11792,8781
PUMA WT,1020,486,10266,9884,9682,9779,9531,9381,12898,13084,12872,12373,11834,10980,12764,12790,11632,11165,11634,8649
PUMA WT,1020,487,10210,9788,9653,9673,9480,9298,12731,12968,12725,12208,11681,10845,12650,12676,11456,11037,11447,8518
PUMA WT,1020,488,10132,9733,9568,9604,9399,9246,12521,12794,12523,12043,11534,10773,12440,12491,11339,10865,11335,8446
PUMA WT,1020,489,10155,9769,9603,9629,9450,9247,12521,12727,12463,11930,11448,10692,12397,12424,11275,10828,11266,8388
PUMA WT,1020,490,10305,9919,9728,9790,9558,9438,12564,12758,12538,12024,11500,10767,12529,12484,11318,10897,11350,8475
PUMA WT,1020,491,10405,10021,9800,9868,9619,9488,12546,12729,12446,11920,11434,10700,12440,12413,11268,10819,11295,8472
PUMA WT,1020,492,10740,10277,10085,10149,9922,9775,12796,12874,12695,12163,11624,10861,12698,12649,11476,11035,11576,8637
PUMA WT,1020,493,10973,10610,10413,10461,10173,10056,12936,13059,12761,12268,11797,10993,12847,12747,11543,11162,11652,8772
PUMA WT,1020,494,11389,10975,10771,10842,10532,10414,13195,13280,12998,12490,12008,11197,13120,12970,11793,11361,11955,8978
