Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.13587363E-02,3.28250788E-02,-3.81228030E-05,-1.15057541E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0001.tif
1,1.13655410E-02,3.28515619E-02,-3.13181399E-05,-8.85729169E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0002.tif
2,1.13670456E-02,3.28517184E-02,-2.98134898E-05,-8.84207329E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0003.tif
3,1.13549031E-02,3.28202136E-02,-4.19560273E-05,-1.19928009E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0004.tif
4,1.13623770E-02,3.28398272E-02,-3.44820796E-05,-1.00312580E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0005.tif
5,1.13645269E-02,3.28460522E-02,-3.23321514E-05,-9.40835889E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0006.tif
6,1.13593397E-02,3.28358151E-02,-3.75194488E-05,-1.04325620E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0007.tif
7,1.13665303E-02,3.28473784E-02,-3.03287726E-05,-9.27560832E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0008.tif
8,1.13708249E-02,3.28681879E-02,-2.60342095E-05,-7.19533127E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0009.tif
9,1.13609403E-02,3.28465104E-02,-3.59187946E-05,-9.36262732E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0010.tif
10,1.13607015E-02,3.28371041E-02,-3.61576541E-05,-1.03034814E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0011.tif
