Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.14147966E-02,3.29993665E-02,-5.01873160E-05,-1.38915842E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0001.tif
1,1.14116946E-02,3.29887271E-02,-5.32892523E-05,-1.49556610E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0002.tif
2,1.14313165E-02,3.30467634E-02,-3.36673431E-05,-9.15217388E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0003.tif
3,1.14124227E-02,3.29937898E-02,-5.25611939E-05,-1.44493111E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0004.tif
4,1.14220185E-02,3.30144204E-02,-4.29653723E-05,-1.23867518E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0005.tif
5,1.14213538E-02,3.30135599E-02,-4.36300423E-05,-1.24723214E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0006.tif
6,1.14069686E-02,3.29812467E-02,-5.80152236E-05,-1.57035814E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0007.tif
7,1.14101271E-02,3.29757668E-02,-5.48567893E-05,-1.62519835E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0008.tif
8,1.14072144E-02,3.29776295E-02,-5.77694692E-05,-1.60654250E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0009.tif
9,1.14156005E-02,3.29944640E-02,-4.93833895E-05,-1.43818514E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0010.tif
10,1.14122277E-02,3.29829864E-02,-5.27561273E-05,-1.55297661E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0011.tif
11,1.14252917E-02,3.30250897E-02,-3.96921594E-05,-1.13195114E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0012.tif
12,1.13987157E-02,3.29451784E-02,-6.62681574E-05,-1.93106665E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0013.tif
13,1.14028825E-02,3.29569019E-02,-6.21013654E-05,-1.81379597E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0014.tif
14,1.14121698E-02,3.29809785E-02,-5.28140480E-05,-1.57305301E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0015.tif
15,1.14203172E-02,3.30103189E-02,-4.46666227E-05,-1.27966166E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0016.tif
16,1.14041900E-02,3.29676121E-02,-6.07938743E-05,-1.70671367E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0017.tif
17,1.14117283E-02,3.29860151E-02,-5.32556045E-05,-1.52268389E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0018.tif
18,1.14140701E-02,3.29854377E-02,-5.09137433E-05,-1.52845460E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0019.tif
19,1.14180952E-02,3.30031328E-02,-4.68886576E-05,-1.35152397E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0020.tif
20,1.14122690E-02,3.29883210E-02,-5.27149164E-05,-1.49960048E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0021.tif
21,1.14118192E-02,3.29859667E-02,-5.31646555E-05,-1.52317662E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0022.tif
22,1.14047919E-02,3.29691879E-02,-6.01919267E-05,-1.69100342E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0023.tif
23,1.14063304E-02,3.29722501E-02,-5.86535036E-05,-1.66032987E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0024.tif
24,1.14160566E-02,3.29968855E-02,-4.89272580E-05,-1.41399680E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0025.tif
25,1.14034231E-02,3.29564512E-02,-6.15607706E-05,-1.81831783E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0026.tif
26,1.14147532E-02,3.29958797E-02,-5.02307401E-05,-1.42402234E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0027.tif
27,1.14002498E-02,3.29485573E-02,-6.47340678E-05,-1.89729559E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0028.tif
28,1.14150253E-02,3.30008045E-02,-4.99585566E-05,-1.37478331E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0029.tif
29,1.14055078E-02,3.29660587E-02,-5.94760218E-05,-1.72227054E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0030.tif
30,1.14065651E-02,3.29714753E-02,-5.84187973E-05,-1.66811078E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0031.tif
31,1.14126094E-02,3.29847932E-02,-5.23744372E-05,-1.53491768E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0032.tif
32,1.14073937E-02,3.29827778E-02,-5.75901326E-05,-1.55504691E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0033.tif
33,1.14033889E-02,3.29559073E-02,-6.15949645E-05,-1.82378077E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0034.tif
34,1.14049593E-02,3.29701118E-02,-6.00245420E-05,-1.68174214E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0035.tif
