Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.16946149E-02,3.37990038E-02,4.93410067E-06,1.42952485E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0001.tif
1,1.16815729E-02,3.37670818E-02,-8.10789577E-06,-1.76272133E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0002.tif
2,1.17020848E-02,3.38273682E-02,1.24038920E-05,4.26601437E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0003.tif
3,1.17013974E-02,3.38221341E-02,1.17165679E-05,3.74254523E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0004.tif
4,1.17003945E-02,3.38193886E-02,1.07136092E-05,3.46794659E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0005.tif
5,1.17025392E-02,3.38180251E-02,1.28583375E-05,3.33135795E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0006.tif
6,1.17081010E-02,3.38368267E-02,1.84201600E-05,5.21208785E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0007.tif
7,1.16954585E-02,3.37992497E-02,5.77765695E-06,1.45401982E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0008.tif
8,1.16937370E-02,3.37951444E-02,4.05610159E-06,1.04374558E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0009.tif
9,1.16918698E-02,3.37950476E-02,2.18892413E-06,1.03388065E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0010.tif
10,1.17065054E-02,3.38315293E-02,1.68245511E-05,4.68196267E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0011.tif
11,1.17025275E-02,3.38323973E-02,1.28466681E-05,4.76887726E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0012.tif
12,1.16880088E-02,3.37753557E-02,-1.67203635E-06,-9.35428670E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0013.tif
13,1.16816922E-02,3.37540619E-02,-7.98867512E-06,-3.06492184E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0014.tif
14,1.16960023E-02,3.38080153E-02,6.32141032E-06,2.33070405E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0015.tif
15,1.16890126E-02,3.37837823E-02,-6.68204684E-07,-9.28721306E-07,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0016.tif
16,1.16949759E-02,3.37976441E-02,5.29505877E-06,1.29358768E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0017.tif
17,1.16905916E-02,3.37875374E-02,9.10685827E-07,2.83044210E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0018.tif
18,1.16885540E-02,3.37794758E-02,-1.12679212E-06,-5.23106928E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0019.tif
19,1.16834167E-02,3.37667055E-02,-6.26418112E-06,-1.80009647E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0020.tif
20,1.16835614E-02,3.37727740E-02,-6.11940326E-06,-1.19347505E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0021.tif
21,1.16970392E-02,3.38021293E-02,7.35833278E-06,1.74209490E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0022.tif
22,1.16981851E-02,3.38064469E-02,8.50427498E-06,2.17394663E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0023.tif
23,1.16914441E-02,3.37855332E-02,1.76322825E-06,8.23990888E-07,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0024.tif
24,1.16916557E-02,3.37863229E-02,1.97485264E-06,1.61661933E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0025.tif
25,1.16988602E-02,3.38095501E-02,9.17929481E-06,2.48418728E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0026.tif
26,1.17096612E-02,3.38440575E-02,1.99803925E-05,5.93481418E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0027.tif
27,1.16976712E-02,3.38051878E-02,7.99036999E-06,2.04786938E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0028.tif
28,1.16936346E-02,3.37977111E-02,3.95380363E-06,1.30038552E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0029.tif
29,1.16858740E-02,3.37697901E-02,-3.80686648E-06,-1.49195203E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0030.tif
30,1.16869427E-02,3.37732621E-02,-2.73813212E-06,-1.14475715E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0031.tif
31,1.16845075E-02,3.37742791E-02,-5.17336602E-06,-1.04302089E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0032.tif
32,1.16933652E-02,3.37975621E-02,3.68439332E-06,1.28537968E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS14_034_0033.tif
