,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS8,1020,450,2212,2051,2079,2099,2037,2085,2397,2310,2269,2064,1977,1911,1984,2288,2281,2094,1911,1821
GS8,1020,451,2711,2503,2548,2582,2509,2568,2929,2845,2804,2532,2429,2374,2442,2815,2780,2553,2345,2210
GS8,1020,452,3338,3111,3150,3165,3065,3129,3597,3486,3444,3128,2990,2910,3002,3457,3429,3124,2884,2724
GS8,1020,453,4180,3905,3926,3946,3861,3930,4525,4388,4317,3953,3759,3635,3760,4376,4328,3933,3620,3428
GS8,1020,454,5097,4748,4818,4832,4711,4793,5478,5360,5228,4785,4614,4433,4573,5306,5243,4771,4400,4167
GS8,1020,455,6130,5753,5822,5843,5647,5798,6609,6441,6350,5772,5537,5380,5460,6374,6322,5768,5289,5012
GS8,1020,456,7357,6896,6992,7017,6801,6951,7946,7765,7657,6949,6669,6485,6575,7649,7622,6939,6377,6049
GS8,1020,457,8812,8267,8362,8376,8127,8326,9469,9258,9169,8350,7989,7790,7862,9129,9082,8305,7602,7182
GS8,1020,458,10544,9864,9984,10052,9748,9932,11342,11100,10976,9981,9609,9327,9432,10968,10886,9919,9149,8607
GS8,1020,459,12305,11508,11665,11690,11408,11601,13305,13047,12839,11702,11186,10886,10988,12832,12741,11632,10653,10060
GS8,1020,460,14265,13385,13495,13540,13203,13476,15434,15102,14863,13595,13056,12623,12755,14876,14757,13492,12338,11632
GS8,1020,461,16335,15358,15510,15600,15152,15476,17732,17429,17188,15624,15002,14514,14630,17019,17035,15510,14187,13393
GS8,1020,462,18858,17729,17913,17964,17443,17822,20410,20154,19857,18119,17366,16887,16987,19759,19653,17955,16429,15582
GS8,1020,463,21244,19924,20141,20232,19659,20151,23057,22750,22458,20504,19642,19019,19053,22197,22194,20274,18535,17517
GS8,1020,464,23578,22073,22383,22553,21855,22259,25685,25306,25094,22873,21899,21267,21263,24723,24660,22512,20634,19520
GS8,1020,465,26211,24607,24888,25090,24358,24834,28690,28309,27980,25541,24470,23772,23758,27653,27603,25305,23105,21804
GS8,1020,466,28387,26760,27049,27225,26369,27076,31127,30787,30479,27824,26675,25841,25734,30071,30099,27432,25116,23710
GS8,1020,467,30525,28638,28981,29174,28296,28926,33459,33109,32736,29987,28755,27842,27737,32374,32236,29497,27042,25437
GS8,1020,468,32462,30552,30946,31041,30235,30815,35726,35425,35124,32075,30731,29750,29644,34525,34555,31580,28961,27294
GS8,1020,469,34429,32495,32749,33024,32088,32762,38076,37745,37460,34223,32872,31857,31619,36741,36835,33719,30735,29104
GS8,1020,470,36005,33883,34272,34423,33433,34114,39695,39632,39293,35810,34417,33308,33001,38386,38617,35239,32243,30458
GS8,1020,471,36788,34645,35083,35315,34228,34913,40730,40550,40222,36778,35267,34202,33756,39393,39512,36101,33056,31206
GS8,1020,472,37845,35600,36067,36235,35112,35935,41917,41716,41424,37954,36426,35315,34922,40726,40730,37311,34259,32284
GS8,1020,473,38325,36012,36547,36693,35591,36456,42719,42486,42281,38715,37161,35992,35512,41416,41444,37978,34821,32919
GS8,1020,474,38545,36331,36731,36896,35798,36588,42870,42728,42506,38887,37438,36223,35622,41661,41652,38136,34984,33093
GS8,1020,475,38767,36497,36915,37054,36028,36700,43212,43174,42944,39330,37760,36633,36129,41985,42091,38548,35383,33435
GS8,1020,476,38102,35805,36235,36505,35448,36208,42657,42581,42310,38774,37331,36123,35588,41460,41550,37967,34930,33061
GS8,1020,477,37770,35532,36064,36044,35020,35773,42382,42088,41994,38415,36997,35873,35180,41132,41263,37679,34655,32790
GS8,1020,478,36871,34746,35211,35225,34281,34970,41460,41310,41033,37684,36209,35138,34544,40327,40411,37003,33904,32045
GS8,1020,479,36294,34110,34557,34662,33556,34308,40713,40536,40377,36979,35540,34610,34007,39626,39670,36311,33311,31524
GS8,1020,480,35412,33198,33607,33766,32694,33441,39786,39526,39360,35991,34697,33765,33137,38539,38686,35440,32438,30626
GS8,1020,481,34612,32422,32840,32912,31942,32671,38773,38640,38400,35343,33928,32896,32491,37727,37895,34701,31782,30082
GS8,1020,482,33765,31571,32012,32083,31118,31819,37750,37679,37420,34369,32976,32022,31571,36652,36906,33760,30980,29272
GS8,1020,483,32552,30544,30875,31021,30055,30692,36503,36343,36216,33194,31860,30936,30520,35525,35650,32620,29910,28259
GS8,1020,484,32131,30064,30443,30560,29686,30302,35897,35736,35655,32595,31351,30418,30041,34880,34975,31988,29438,27749
GS8,1020,485,31294,29273,29701,29794,28898,29542,35023,34809,34579,31774,30515,29657,29210,34017,34116,31262,28700,27160
GS8,1020,486,31002,29064,29406,29444,28700,29318,34726,34551,34283,31455,30205,29343,28987,33803,33797,30973,28431,26879
GS8,1020,487,30524,28649,28932,29051,28270,28862,34057,33839,33605,30832,29666,28893,28558,33065,33222,30470,27933,26398
GS8,1020,488,30162,28246,28671,28723,27880,28526,33546,33309,33176,30393,29207,28405,28057,32550,32652,29812,27415,26002
GS8,1020,489,30188,28251,28549,28725,27913,28568,33400,33204,33010,30248,29121,28282,27974,32451,32480,29852,27370,26022
GS8,1020,490,30158,28274,28635,28714,27942,28559,33298,33027,32911,30219,29068,28221,27891,32283,32402,29763,27281,25916
GS8,1020,491,30156,28323,28660,28739,27922,28515,33052,32896,32581,29918,28804,28087,27632,32063,32122,29523,27179,25787
GS8,1020,492,30661,28757,29195,29215,28381,29059,33427,33170,33019,30394,29275,28506,28062,32451,32574,29929,27590,26197
GS8,1020,493,31032,29113,29512,29546,28789,29351,33626,33303,33127,30445,29439,28753,28229,32575,32655,30079,27738,26422
GS8,1020,494,31750,29843,30126,30370,29507,30000,34143,33820,33624,30955,29910,29305,28723,33132,33254,30594,28203,26952
GS8,1020,495,32780,30801,31214,31284,30416,31001,35015,34589,34362,31791,30705,30129,29368,33871,33922,31294,29007,27662
GS8,1020,496,33523,31581,32006,32131,31155,31795,35499,35013,34878,32287,31308,30740,29767,34275,34425,31757,29461,28259
