,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
E1A,1020,450,409,382,402,363,378,369,492,567,615,565,537,540,485,510,521,476,471,460
E1A,1020,451,484,451,485,437,461,441,603,691,740,689,659,653,587,614,630,586,578,562
E1A,1020,452,593,563,585,528,559,533,735,840,898,838,798,791,713,749,782,714,707,679
E1A,1020,453,725,695,718,647,685,657,913,1031,1127,1046,997,973,873,920,958,883,880,848
E1A,1020,454,872,827,868,790,826,793,1090,1267,1367,1263,1210,1195,1062,1129,1164,1060,1057,1016
E1A,1020,455,1046,990,1047,942,989,956,1308,1507,1646,1528,1461,1434,1277,1348,1402,1288,1293,1232
E1A,1020,456,1244,1200,1233,1130,1178,1150,1582,1821,1975,1834,1744,1736,1527,1614,1683,1543,1531,1475
E1A,1020,457,1504,1430,1496,1353,1412,1370,1871,2168,2355,2177,2089,2054,1806,1938,1996,1844,1804,1748
E1A,1020,458,1778,1706,1768,1607,1668,1619,2238,2588,2806,2602,2499,2468,2164,2313,2381,2198,2177,2111
E1A,1020,459,2090,1987,2069,1884,1966,1883,2624,3015,3290,3067,2922,2893,2541,2697,2799,2564,2535,2454
E1A,1020,460,2413,2303,2415,2173,2285,2185,3031,3511,3827,3574,3404,3346,2933,3124,3224,2976,2966,2865
E1A,1020,461,2750,2626,2742,2480,2605,2505,3478,4009,4395,4092,3890,3839,3383,3613,3729,3434,3398,3274
E1A,1020,462,3178,3043,3182,2870,3030,2905,4025,4665,5107,4723,4515,4456,3934,4177,4317,3973,3919,3781
E1A,1020,463,3597,3436,3597,3231,3407,3272,4527,5284,5767,5342,5096,5052,4407,4689,4846,4497,4468,4273
E1A,1020,464,3982,3811,3986,3616,3793,3616,5047,5873,6416,5960,5689,5585,4879,5210,5413,5006,4950,4757
E1A,1020,465,4461,4265,4437,4008,4223,4045,5623,6566,7162,6635,6332,6243,5481,5833,6070,5603,5540,5311
E1A,1020,466,4835,4617,4812,4357,4578,4409,6108,7115,7830,7273,6923,6800,5934,6357,6596,6077,6008,5767
E1A,1020,467,5186,4951,5197,4666,4890,4726,6566,7676,8381,7813,7453,7343,6362,6815,7104,6535,6491,6212
E1A,1020,468,5529,5285,5539,5006,5250,5057,6996,8210,9009,8394,7975,7895,6819,7297,7614,7029,6967,6652
E1A,1020,469,5888,5625,5880,5312,5611,5354,7494,8760,9617,8883,8496,8415,7226,7787,8123,7489,7381,7122
E1A,1020,470,6121,5869,6139,5570,5828,5605,7797,9156,10063,9343,8886,8779,7583,8158,8476,7838,7730,7434
E1A,1020,471,6267,5984,6277,5645,5948,5735,7990,9370,10267,9549,9137,8970,7741,8321,8703,8010,7911,7640
E1A,1020,472,6487,6229,6496,5854,6149,5883,8281,9750,10653,9902,9455,9333,8023,8639,9003,8320,8225,7851
E1A,1020,473,6557,6306,6589,5955,6240,5996,8443,9829,10819,10075,9627,9493,8143,8770,9167,8483,8352,7998
E1A,1020,474,6588,6282,6604,5967,6288,5998,8430,9858,10890,10081,9656,9521,8221,8820,9224,8503,8378,8063
E1A,1020,475,6612,6358,6654,6021,6299,6072,8524,9986,10961,10219,9725,9590,8262,8932,9291,8546,8495,8130
E1A,1020,476,6536,6231,6557,5935,6218,5985,8413,9827,10834,10070,9630,9458,8163,8797,9191,8462,8338,7997
E1A,1020,477,6476,6202,6490,5848,6168,5901,8350,9806,10781,9978,9528,9418,8098,8797,9093,8421,8306,7953
E1A,1020,478,6359,6069,6364,5752,6021,5795,8181,9544,10518,9776,9347,9259,7961,8567,8920,8223,8146,7823
E1A,1020,479,6279,5979,6278,5657,5938,5730,8022,9405,10351,9578,9213,9076,7803,8427,8760,8093,8006,7691
E1A,1020,480,6084,5862,6134,5546,5796,5560,7842,9165,10087,9370,8947,8821,7625,8225,8564,7863,7792,7520
E1A,1020,481,6005,5733,6024,5447,5709,5469,7709,9025,9892,9155,8754,8627,7481,8102,8422,7775,7675,7372
E1A,1020,482,5889,5634,5888,5329,5573,5361,7538,8775,9625,8972,8553,8413,7311,7908,8195,7568,7476,7150
E1A,1020,483,5728,5465,5717,5187,5443,5217,7297,8506,9337,8651,8280,8166,7102,7653,7931,7360,7246,6954
E1A,1020,484,5688,5435,5672,5130,5386,5170,7244,8415,9255,8537,8178,8072,7058,7537,7875,7222,7149,6852
E1A,1020,485,5590,5364,5576,5086,5305,5097,7114,8234,9021,8365,7991,7874,6878,7405,7649,7069,6974,6697
E1A,1020,486,5600,5363,5622,5092,5297,5110,7075,8226,8949,8294,7913,7856,6887,7388,7627,7065,6962,6701
E1A,1020,487,5607,5375,5646,5091,5349,5144,7012,8142,8878,8206,7821,7738,6822,7274,7542,6944,6851,6625
E1A,1020,488,5637,5365,5664,5078,5341,5130,6990,8029,8756,8128,7757,7643,6765,7235,7483,6881,6822,6564
E1A,1020,489,5772,5524,5750,5230,5472,5268,7049,8113,8830,8174,7800,7676,6871,7290,7513,6938,6868,6647
E1A,1020,490,5938,5665,5941,5376,5651,5421,7145,8214,8867,8251,7852,7720,6973,7386,7603,6963,6961,6683
E1A,1020,491,6110,5783,6079,5515,5774,5544,7243,8266,8929,8238,7857,7715,7049,7409,7629,7015,6957,6753
E1A,1020,492,6412,6128,6429,5813,6123,5850,7488,8489,9173,8507,8067,7942,7307,7657,7884,7260,7217,6911
E1A,1020,493,6748,6450,6756,6163,6425,6176,7682,8721,9384,8672,8227,8093,7532,7874,8030,7414,7364,7049
E1A,1020,494,7260,6918,7250,6600,6868,6604,8122,9078,9734,8994,8546,8367,7902,8221,8411,7726,7688,7416
E1A,1020,495,7875,7524,7855,7182,7462,7188,8584,9514,10206,9400,8948,8769,8384,8665,8806,8077,8061,7772
E1A,1020,496,8473,8085,8506,7733,8026,7744,9008,9924,10555,9698,9268,9127,8787,9050,9205,8421,8396,8072
E1A,1020,497,9333,8964,9350,8528,8841,8485,9644,10615,11221,10359,9823,9633,9458,9669,9791,8976,8915,8623
