,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,450,1124,843,1175,1077,1075,1053,0,0,0,0,0,0,1107,1197,910,1047,1077,988,0,0,0,0,0,0,0,0,0,0,0,0,1128,957,879,868,748,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,1106,946,1463,1471,1419,1344,853,1344,1300,1525,1519
FUS,1020,451,1397,1029,1455,1336,1327,1324,0,0,0,0,0,0,1363,1481,1123,1297,1309,1184,0,0,0,0,0,0,0,0,0,0,0,0,1404,1182,1083,1056,905,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1381,1154,1796,1846,1771,1690,1059,1665,1617,1898,1901
FUS,1020,452,1717,1283,1791,1670,1653,1636,0,0,0,0,0,0,1669,1811,1372,1560,1584,1426,0,0,0,0,0,0,0,0,0,0,0,0,1707,1450,1305,1275,1094,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,1704,1422,2218,2245,2191,2064,1294,2066,1983,2353,2353
FUS,1020,453,2115,1574,2226,2051,2024,1991,0,0,0,0,0,0,2046,2203,1650,1890,1929,1725,0,0,0,0,0,0,0,0,0,0,0,0,2103,1776,1578,1538,1309,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503,2086,1741,2726,2765,2663,2517,1577,2501,2432,2879,2868
FUS,1020,454,2596,1938,2727,2499,2507,2468,0,0,0,0,0,0,2498,2694,2027,2309,2346,2079,0,0,0,0,0,0,0,0,0,0,0,0,2545,2151,1938,1855,1586,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,2552,2150,3356,3370,3283,3111,1933,3081,3004,3532,3523
FUS,1020,455,3180,2368,3331,3057,3063,2982,0,0,0,0,0,0,3012,3250,2458,2803,2815,2518,0,0,0,0,0,0,0,0,0,0,0,0,3102,2608,2332,2242,1895,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229,3119,2594,4066,4096,3986,3766,2357,3756,3638,4312,4307
FUS,1020,456,3828,2858,4027,3693,3712,3618,0,0,0,0,0,0,3607,3918,2942,3342,3364,2996,0,0,0,0,0,0,0,0,0,0,0,0,3732,3130,2758,2707,2263,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2672,3741,3113,4905,4968,4791,4549,2834,4542,4405,5198,5191
FUS,1020,457,4577,3415,4802,4425,4410,4333,0,0,0,0,0,0,4319,4667,3476,3962,3975,3529,0,0,0,0,0,0,0,0,0,0,0,0,4437,3702,3306,3192,2691,2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177,4440,3694,5842,5877,5717,5382,3384,5406,5236,6199,6206
