,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,450,798,683,745,741,672,693,0,0,0,0,0,0,958,908,869,811,744,853,0,0,0,0,0,0,0,0,0,0,0,0,828,786,751,680,622,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,973,1025,999,1014,1078,848,1054,1159,1098,1129,1139
PUMA S3,1020,451,991,840,905,913,843,860,0,0,0,0,0,0,1176,1094,1073,979,898,1021,0,0,0,0,0,0,0,0,0,0,0,0,1003,950,898,812,742,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,1209,1279,1252,1277,1339,1036,1316,1438,1340,1396,1400
PUMA S3,1020,452,1219,1043,1143,1127,1039,1057,0,0,0,0,0,0,1433,1349,1313,1197,1083,1241,0,0,0,0,0,0,0,0,0,0,0,0,1233,1161,1093,975,888,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457,1492,1556,1525,1551,1644,1277,1607,1768,1665,1735,1736
PUMA S3,1020,453,1498,1277,1401,1384,1276,1302,0,0,0,0,0,0,1754,1616,1589,1436,1300,1475,0,0,0,0,0,0,0,0,0,0,0,0,1497,1412,1328,1185,1053,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,1799,1895,1856,1893,2008,1552,1975,2151,2022,2096,2098
PUMA S3,1020,454,1846,1551,1712,1714,1554,1608,0,0,0,0,0,0,2150,1975,1919,1736,1567,1786,0,0,0,0,0,0,0,0,0,0,0,0,1841,1715,1599,1425,1274,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,2195,2339,2300,2331,2460,1882,2409,2655,2485,2596,2596
PUMA S3,1020,455,2252,1913,2096,2095,1909,1944,0,0,0,0,0,0,2609,2423,2347,2106,1895,2143,0,0,0,0,0,0,0,0,0,0,0,0,2217,2074,1946,1715,1517,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2652,2681,2835,2803,2825,3010,2315,2946,3245,3059,3147,3145
PUMA S3,1020,456,2704,2318,2520,2533,2295,2344,0,0,0,0,0,0,3114,2878,2798,2514,2242,2544,0,0,0,0,0,0,0,0,0,0,0,0,2655,2469,2332,2031,1819,1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3149,3203,3373,3347,3387,3599,2780,3522,3864,3669,3783,3776
PUMA S3,1020,457,3244,2757,3005,3046,2754,2832,0,0,0,0,0,0,3678,3424,3292,2957,2646,2989,0,0,0,0,0,0,0,0,0,0,0,0,3157,2929,2752,2410,2134,2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3765,3797,4024,3976,4017,4275,3311,4212,4662,4352,4485,4517
