,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24
PUMA WT,1020,450,872,778,839,765,846,710,848,775,737,1191,546,520,886,826,805,801,751,712,832,801,803,769,797,834,920,938,903,866,853,831,914,673,392,204,147,128,872,648,376,244,161,133,836,470,248,170,133,136,842,851,888,849,866,828,852,842,937,939,940,965,736,640,641,661,671,671,790,715,743,733,676,676,815,788,774,710,677,593,782,652,439,256,161,151,754,485,261,180,138,138,784,461,250,181,153,148
PUMA WT,1020,451,1079,950,1031,955,1038,863,1033,949,878,1340,633,606,1089,1015,985,967,887,861,1010,976,980,953,980,1016,1137,1146,1107,1064,1035,1030,1105,815,483,253,164,153,1058,787,457,288,185,162,1030,564,295,204,155,156,1028,1036,1071,1042,1037,995,1041,1035,1143,1140,1152,1161,887,744,748,769,766,750,958,865,918,889,828,830,995,956,939,861,838,720,936,782,542,300,192,172,922,583,314,218,166,156,957,556,303,212,174,171
PUMA WT,1020,452,1314,1178,1266,1154,1277,1068,1267,1144,1063,1515,742,688,1336,1225,1195,1201,1068,1031,1237,1195,1207,1165,1193,1245,1387,1410,1367,1306,1287,1240,1335,990,587,298,198,179,1289,967,555,344,224,189,1265,691,350,242,187,187,1254,1257,1299,1268,1277,1220,1278,1252,1384,1399,1401,1409,1070,896,868,878,873,844,1196,1076,1111,1091,1010,1007,1223,1184,1144,1053,1015,878,1153,962,640,362,226,209,1131,718,378,255,190,179,1161,674,363,252,207,199
PUMA WT,1020,453,1645,1481,1584,1475,1615,1337,1570,1423,1309,1755,879,826,1673,1530,1507,1493,1336,1305,1544,1480,1517,1456,1511,1559,1718,1749,1696,1631,1594,1565,1640,1229,719,368,244,217,1581,1196,686,419,266,222,1586,845,426,293,219,217,1582,1589,1644,1594,1590,1506,1599,1568,1712,1738,1739,1765,1331,1094,1056,1039,1038,960,1496,1343,1381,1363,1279,1265,1527,1470,1446,1318,1267,1097,1439,1195,808,459,282,251,1410,883,477,311,235,223,1442,844,442,306,247,241
PUMA WT,1020,454,1990,1801,1939,1806,1986,1635,1899,1727,1578,2032,1036,961,2051,1866,1835,1817,1605,1571,1884,1820,1839,1775,1833,1890,2103,2127,2075,1991,1938,1891,1985,1491,877,444,293,258,1927,1449,832,509,309,268,1907,1033,519,344,266,260,1918,1919,2002,1933,1927,1841,1959,1916,2110,2096,2119,2146,1607,1301,1251,1222,1193,1105,1814,1633,1708,1668,1536,1538,1846,1783,1746,1595,1537,1334,1742,1448,984,544,330,298,1724,1071,571,367,277,266,1757,1021,535,354,288,276
PUMA WT,1020,455,2424,2167,2338,2178,2374,1959,2271,2072,1880,2349,1221,1115,2447,2251,2190,2169,1917,1904,2244,2176,2217,2138,2203,2293,2547,2569,2494,2383,2362,2291,2374,1806,1060,536,343,301,2295,1743,1003,608,363,310,2300,1227,628,410,306,296,2321,2342,2402,2340,2296,2212,2369,2339,2528,2549,2542,2560,1918,1549,1466,1419,1390,1266,2192,1956,2034,2003,1859,1850,2216,2146,2078,1924,1855,1602,2082,1744,1166,649,387,340,2053,1291,682,437,326,312,2090,1215,645,428,332,332
PUMA WT,1020,456,2908,2628,2817,2608,2857,2390,2716,2440,2250,2721,1417,1301,2943,2693,2622,2610,2290,2248,2696,2596,2666,2580,2635,2743,3027,3083,3014,2866,2818,2742,2853,2168,1263,634,404,352,2735,2086,1192,729,433,364,2745,1476,747,488,369,352,2802,2808,2892,2808,2753,2627,2842,2794,3055,3043,3046,3051,2288,1844,1737,1649,1601,1446,2633,2370,2449,2398,2223,2217,2675,2595,2518,2323,2209,1922,2513,2105,1404,779,461,413,2469,1538,808,521,382,363,2517,1441,763,513,401,381
PUMA WT,1020,457,3525,3145,3389,3120,3415,2849,3253,2922,2664,3155,1694,1509,3532,3230,3137,3099,2743,2706,3221,3131,3170,3053,3159,3260,3637,3683,3600,3428,3373,3281,3364,2572,1502,753,483,425,3244,2495,1422,856,499,423,3252,1752,874,571,423,409,3340,3343,3452,3339,3288,3134,3397,3338,3642,3634,3613,3655,2733,2179,2035,1940,1868,1655,3139,2830,2931,2870,2656,2664,3176,3060,3020,2748,2654,2292,3004,2503,1650,916,546,476,2936,1824,951,621,451,427,2986,1724,887,590,466,445
PUMA WT,1020,458,4199,3763,4069,3765,4104,3411,3873,3491,3164,3685,1968,1765,4247,3875,3801,3734,3263,3226,3862,3726,3792,3651,3769,3920,4333,4419,4301,4115,4034,3936,4010,3100,1807,898,567,509,3884,2949,1691,1028,591,506,3911,2083,1047,682,502,480,4039,4015,4138,3995,3947,3752,4073,3996,4356,4369,4345,4365,3260,2583,2422,2256,2178,1901,3755,3370,3499,3449,3168,3165,3811,3686,3620,3287,3184,2730,3595,2980,1991,1096,641,575,3508,2172,1146,730,535,507,3583,2053,1059,704,550,522
