idr,N,sol,conc,unit,E_f_mean,E_f_err,E_f_sim,E_f_sim_q1,E_f_sim_q3,R_g_mean,R_g_err,R_g_sim,R_g_sim_q1,R_g_sim_q3
GS0,0,Buffer (standard),0,,0.573899912,0.005629574,0.600148905,0.774172264,0.41079592,32.59,0.509901951,33.08592303,30.39849114,35.73640527
GS0,0,Buffer (no NaCl),0,,0.637331007,0.006711531,,,,,,,,
GS0,0,Glycine,0,M,0.573899912,0.005629574,,,,,,,,
GS0,0,Glycine,0.287769784,M,0.595595,0.004622872,,,,,,,,
GS0,0,Glycine,0.575539568,M,0.611587912,0.004458955,,,,,,,,
GS0,0,Glycine,0.863309353,M,0.633314657,0.004424337,,,,,,,,
GS0,0,Glycine,1.151079137,M,0.666053354,0.003466332,,,,,,,,
GS0,0,Glycine,1.438848921,M,0.695275461,0.007867018,,,,,,,,
GS0,0,Glycine,1.726618705,M,0.721566572,0.003194345,,,,,,,,
GS0,0,Urea,0,M,0.573899912,0.005629574,,,,,,,,
GS0,0,Urea,0.25,M,0.565637196,0.003568625,,,,,,,,
GS0,0,Urea,0.5,M,0.552520181,0.008217146,,,,,,,,
GS0,0,Urea,0.75,M,0.531763126,0.006217105,,,,,,,,
GS0,0,Urea,1,M,0.517943842,0.004968687,,,,,,,,
GS0,0,Urea,1.25,M,0.504212176,0.006681804,,,,,,,,
GS0,0,Urea,1.5,M,0.491663767,0.007490886,,,,,,,,
GS0,0,Sucrose,0,M,0.573899912,0.005629574,,,,,,,,
GS0,0,Sucrose,0.126182965,M,0.564422127,0.008627616,,,,,,,,
GS0,0,Sucrose,0.252365931,M,0.546673074,0.011296354,,,,,,,,
GS0,0,Sucrose,0.378548896,M,0.540391553,0.015364203,,,,,,,,
GS0,0,Sucrose,0.504731861,M,0.533665315,0.008381834,,,,,,,,
GS0,0,Sucrose,0.630914826,M,0.529940809,0.009630833,,,,,,,,
GS0,0,Sucrose,0.757097792,M,0.533859933,0.010898908,,,,,,,,
