construct,FPorder,basal_counts,100mOsm_counts,300mOsm_counts,750mOsm_counts,,construct,cytoplasm_counts,nucleus_counts
GS0,O,7164,2426,400,1810,,Ash1,31,31
GS16,O,8823,3101,597,2667,,E1A,17,17
GS32,O,28338,4542,5666,11058,,FUS,81,81
GS48,O,20204,4734,3609,4185,,p53,23,23
GS64,O,31447,4097,5737,13242,,GS0,176,174
PUMA WT,O,12495,3118,4879,2555,,GS16,153,153
PUMA S1,O,24070,5130,6166,4546,,GS32,317,316
PUMA S2,O,17963,4288,4951,2675,,GS48,147,147
PUMA S3,O,17735,4409,3362,2726,,GS64,45,45
Ash1,O,15814,4165,3632,4223,,,,
E1A,O,5994,1678,1783,1798,,,,
FUS,O,7129,1912,1845,1419,,,,
p53,O,13847,3657,3943,3934,,,,
GS16,F,27456,8512,9571,8746,,,,
PUMA WT,F,23424,7478,7989,6721,,,,
Ash1,F,18536,5998,6197,5411,,,,
E1A,F,23548,5546,7189,7716,,,,
p53,F,25118,8127,8302,8601,,,,
