Q,I(Q),Error
2.99882683E-03,3.01903188E-02,3.02084182E-03
3.28442939E-03,3.24837379E-02,1.66363871E-03
3.57003195E-03,3.13470848E-02,1.40134697E-03
3.85563450E-03,3.29471081E-02,1.15100561E-03
4.14123706E-03,3.20833623E-02,9.22265634E-04
4.42683961E-03,3.17590982E-02,7.84416765E-04
4.71244217E-03,3.20568383E-02,7.19224925E-04
4.99804472E-03,3.13205533E-02,6.84392450E-04
5.28364728E-03,3.29231694E-02,6.59513492E-04
5.56924984E-03,3.29739191E-02,6.55379760E-04
5.85485239E-03,3.15528102E-02,6.46648812E-04
6.14045495E-03,3.13076749E-02,6.27082363E-04
6.42605750E-03,3.13799120E-02,6.12397890E-04
6.71166006E-03,3.21594700E-02,5.95115036E-04
6.99726261E-03,3.08152139E-02,5.78796653E-04
7.28286517E-03,3.20935324E-02,5.77836114E-04
7.56846773E-03,3.16274241E-02,5.69700843E-04
7.85407028E-03,3.09588574E-02,5.48236423E-04
8.13967284E-03,3.18262465E-02,5.41079414E-04
8.42527539E-03,3.24355066E-02,5.41939865E-04
8.71087795E-03,3.25472653E-02,5.28221870E-04
8.99648050E-03,3.13593335E-02,5.21633690E-04
9.28208306E-03,3.10816877E-02,5.04856706E-04
9.56768562E-03,3.15914191E-02,4.97579305E-04
9.85328817E-03,3.01337689E-02,5.04387840E-04
1.01388907E-02,2.99566686E-02,4.79970735E-04
1.04244933E-02,3.15251686E-02,4.75834699E-04
1.07100958E-02,3.08456086E-02,4.77477744E-04
1.09956984E-02,3.12115885E-02,4.71177521E-04
1.12813009E-02,3.07694934E-02,4.71732660E-04
1.15669035E-02,3.03415805E-02,4.50328546E-04
1.18525061E-02,3.09757851E-02,4.52990574E-04
1.21381086E-02,2.96363384E-02,4.44684127E-04
1.24237112E-02,2.94613875E-02,4.09897766E-04
1.27093137E-02,3.05499509E-02,4.05143646E-04
1.29949163E-02,2.95385048E-02,3.85037380E-04
1.32805188E-02,2.99474448E-02,3.84013244E-04
1.35661214E-02,2.97900736E-02,3.71931570E-04
1.38517240E-02,2.93976404E-02,3.64654268E-04
1.41373265E-02,2.91023031E-02,3.57060459E-04
1.44229291E-02,2.89399326E-02,3.52421799E-04
1.47085316E-02,2.95401998E-02,3.48486290E-04
1.49941342E-02,2.93355472E-02,3.40571540E-04
1.52797367E-02,2.88047977E-02,3.36289098E-04
1.55653393E-02,2.88086496E-02,3.28280012E-04
1.58509418E-02,2.86086798E-02,3.26364604E-04
1.61365444E-02,2.87651159E-02,3.20879721E-04
1.64221470E-02,2.78225802E-02,3.15037698E-04
1.67077495E-02,2.78458893E-02,3.11370953E-04
1.69933521E-02,2.74112411E-02,3.05188827E-04
1.72789546E-02,2.79565416E-02,3.04240820E-04
1.75645572E-02,2.78918855E-02,3.00677604E-04
1.78501597E-02,2.78501697E-02,2.95852097E-04
1.81357623E-02,2.71210447E-02,2.94129763E-04
1.84213648E-02,2.71819048E-02,2.88122050E-04
1.87069674E-02,2.70115733E-02,2.85854884E-04
1.89925700E-02,2.66209953E-02,2.84959561E-04
1.92781725E-02,2.68813744E-02,2.77421304E-04
1.95637751E-02,2.68812440E-02,2.79061397E-04
1.98493776E-02,2.66326480E-02,2.72454548E-04
2.01349802E-02,2.64575109E-02,2.72522474E-04
2.04205827E-02,2.66287029E-02,2.71038241E-04
2.07061853E-02,2.59393714E-02,2.63482842E-04
2.09917878E-02,2.59885117E-02,2.64006326E-04
2.12773904E-02,2.55294479E-02,2.59112007E-04
2.15629930E-02,2.54926644E-02,2.58910012E-04
2.18485955E-02,2.54579857E-02,2.56472093E-04
2.21341981E-02,2.59486958E-02,2.53469205E-04
2.24198006E-02,2.54691243E-02,2.52105586E-04
2.27054032E-02,2.46289261E-02,2.48857789E-04
2.29910057E-02,2.48326808E-02,2.47137686E-04
2.32766083E-02,2.46864893E-02,2.43211972E-04
2.35622108E-02,2.41634659E-02,2.42861761E-04
2.38478134E-02,2.46181190E-02,2.40675725E-04
2.41334160E-02,2.43373141E-02,2.38748233E-04
