Q,I(Q),Error
2.99882683E-03,8.52718370E-01,7.48543539E-02
3.28442939E-03,6.62077907E-01,4.03621848E-02
3.57003195E-03,7.72279920E-01,3.43765193E-02
3.85563450E-03,8.39288270E-01,2.80802253E-02
4.14123706E-03,7.87644735E-01,2.26278371E-02
4.42683961E-03,7.84526372E-01,1.91922000E-02
4.71244217E-03,8.23497040E-01,1.75023899E-02
4.99804472E-03,7.87972055E-01,1.65805373E-02
5.28364728E-03,7.82091573E-01,1.57553420E-02
5.56924984E-03,8.18750982E-01,1.56396981E-02
5.85485239E-03,8.54014413E-01,1.55540861E-02
6.14045495E-03,7.93566715E-01,1.50073436E-02
6.42605750E-03,8.27538825E-01,1.45733135E-02
6.71166006E-03,8.04107093E-01,1.40781551E-02
6.99726261E-03,7.98103269E-01,1.37526030E-02
7.28286517E-03,8.10453930E-01,1.35731828E-02
7.56846773E-03,7.74556587E-01,1.33856354E-02
7.85407028E-03,7.97228401E-01,1.28943019E-02
8.13967284E-03,7.85787786E-01,1.26448306E-02
8.42527539E-03,7.46077122E-01,1.25843220E-02
8.71087795E-03,7.73127733E-01,1.22606768E-02
8.99648050E-03,7.42212890E-01,1.21429126E-02
9.28208306E-03,7.62644392E-01,1.18250550E-02
9.56768562E-03,7.41097866E-01,1.15563547E-02
9.85328817E-03,7.26881991E-01,1.18223655E-02
1.01388907E-02,7.54321571E-01,1.12226416E-02
1.04244933E-02,7.56027726E-01,1.10742997E-02
1.07100958E-02,7.55161179E-01,1.11402491E-02
1.09956984E-02,7.48847973E-01,1.09646373E-02
1.12813009E-02,7.38722674E-01,1.09723341E-02
1.15669035E-02,7.48757370E-01,1.05125852E-02
1.18525061E-02,7.33699980E-01,1.05522351E-02
1.21381086E-02,7.25234996E-01,1.04236488E-02
1.24237112E-02,7.13336388E-01,9.58646869E-03
1.27093137E-02,7.22256924E-01,9.43209925E-03
1.29949163E-02,7.14554507E-01,8.98848149E-03
1.32805188E-02,7.10676622E-01,8.93112591E-03
1.35661214E-02,7.01479502E-01,8.65218794E-03
1.38517240E-02,6.98496357E-01,8.51653161E-03
1.41373265E-02,6.89372386E-01,8.34356358E-03
1.44229291E-02,6.90896965E-01,8.23905962E-03
1.47085316E-02,6.95480780E-01,8.11472173E-03
1.49941342E-02,6.78515656E-01,7.91178593E-03
1.52797367E-02,6.68051394E-01,7.84706598E-03
1.55653393E-02,6.81476705E-01,7.66932776E-03
1.58509418E-02,6.56782252E-01,7.60602669E-03
1.61365444E-02,6.74798472E-01,7.47923991E-03
1.64221470E-02,6.65864132E-01,7.37974639E-03
1.67077495E-02,6.59721912E-01,7.29610228E-03
1.69933521E-02,6.47961606E-01,7.14987186E-03
1.72789546E-02,6.66355457E-01,7.12234310E-03
1.75645572E-02,6.52000122E-01,7.02357379E-03
1.78501597E-02,6.49674940E-01,6.89824082E-03
1.81357623E-02,6.49941861E-01,6.90168670E-03
1.84213648E-02,6.32734764E-01,6.74230690E-03
1.87069674E-02,6.31629484E-01,6.70170456E-03
1.89925700E-02,6.14982926E-01,6.67980000E-03
1.92781725E-02,6.16131415E-01,6.49913237E-03
1.95637751E-02,6.21647079E-01,6.53310849E-03
1.98493776E-02,6.17858063E-01,6.38460613E-03
2.01349802E-02,6.04243079E-01,6.37861140E-03
2.04205827E-02,6.03119241E-01,6.33916879E-03
2.07061853E-02,6.03070961E-01,6.19187770E-03
2.09917878E-02,5.94763235E-01,6.18312711E-03
2.12773904E-02,5.90886650E-01,6.09568840E-03
2.15629930E-02,5.88470129E-01,6.07270925E-03
2.18485955E-02,5.96276895E-01,6.02789223E-03
2.21341981E-02,5.83251650E-01,5.93740788E-03
2.24198006E-02,5.79305959E-01,5.91288489E-03
2.27054032E-02,5.79563688E-01,5.86612177E-03
2.29910057E-02,5.68997639E-01,5.82527589E-03
2.32766083E-02,5.70606414E-01,5.73238968E-03
2.35622108E-02,5.58597689E-01,5.73638077E-03
2.38478134E-02,5.77629645E-01,5.67321225E-03
2.41334160E-02,5.62258318E-01,5.63782632E-03
2.44190185E-02,5.54770892E-01,5.58483073E-03
2.47046211E-02,5.41408088E-01,5.51544821E-03
2.49902236E-02,5.41579003E-01,5.50076947E-03
2.52758262E-02,5.27903128E-01,5.43961280E-03
2.55614287E-02,5.32652492E-01,5.40421332E-03
