,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
fGS16del (GS0),1020,450,791,826,764,903,865,780,868,813,767,774,815,501,807,825,794,765,762,748
fGS16del (GS0),1020,451,972,1006,928,1066,1075,965,1059,1004,942,963,986,603,990,1004,968,927,934,909
fGS16del (GS0),1020,452,1183,1236,1143,1280,1321,1175,1304,1220,1133,1164,1206,739,1204,1228,1184,1127,1143,1119
fGS16del (GS0),1020,453,1478,1538,1431,1566,1651,1450,1619,1540,1434,1448,1517,923,1510,1523,1456,1425,1426,1380
fGS16del (GS0),1020,454,1793,1881,1725,1892,2010,1775,1968,1859,1747,1753,1849,1123,1817,1851,1773,1720,1736,1678
fGS16del (GS0),1020,455,2173,2267,2123,2266,2421,2139,2362,2250,2087,2113,2219,1331,2187,2260,2140,2068,2092,2030
fGS16del (GS0),1020,456,2585,2712,2552,2700,2902,2567,2834,2682,2523,2536,2672,1599,2633,2687,2554,2473,2518,2435
fGS16del (GS0),1020,457,3093,3257,3020,3206,3475,3078,3376,3222,2980,3030,3180,1923,3140,3208,3065,2937,2990,2883
fGS16del (GS0),1020,458,3704,3887,3640,3819,4153,3684,4064,3860,3577,3608,3816,2316,3744,3838,3656,3504,3599,3455
fGS16del (GS0),1020,459,4376,4555,4242,4452,4838,4323,4741,4510,4144,4196,4490,2687,4401,4518,4270,4101,4202,4046
fGS16del (GS0),1020,460,5055,5312,4958,5147,5638,5011,5496,5234,4810,4853,5220,3129,5103,5230,4950,4790,4866,4683
fGS16del (GS0),1020,461,5765,6081,5641,5883,6457,5734,6305,6033,5527,5573,5990,3597,5847,5989,5649,5442,5596,5391
fGS16del (GS0),1020,462,6687,7065,6579,6814,7488,6611,7315,6980,6390,6416,6943,4152,6794,6939,6548,6288,6474,6198
fGS16del (GS0),1020,463,7522,7921,7366,7638,8406,7469,8217,7833,7174,7202,7792,4720,7609,7855,7328,7070,7296,6979
fGS16del (GS0),1020,464,8368,8832,8181,8568,9395,8314,9166,8783,7996,8010,8734,5264,8475,8736,8132,7861,8147,7757
fGS16del (GS0),1020,465,9292,9799,9122,9491,10425,9263,10238,9822,8871,8927,9788,5851,9401,9727,9055,8749,9044,8672
fGS16del (GS0),1020,466,10134,10660,9922,10342,11390,10070,11145,10715,9677,9746,10676,6414,10299,10636,9862,9537,9851,9452
fGS16del (GS0),1020,467,10863,11448,10640,11112,12207,10838,11951,11495,10350,10394,11497,6892,11085,11448,10562,10177,10633,10156
fGS16del (GS0),1020,468,11518,12187,11315,11827,12987,11521,12778,12250,11024,11081,12225,7317,11797,12210,11267,10821,11348,10854
fGS16del (GS0),1020,469,12303,13007,12092,12615,13871,12299,13649,13111,11728,11805,13076,7824,12620,13031,11977,11535,12133,11598
fGS16del (GS0),1020,470,12700,13456,12497,13108,14341,12758,14179,13617,12190,12230,13612,8200,13132,13543,12422,11956,12560,12058
fGS16del (GS0),1020,471,13061,13811,12854,13415,14717,13088,14614,14045,12464,12580,14054,8454,13471,13956,12782,12342,12941,12445
fGS16del (GS0),1020,472,13494,14257,13275,13858,15258,13520,15034,14541,12878,12969,14516,8734,13953,14444,13142,12673,13427,12826
fGS16del (GS0),1020,473,13631,14408,13412,13971,15339,13668,15234,14712,13007,13076,14745,8873,14115,14621,13287,12765,13588,12974
fGS16del (GS0),1020,474,13674,14461,13449,14100,15385,13728,15360,14872,13050,13149,14844,8922,14228,14706,13346,12892,13693,13065
fGS16del (GS0),1020,475,13768,14563,13525,14180,15537,13820,15489,14938,13192,13294,14990,9018,14290,14847,13422,12983,13836,13236
fGS16del (GS0),1020,476,13498,14306,13263,13941,15248,13546,15198,14691,12918,13018,14785,8839,14093,14593,13204,12716,13618,13022
fGS16del (GS0),1020,477,13382,14232,13227,13837,15139,13450,15155,14675,12853,12935,14670,8837,14024,14536,13165,12638,13533,12929
fGS16del (GS0),1020,478,13142,13861,12885,13513,14760,13160,14890,14340,12561,12656,14421,8644,13740,14235,12838,12352,13267,12667
fGS16del (GS0),1020,479,12851,13607,12631,13224,14501,12925,14575,14103,12339,12410,14141,8511,13487,13938,12589,12118,12999,12462
fGS16del (GS0),1020,480,12514,13273,12318,12951,14121,12542,14228,13720,12009,12153,13771,8315,13171,13669,12263,11839,12721,12142
fGS16del (GS0),1020,481,12219,12880,12029,12571,13794,12255,13894,13409,11758,11802,13440,8127,12835,13300,11979,11536,12416,11835
fGS16del (GS0),1020,482,11948,12650,11751,12222,13431,11960,13596,13143,11457,11527,13162,7932,12555,13003,11746,11319,12132,11615
fGS16del (GS0),1020,483,11569,12202,11327,11841,12992,11555,13151,12724,11093,11198,12773,7670,12172,12608,11341,10954,11774,11269
fGS16del (GS0),1020,484,11359,12017,11125,11657,12818,11403,12939,12482,10932,11002,12470,7545,11950,12366,11201,10772,11562,11093
fGS16del (GS0),1020,485,11184,11795,10935,11482,12568,11140,12665,12194,10734,10799,12272,7432,11732,12136,10948,10617,11328,10850
fGS16del (GS0),1020,486,11039,11655,10804,11324,12408,11035,12480,12069,10601,10734,12070,7378,11581,11975,10862,10514,11215,10706
fGS16del (GS0),1020,487,10984,11567,10724,11203,12308,10965,12392,11880,10533,10595,11964,7252,11429,11817,10787,10415,11039,10585
fGS16del (GS0),1020,488,10830,11453,10640,11092,12211,10861,12218,11800,10409,10520,11815,7209,11318,11681,10668,10295,10956,10491
fGS16del (GS0),1020,489,10820,11391,10614,11067,12184,10820,12146,11674,10409,10454,11781,7151,11269,11636,10640,10294,10894,10488
fGS16del (GS0),1020,490,10895,11517,10717,11126,12308,10928,12254,11799,10548,10596,11871,7245,11326,11729,10753,10400,10981,10581
fGS16del (GS0),1020,491,10911,11551,10722,11155,12296,10961,12224,11742,10564,10639,11866,7258,11301,11671,10773,10374,10949,10536
fGS16del (GS0),1020,492,11220,11839,10979,11477,12609,11284,12455,11969,10780,10868,12036,7390,11525,11866,11007,10682,11188,10775
