,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,450,2226,2101,2144,2130,2131,2169,2520,2414,2412,2117,2009,2016,2709,2446,2265,2060,1988,2037
GS24,1020,451,2715,2611,2626,2613,2605,2677,3080,2949,2958,2613,2465,2490,3342,3004,2755,2546,2453,2484
GS24,1020,452,3350,3205,3246,3205,3207,3272,3762,3662,3670,3209,3043,3048,4091,3662,3413,3138,3018,3060
GS24,1020,453,4249,4083,4112,4084,4060,4130,4763,4589,4540,4044,3837,3853,5138,4632,4295,3909,3778,3846
GS24,1020,454,5167,4960,5020,4965,4950,5067,5795,5623,5592,4945,4670,4728,6281,5678,5226,4760,4617,4697
GS24,1020,455,6250,6018,6057,6000,6003,6125,7049,6814,6743,5964,5669,5721,7617,6842,6321,5756,5573,5656
GS24,1020,456,7550,7240,7304,7197,7262,7371,8463,8189,8207,7218,6827,6902,9110,8239,7597,6926,6703,6843
GS24,1020,457,9060,8735,8788,8704,8699,8889,10153,9884,9823,8680,8214,8296,10906,9887,9117,8312,8056,8201
GS24,1020,458,10893,10423,10515,10424,10437,10673,12178,11810,11803,10413,9807,9973,12983,11807,10923,9901,9633,9784
GS24,1020,459,12710,12227,12351,12198,12255,12492,14242,13881,13846,12199,11567,11659,15194,13777,12815,11607,11269,11442
GS24,1020,460,14809,14254,14350,14162,14201,14547,16592,16166,16182,14267,13489,13620,17700,16064,14888,13535,13139,13288
GS24,1020,461,16992,16321,16475,16299,16337,16691,19060,18574,18573,16383,15531,15647,20192,18397,17077,15564,15099,15270
GS24,1020,462,19661,18951,19175,18907,18888,19348,21995,21575,21538,19077,18033,18179,23387,21391,19748,18050,17510,17730
GS24,1020,463,22145,21349,21589,21291,21287,21744,24841,24384,24354,21626,20395,20581,26396,24094,22352,20462,19774,20026
GS24,1020,464,24568,23794,23929,23664,23654,24156,27646,27121,27149,24041,22709,22881,29306,26707,24898,22720,21959,22228
GS24,1020,465,27550,26627,26813,26473,26589,27054,30924,30480,30472,26987,25589,25834,32771,29974,27859,25480,24767,25045
GS24,1020,466,29888,28866,29180,28734,28818,29359,33522,33176,33286,29489,27827,28089,35579,32751,30376,27738,26949,27211
GS24,1020,467,32027,30953,31270,30780,30898,31381,36057,35585,35689,31682,30012,30217,38082,35065,32653,29751,28884,29230
GS24,1020,468,34204,33105,33316,32929,33062,33629,38584,38190,38327,33814,32262,32424,40797,37570,34914,31975,30893,31401
GS24,1020,469,36408,35140,35445,34906,35116,35690,41055,40696,40880,36265,34326,34590,43344,39934,37246,33995,33027,33479
GS24,1020,470,37794,36611,36960,36378,36608,37273,42995,42557,42730,37893,35983,36331,45258,41823,38914,35651,34557,35031
GS24,1020,471,38731,37445,37877,37220,37415,38046,43902,43537,43776,38855,36904,37249,46444,42746,39878,36571,35511,35964
GS24,1020,472,39918,38587,38937,38469,38461,39210,45321,44955,45362,40326,38085,38551,47633,44040,41111,37628,36554,37045
GS24,1020,473,40301,39090,39402,38797,38927,39770,45984,45719,45960,40914,38709,39181,48713,44913,41945,38467,37403,37816
GS24,1020,474,40447,39196,39548,38869,39053,39709,46342,46099,46166,41147,39030,39442,48793,45158,42117,38590,37500,37983
GS24,1020,475,40778,39443,39800,39191,39403,39990,46662,46450,46601,41510,39486,39852,49404,45570,42538,39026,37893,38461
GS24,1020,476,40035,38829,39078,38466,38576,39364,46066,45760,46052,40930,38882,39296,48688,44977,41944,38514,37468,37956
GS24,1020,477,39576,38319,38572,37917,38213,38882,45558,45280,45581,40546,38530,38893,48107,44643,41655,38150,37076,37526
GS24,1020,478,38550,37416,37725,37088,37302,38052,44561,44368,44619,39715,37740,38166,47295,43610,40781,37368,36329,36845
GS24,1020,479,37888,36641,36972,36454,36576,37309,43748,43586,43880,39062,37003,37511,46310,42898,40078,36656,35645,36138
GS24,1020,480,36726,35627,35812,35417,35431,36125,42565,42272,42535,37953,35985,36368,45206,41760,39032,35710,34736,35158
GS24,1020,481,36009,34921,35095,34623,34753,35343,41718,41512,41704,37131,35298,35606,44270,41044,38262,34990,34033,34549
GS24,1020,482,34902,33869,34154,33634,33712,34437,40565,40376,40560,36101,34307,34737,43128,39850,37278,34055,33194,33612
GS24,1020,483,33749,32648,32890,32494,32547,33177,39236,39052,39161,34934,33212,33466,41445,38419,35920,32926,32041,32378
GS24,1020,484,33257,32186,32424,31984,32021,32686,38608,38398,38479,34309,32584,32924,40929,37781,35378,32312,31565,31956
GS24,1020,485,32305,31328,31496,31067,31149,31922,37567,37349,37548,33369,31732,31990,39853,36840,34403,31548,30636,31141
GS24,1020,486,32030,30971,31282,30864,30964,31611,37112,36882,37103,32936,31317,31640,39261,36403,33955,31116,30369,30789
GS24,1020,487,31524,30557,30726,30383,30528,31123,36546,36290,36467,32430,30849,31080,38767,35726,33398,30643,29837,30264
GS24,1020,488,31024,30112,30443,29971,30094,30622,35807,35563,35824,31824,30336,30557,38035,35136,32854,30072,29330,29712
GS24,1020,489,31059,30200,30402,29955,30087,30685,35694,35502,35567,31750,30233,30462,37899,34949,32687,29980,29239,29640
GS24,1020,490,31087,30149,30418,29890,30143,30619,35532,35278,35510,31595,30045,30423,37811,34898,32481,29878,29113,29570
GS24,1020,491,30959,30079,30177,29830,30028,30565,35194,34846,35107,31298,29811,30136,37426,34501,32169,29614,28892,29311
GS24,1020,492,31505,30673,30867,30446,30592,31099,35637,35201,35506,31687,30300,30570,37879,34788,32698,30032,29319,29749
GS24,1020,493,31867,31014,31117,30687,30821,31324,35644,35292,35511,31738,30364,30703,37804,34888,32630,30022,29488,29924
GS24,1020,494,32596,31687,31861,31414,31481,32017,36162,35726,36129,32274,30951,31259,38323,35423,33244,30626,30000,30475
GS24,1020,495,33478,32597,32746,32355,32410,32916,36832,36451,36760,32980,31555,32091,39141,36000,33776,31140,30659,31247
GS24,1020,496,34336,33380,33451,32988,33101,33624,37313,36771,37201,33398,32041,32708,39499,36439,34105,31575,31091,31802
