,,Well,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mTQ2ctrl (TQfree),1020,450,1753,1723,1670,1767,1822,1798,1725,1614,1541,1649,1617,1537,1668,1610,1456,1551,1698,1576
mTQ2ctrl (TQfree),1020,451,2161,2114,2045,2170,2256,2225,2125,1988,1901,2023,2003,1897,2065,1976,1808,1903,2082,1927
mTQ2ctrl (TQfree),1020,452,2637,2590,2523,2679,2756,2717,2619,2436,2338,2469,2443,2350,2515,2419,2205,2331,2551,2378
mTQ2ctrl (TQfree),1020,453,3320,3260,3196,3358,3484,3409,3291,3082,2929,3109,3100,2912,3150,3024,2769,2917,3191,2972
mTQ2ctrl (TQfree),1020,454,4059,3980,3892,4115,4250,4164,4006,3736,3576,3810,3760,3579,3846,3684,3394,3569,3918,3640
mTQ2ctrl (TQfree),1020,455,4920,4823,4706,4980,5143,5044,4850,4499,4336,4616,4557,4319,4624,4437,4048,4330,4705,4394
mTQ2ctrl (TQfree),1020,456,5897,5791,5676,6021,6205,6053,5822,5442,5216,5560,5524,5204,5594,5365,4896,5183,5689,5264
mTQ2ctrl (TQfree),1020,457,7047,6968,6792,7215,7485,7287,6986,6517,6273,6707,6578,6263,6645,6409,5871,6189,6814,6311
mTQ2ctrl (TQfree),1020,458,8439,8326,8174,8626,8904,8710,8393,7850,7548,8037,7935,7470,7971,7703,7034,7447,8198,7606
mTQ2ctrl (TQfree),1020,459,9838,9740,9559,10107,10475,10205,9839,9222,8844,9437,9293,8805,9291,9021,8240,8730,9541,8854
mTQ2ctrl (TQfree),1020,460,11457,11340,11087,11685,12189,11861,11455,10734,10338,10939,10802,10250,10858,10449,9593,10172,11098,10346
mTQ2ctrl (TQfree),1020,461,13076,12986,12740,13429,13959,13587,13123,12422,11869,12687,12452,11776,12467,12033,11028,11696,12799,11844
mTQ2ctrl (TQfree),1020,462,15191,15065,14774,15633,16186,15746,15205,14366,13780,14700,14494,13680,14412,13939,12762,13567,14796,13686
mTQ2ctrl (TQfree),1020,463,17100,16975,16654,17651,18249,17714,17220,16255,15611,16697,16424,15514,16270,15782,14464,15374,16785,15511
mTQ2ctrl (TQfree),1020,464,18996,18826,18544,19588,20351,19735,19221,18095,17486,18655,18294,17322,18052,17538,16156,17092,18672,17305
mTQ2ctrl (TQfree),1020,465,21192,21094,20732,21917,22745,22107,21549,20306,19585,20929,20649,19350,20261,19751,18102,19218,21006,19452
mTQ2ctrl (TQfree),1020,466,23079,22858,22488,23798,24731,23923,23393,22141,21375,22765,22489,21140,21960,21425,19714,20988,22845,21143
mTQ2ctrl (TQfree),1020,467,24694,24558,24090,25538,26470,25639,25127,23794,22999,24610,24213,22661,23667,23045,21203,22530,24592,22806
mTQ2ctrl (TQfree),1020,468,26364,26224,25734,27222,28247,27400,26951,25555,24653,26423,25937,24305,25375,24647,22777,24132,26349,24393
mTQ2ctrl (TQfree),1020,469,27960,27939,27322,29015,30048,29219,28720,27230,26339,28149,27721,26058,27005,26402,24277,25795,28095,26121
mTQ2ctrl (TQfree),1020,470,29305,29125,28587,30219,31408,30407,30074,28501,27609,29493,29029,27300,28226,27599,25413,27025,29591,27340
mTQ2ctrl (TQfree),1020,471,29948,29728,29244,30879,32110,31049,30787,29357,28334,30289,29863,28054,28916,28289,26119,27825,30355,28119
mTQ2ctrl (TQfree),1020,472,30935,30738,30179,31873,33132,32078,31958,30354,29387,31314,30885,29094,29979,29365,27058,28890,31467,29107
mTQ2ctrl (TQfree),1020,473,31257,31152,30466,32410,33497,32499,32430,30902,29771,31841,31484,29547,30314,29714,27545,29182,32041,29700
mTQ2ctrl (TQfree),1020,474,31431,31224,30618,32374,33581,32601,32477,30981,30052,32097,31602,29702,30545,30003,27656,29409,32252,29774
mTQ2ctrl (TQfree),1020,475,31694,31415,30881,32691,33854,32857,32927,31462,30360,32438,32005,30115,30825,30270,27957,29844,32611,30215
mTQ2ctrl (TQfree),1020,476,31070,30869,30371,32106,33400,32330,32417,30893,29918,31961,31497,29674,30467,29843,27532,29346,32100,29863
mTQ2ctrl (TQfree),1020,477,30819,30720,30102,31927,32906,32013,32167,30695,29632,31846,31332,29556,30153,29637,27383,29256,32006,29720
mTQ2ctrl (TQfree),1020,478,30151,30001,29382,31096,32254,31344,31559,30007,29041,31194,30690,28931,29583,29115,26820,28603,31299,29087
mTQ2ctrl (TQfree),1020,479,29631,29349,28878,30482,31590,30748,30871,29471,28563,30618,30249,28504,29005,28562,26349,28174,30740,28661
mTQ2ctrl (TQfree),1020,480,28832,28587,27973,29716,30826,29931,30077,28699,27741,29853,29415,27768,28213,27786,25670,27375,29955,27835
mTQ2ctrl (TQfree),1020,481,28178,28007,27463,29021,30129,29261,29500,28068,27212,29196,28915,27211,27770,27251,25142,26863,29385,27307
mTQ2ctrl (TQfree),1020,482,27381,27179,26719,28288,29310,28510,28597,27346,26511,28478,28126,26492,26976,26547,24520,26162,28584,26580
mTQ2ctrl (TQfree),1020,483,26520,26316,25793,27321,28357,27530,27757,26397,25623,27455,27172,25594,26184,25646,23587,25245,27596,25744
mTQ2ctrl (TQfree),1020,484,26034,25954,25336,26830,27853,27082,27304,26030,25241,27122,26733,25173,25768,25266,23281,24894,27134,25330
mTQ2ctrl (TQfree),1020,485,25425,25125,24723,26178,27207,26363,26537,25283,24498,26307,25932,24554,25109,24603,22707,24218,26478,24610
mTQ2ctrl (TQfree),1020,486,25152,24920,24495,25920,26821,25959,26201,24990,24231,25953,25714,24228,24741,24290,22449,23888,26155,24314
mTQ2ctrl (TQfree),1020,487,24702,24489,23993,25410,26350,25627,25825,24512,23745,25437,25096,23727,24251,23873,21941,23463,25617,23846
mTQ2ctrl (TQfree),1020,488,24321,24067,23601,24909,25859,25176,25228,24011,23255,24918,24664,23285,23831,23304,21551,22967,25167,23413
mTQ2ctrl (TQfree),1020,489,24185,23956,23485,24795,25783,25034,25070,23880,23180,24778,24518,23073,23683,23216,21427,22896,24889,23199
