,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
E1A,1020,450,596,589,598,601,575,607,696,796,786,775,713,703,685,692,682,686,669,654
E1A,1020,451,726,725,732,727,720,747,851,964,969,970,874,868,835,841,837,848,828,812
E1A,1020,452,894,893,903,898,880,920,1066,1217,1199,1188,1074,1072,1032,1036,1027,1053,1015,985
E1A,1020,453,1087,1083,1108,1106,1076,1130,1315,1493,1473,1476,1322,1317,1259,1281,1265,1285,1248,1222
E1A,1020,454,1345,1347,1352,1343,1314,1374,1611,1825,1819,1806,1615,1609,1548,1568,1547,1572,1512,1484
E1A,1020,455,1617,1615,1646,1626,1610,1654,1951,2218,2222,2208,1975,1951,1892,1908,1889,1902,1839,1794
E1A,1020,456,1953,1959,1991,1974,1904,1997,2351,2699,2672,2657,2400,2354,2280,2314,2273,2313,2241,2183
E1A,1020,457,2335,2338,2367,2355,2254,2374,2823,3230,3202,3176,2879,2830,2716,2743,2703,2752,2648,2571
E1A,1020,458,2786,2791,2818,2788,2685,2810,3347,3839,3806,3788,3428,3355,3237,3263,3244,3277,3145,3062
E1A,1020,459,3302,3272,3320,3264,3195,3319,3964,4561,4527,4510,4048,3979,3825,3855,3801,3851,3729,3603
E1A,1020,460,3821,3803,3847,3796,3702,3856,4609,5298,5263,5246,4727,4633,4451,4472,4451,4496,4308,4172
E1A,1020,461,4359,4345,4382,4335,4217,4378,5257,6037,6043,5975,5405,5288,5053,5111,5074,5134,4949,4795
E1A,1020,462,4999,5014,5036,4976,4837,5050,6093,6989,6959,6919,6221,6106,5826,5916,5833,5935,5696,5513
E1A,1020,463,5760,5718,5765,5711,5543,5747,6945,8019,8015,7947,7162,7002,6648,6787,6708,6748,6510,6292
E1A,1020,464,6383,6344,6402,6332,6159,6396,7708,8890,8869,8847,7962,7780,7428,7525,7473,7511,7292,6991
E1A,1020,465,6990,7006,7063,6941,6780,7024,8545,9844,9829,9745,8819,8595,8200,8334,8237,8340,8022,7738
E1A,1020,466,7732,7737,7778,7692,7482,7764,9428,10907,10865,10808,9768,9510,9064,9187,9105,9193,8830,8525
E1A,1020,467,8313,8293,8377,8304,8017,8363,10168,11747,11690,11647,10527,10219,9770,9920,9780,9917,9521,9173
E1A,1020,468,8863,8838,8895,8781,8542,8884,10854,12505,12503,12481,11201,10911,10381,10594,10481,10595,10158,9790
E1A,1020,469,9405,9354,9468,9351,9074,9423,11579,13331,13305,13255,11954,11618,11063,11247,11168,11286,10816,10435
E1A,1020,470,9833,9798,9938,9846,9522,9928,12081,14051,14005,13982,12565,12222,11595,11835,11701,11870,11409,11005
E1A,1020,471,10129,10044,10181,10088,9754,10137,12421,14423,14391,14349,12912,12591,11901,12179,12047,12199,11717,11291
E1A,1020,472,10340,10296,10428,10318,10028,10373,12697,14698,14751,14707,13286,12897,12180,12462,12372,12491,11973,11568
E1A,1020,473,10633,10583,10684,10601,10266,10655,13120,15202,15188,15096,13655,13272,12555,12836,12717,12894,12365,11942
E1A,1020,474,10648,10576,10714,10539,10262,10661,13114,15232,15182,15114,13620,13268,12580,12833,12757,12892,12388,11954
E1A,1020,475,10786,10744,10827,10709,10355,10788,13306,15413,15436,15383,13841,13451,12750,13026,12920,13090,12555,12109
E1A,1020,476,10604,10565,10689,10583,10245,10646,13117,15231,15198,15160,13641,13315,12562,12889,12770,12914,12469,11984
E1A,1020,477,10484,10431,10511,10394,10091,10492,12923,15009,14986,14949,13441,13095,12382,12726,12591,12720,12274,11795
E1A,1020,478,10232,10170,10325,10195,9892,10295,12722,14698,14691,14667,13213,12863,12199,12467,12361,12579,12049,11591
E1A,1020,479,10107,10025,10169,10066,9749,10141,12475,14510,14446,14458,13004,12627,12000,12281,12167,12328,11883,11442
E1A,1020,480,9851,9757,9929,9818,9514,9886,12188,14120,14102,14058,12689,12316,11676,11922,11849,12056,11551,11127
E1A,1020,481,9710,9613,9788,9682,9395,9778,12027,13880,13884,13764,12481,12141,11495,11802,11697,11828,11336,10959
E1A,1020,482,9452,9394,9521,9399,9123,9470,11677,13479,13470,13385,12133,11771,11221,11484,11373,11601,11037,10712
E1A,1020,483,9227,9092,9265,9192,8899,9273,11295,13116,13061,13008,11720,11453,10896,11109,11065,11179,10765,10367
E1A,1020,484,9164,9111,9202,9127,8817,9218,11237,12902,12914,12843,11621,11326,10780,11032,10946,11078,10631,10246
E1A,1020,485,8937,8901,8982,8925,8664,8991,10912,12569,12586,12467,11317,10981,10528,10753,10654,10772,10360,10018
E1A,1020,486,8871,8882,8959,8858,8628,8932,10795,12447,12397,12344,11153,10890,10438,10627,10538,10640,10238,9898
E1A,1020,487,8902,8875,8945,8885,8612,8960,10752,12430,12310,12254,11090,10808,10409,10563,10428,10578,10160,9829
E1A,1020,488,8904,8878,8979,8883,8637,9004,10713,12264,12189,12133,10968,10654,10306,10492,10335,10448,10077,9762
E1A,1020,489,8992,8987,9054,8982,8683,9084,10689,12236,12161,12052,10974,10616,10355,10476,10319,10453,10014,9740
E1A,1020,490,9288,9234,9346,9225,8968,9369,10854,12411,12312,12157,11063,10775,10501,10660,10485,10602,10184,9857
E1A,1020,491,9459,9424,9546,9434,9203,9583,10962,12464,12320,12243,11111,10821,10607,10640,10522,10630,10208,9948
E1A,1020,492,9819,9794,9903,9790,9559,9884,11258,12610,12539,12396,11286,10934,10845,10874,10715,10834,10437,10087
E1A,1020,493,10368,10331,10446,10294,10022,10426,11653,13063,12888,12768,11555,11280,11277,11228,11018,11144,10717,10411
E1A,1020,494,11001,10966,11056,10909,10640,11035,12105,13473,13256,13181,11914,11592,11738,11634,11387,11511,11097,10774
E1A,1020,495,11871,11786,11924,11810,11477,11916,12772,14154,13883,13759,12471,12144,12404,12219,12013,12090,11638,11359
E1A,1020,496,12712,12701,12792,12644,12329,12750,13477,14756,14493,14293,12967,12584,13047,12776,12503,12543,12106,11839
E1A,1020,497,13810,13743,13885,13689,13368,13816,14285,15554,15185,15056,13654,13216,13893,13535,13188,13263,12823,12538
