,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,450,1101,1049,963,1104,1207,987,0,0,0,0,0,0,743,1188,1041,1069,1048,942,0,0,0,0,0,0,0,0,0,0,0,0,830,1020,826,608,587,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,1395,1164,1400,1494,1553,1025,1183,1053,1451,1562,1590
FUS,1020,451,1350,1315,1180,1380,1497,1259,0,0,0,0,0,0,912,1456,1291,1317,1275,1147,0,0,0,0,0,0,0,0,0,0,0,0,1032,1261,1009,734,716,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679,1740,1471,1725,1848,1930,1284,1460,1303,1802,1921,1969
FUS,1020,452,1670,1615,1466,1700,1850,1523,0,0,0,0,0,0,1134,1803,1567,1612,1550,1385,0,0,0,0,0,0,0,0,0,0,0,0,1262,1542,1230,900,858,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,2165,1801,2142,2283,2386,1572,1810,1616,2250,2392,2446
FUS,1020,453,2034,1993,1816,2106,2269,1883,0,0,0,0,0,0,1362,2196,1914,1947,1882,1665,0,0,0,0,0,0,0,0,0,0,0,0,1539,1885,1492,1079,1022,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544,2625,2222,2618,2801,2925,1907,2227,1976,2745,2928,2996
FUS,1020,454,2524,2462,2235,2593,2801,2307,0,0,0,0,0,0,1673,2689,2326,2370,2283,1995,0,0,0,0,0,0,0,0,0,0,0,0,1886,2315,1804,1330,1234,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3114,3218,2696,3226,3437,3580,2348,2727,2422,3392,3601,3686
FUS,1020,455,3053,3012,2732,3163,3431,2822,0,0,0,0,0,0,2045,3257,2818,2877,2738,2395,0,0,0,0,0,0,0,0,0,0,0,0,2296,2783,2184,1596,1480,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760,3918,3284,3912,4186,4367,2850,3300,2954,4127,4419,4515
FUS,1020,456,3714,3647,3301,3816,4115,3407,0,0,0,0,0,0,2455,3889,3359,3419,3265,2871,0,0,0,0,0,0,0,0,0,0,0,0,2741,3353,2613,1892,1762,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4524,4716,3955,4733,5075,5242,3437,4016,3564,4971,5312,5421
FUS,1020,457,4425,4355,3935,4603,4917,4069,0,0,0,0,0,0,2892,4653,4003,4065,3892,3387,0,0,0,0,0,0,0,0,0,0,0,0,3273,3991,3115,2253,2096,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5359,5616,4719,5632,6022,6279,4084,4793,4269,5959,6359,6476
