,,Well,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S1,1020,450,650,666,674,321,753,475,791,813,917,579,497,722,669,891,730,704,626,536
PUMA S1,1020,451,813,811,838,386,937,587,977,1021,1122,712,600,886,829,1100,896,870,777,669
PUMA S1,1020,452,998,1002,1015,476,1148,718,1198,1256,1381,865,729,1085,1007,1347,1105,1057,955,813
PUMA S1,1020,453,1235,1211,1248,568,1390,871,1454,1520,1685,1054,900,1333,1230,1659,1360,1300,1162,976
PUMA S1,1020,454,1482,1491,1532,710,1709,1070,1779,1861,2064,1304,1092,1611,1488,1999,1641,1575,1418,1208
PUMA S1,1020,455,1816,1812,1840,854,2068,1293,2178,2259,2509,1571,1325,1957,1827,2449,2005,1909,1709,1443
PUMA S1,1020,456,2168,2164,2206,1009,2464,1533,2601,2724,3022,1870,1589,2339,2189,2945,2416,2317,2052,1722
PUMA S1,1020,457,2562,2576,2653,1213,2932,1825,3094,3243,3586,2244,1887,2787,2591,3507,2842,2740,2440,2046
PUMA S1,1020,458,3033,3049,3147,1428,3496,2167,3671,3862,4294,2641,2216,3310,3055,4128,3385,3254,2894,2434
PUMA S1,1020,459,3587,3587,3665,1682,4059,2554,4336,4533,5035,3121,2629,3892,3600,4897,4004,3825,3394,2860
PUMA S1,1020,460,4163,4153,4265,1940,4737,2927,5047,5265,5817,3629,3042,4529,4164,5678,4650,4451,3948,3331
PUMA S1,1020,461,4749,4733,4845,2199,5375,3349,5737,6002,6681,4137,3466,5168,4764,6460,5305,5062,4500,3761
PUMA S1,1020,462,5404,5409,5542,2526,6143,3828,6567,6861,7591,4745,3970,5890,5437,7406,6037,5813,5113,4310
PUMA S1,1020,463,6194,6181,6332,2872,7043,4385,7518,7905,8744,5423,4556,6756,6233,8447,6922,6687,5910,4965
PUMA S1,1020,464,6841,6865,7046,3162,7804,4850,8343,8763,9701,6056,5080,7512,6893,9374,7654,7396,6550,5506
PUMA S1,1020,465,7516,7564,7711,3508,8606,5331,9191,9677,10743,6683,5604,8300,7628,10402,8488,8171,7236,6074
PUMA S1,1020,466,8293,8329,8491,3867,9437,5891,10149,10694,11841,7335,6187,9183,8425,11439,9374,8966,7983,6703
PUMA S1,1020,467,8868,8859,9116,4122,10134,6301,10889,11473,12747,7910,6641,9877,8977,12282,10091,9671,8542,7181
PUMA S1,1020,468,9448,9492,9725,4404,10773,6692,11611,12240,13587,8463,7090,10526,9609,13121,10744,10342,9145,7676
PUMA S1,1020,469,10010,10067,10316,4686,11428,7098,12339,13084,14518,9021,7565,11258,10199,13995,11392,10978,9752,8188
PUMA S1,1020,470,10509,10520,10794,4879,11952,7484,12921,13650,15176,9469,7919,11781,10663,14599,11953,11533,10176,8549
PUMA S1,1020,471,10747,10775,10995,5007,12211,7605,13253,14027,15537,9653,8148,12095,10954,15010,12280,11814,10472,8803
PUMA S1,1020,472,10990,10997,11274,5130,12517,7806,13545,14408,15968,9959,8367,12405,11279,15399,12630,12152,10761,9015
PUMA S1,1020,473,11249,11316,11487,5258,12840,7979,13918,14761,16430,10213,8588,12706,11564,15789,12974,12456,11032,9243
PUMA S1,1020,474,11247,11288,11533,5289,12871,8001,13969,14805,16503,10254,8622,12767,11597,15905,13013,12494,11103,9285
PUMA S1,1020,475,11343,11391,11606,5298,12934,8061,14125,14973,16660,10387,8727,12936,11745,16111,13165,12655,11224,9394
PUMA S1,1020,476,11191,11212,11477,5229,12730,7931,13938,14775,16448,10274,8586,12782,11539,15847,12994,12495,11068,9269
PUMA S1,1020,477,11053,11093,11281,5176,12576,7850,13769,14649,16368,10162,8565,12675,11424,15669,12885,12404,10970,9230
PUMA S1,1020,478,10831,10857,11091,5067,12300,7666,13483,14285,15970,10003,8391,12395,11237,15393,12664,12158,10781,9025
PUMA S1,1020,479,10657,10693,10919,5021,12128,7576,13323,14107,15779,9816,8273,12275,11094,15216,12454,12013,10693,8928
PUMA S1,1020,480,10393,10369,10655,4884,11787,7399,12926,13761,15307,9589,8054,11941,10809,14758,12170,11692,10383,8725
PUMA S1,1020,481,10195,10180,10421,4782,11538,7250,12718,13489,15067,9433,7915,11765,10560,14516,11944,11512,10180,8552
PUMA S1,1020,482,9968,9948,10200,4713,11317,7065,12406,13143,14677,9192,7736,11466,10317,14166,11642,11214,9922,8362
PUMA S1,1020,483,9636,9673,9866,4570,10927,6882,12026,12766,14154,8921,7492,11113,9948,13689,11262,10805,9626,8095
PUMA S1,1020,484,9547,9594,9753,4503,10819,6796,11904,12605,14009,8792,7393,10970,9893,13537,11107,10725,9534,8021
PUMA S1,1020,485,9286,9382,9531,4449,10513,6651,11609,12300,13677,8578,7248,10710,9617,13203,10845,10440,9293,7825
PUMA S1,1020,486,9193,9227,9418,4376,10365,6572,11369,12046,13425,8475,7135,10529,9487,12973,10682,10328,9123,7717
