,,Well,,,,,,,,,,,,,E07,E08,E09,E10,E11,E12,,,,,,,,,,,,,D07,D08,D09,D10,D11,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,450,702,640,579,573,647,672,0,0,0,0,0,0,373,799,719,715,785,749,0,0,0,0,0,0,0,0,0,0,0,0,550,710,693,660,752,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,763,804,852,706,888,826,854,774,873,1015,971
PUMA S2,1020,451,868,783,710,693,800,831,0,0,0,0,0,0,448,988,867,853,952,896,0,0,0,0,0,0,0,0,0,0,0,0,676,861,845,809,902,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,936,1001,1055,883,1105,1020,1053,950,1080,1258,1205
PUMA S2,1020,452,1069,956,875,859,981,1012,0,0,0,0,0,0,563,1201,1061,1031,1147,1077,0,0,0,0,0,0,0,0,0,0,0,0,833,1062,1031,966,1095,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,1154,1224,1304,1082,1330,1250,1282,1158,1331,1540,1485
PUMA S2,1020,453,1310,1169,1077,1053,1205,1248,0,0,0,0,0,0,689,1465,1273,1241,1386,1284,0,0,0,0,0,0,0,0,0,0,0,0,1026,1288,1245,1158,1333,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,1415,1494,1586,1321,1619,1533,1567,1431,1626,1888,1826
PUMA S2,1020,454,1624,1437,1324,1292,1472,1522,0,0,0,0,0,0,818,1766,1562,1512,1668,1549,0,0,0,0,0,0,0,0,0,0,0,0,1228,1563,1507,1401,1585,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,1726,1827,1939,1615,1990,1852,1913,1736,1977,2306,2225
PUMA S2,1020,455,1962,1772,1625,1562,1793,1859,0,0,0,0,0,0,998,2150,1889,1799,1993,1856,0,0,0,0,0,0,0,0,0,0,0,0,1485,1896,1828,1695,1904,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,2078,2206,2386,1963,2440,2254,2316,2105,2422,2799,2704
PUMA S2,1020,456,2361,2108,1926,1904,2162,2216,0,0,0,0,0,0,1204,2563,2256,2173,2389,2200,0,0,0,0,0,0,0,0,0,0,0,0,1785,2255,2185,2016,2267,1821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,2502,2643,2829,2336,2894,2704,2786,2536,2917,3384,3252
PUMA S2,1020,457,2843,2533,2317,2258,2584,2648,0,0,0,0,0,0,1418,3027,2672,2550,2820,2581,0,0,0,0,0,0,0,0,0,0,0,0,2123,2692,2593,2368,2674,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,2955,3153,3386,2785,3447,3216,3353,3012,3470,3988,3861
