Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.17200346E-02,3.38714123E-02,2.26635995E-04,6.52050076E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0001.tif
1,1.17280901E-02,3.38948667E-02,2.34691588E-04,6.75504212E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0002.tif
2,1.17414683E-02,3.39364633E-02,2.48069771E-04,7.17097020E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0003.tif
3,1.17218662E-02,3.38761099E-02,2.28467679E-04,6.56746211E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0004.tif
4,1.17202894E-02,3.38760652E-02,2.26890863E-04,6.56699936E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0005.tif
5,1.17136640E-02,3.38497646E-02,2.20265389E-04,6.30401890E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0006.tif
6,1.17333652E-02,3.39181572E-02,2.39966695E-04,6.98794844E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0007.tif
7,1.17253007E-02,3.38834040E-02,2.31902120E-04,6.64041261E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0008.tif
8,1.16999769E-02,3.38180698E-02,2.06578374E-04,5.98705898E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0009.tif
9,1.17180216E-02,3.38650346E-02,2.24623069E-04,6.45673776E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0010.tif
10,1.17319970E-02,3.39097753E-02,2.38598499E-04,6.90409623E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0011.tif
11,1.17233254E-02,3.38798687E-02,2.29926826E-04,6.60504389E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0012.tif
12,1.17082233E-02,3.38409320E-02,2.14824793E-04,6.21566840E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0013.tif
13,1.17286013E-02,3.39005031E-02,2.35202747E-04,6.81140227E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0014.tif
14,1.17284145E-02,3.38958949E-02,2.35015970E-04,6.76534080E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0015.tif
15,1.17212936E-02,3.38765942E-02,2.27895035E-04,6.57228346E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0016.tif
16,1.17100827E-02,3.38457413E-02,2.16684202E-04,6.26378111E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0017.tif
17,1.17195638E-02,3.38746384E-02,2.26165277E-04,6.55272626E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0018.tif
18,1.17279085E-02,3.38935740E-02,2.34509985E-04,6.74212293E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0019.tif
