Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.13198820E-02,3.27165648E-02,-3.00983926E-05,-8.96610363E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0001.tif
1,1.13299772E-02,3.27469520E-02,-2.00032329E-05,-5.92713768E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0002.tif
2,1.13281155E-02,3.27426344E-02,-2.18649262E-05,-6.35912802E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0003.tif
3,1.13337166E-02,3.27580087E-02,-1.62638279E-05,-4.82158102E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0004.tif
4,1.13242218E-02,3.27250101E-02,-2.57585995E-05,-8.12138242E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0005.tif
5,1.13394229E-02,3.27774584E-02,-1.05575500E-05,-2.87680741E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0006.tif
6,1.13432569E-02,3.27893235E-02,-6.72350428E-06,-1.69015493E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0007.tif
7,1.13406453E-02,3.27771120E-02,-9.33513564E-06,-2.91135802E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0008.tif
8,1.13682905E-02,3.28600109E-02,1.83100412E-05,5.37841333E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0009.tif
9,1.13409969E-02,3.27785760E-02,-8.98353022E-06,-2.76516912E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0010.tif
10,1.13339855E-02,3.27604115E-02,-1.59949634E-05,-4.58118375E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0011.tif
11,1.13277329E-02,3.27417329E-02,-2.22475475E-05,-6.44947868E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0012.tif
12,1.13258362E-02,3.27316746E-02,-2.41441781E-05,-7.45509024E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0013.tif
13,1.13163570E-02,3.27088758E-02,-3.36233928E-05,-9.73518036E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0014.tif
14,1.13295064E-02,3.27426158E-02,-2.04740781E-05,-6.36088225E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0015.tif
15,1.13241333E-02,3.27298269E-02,-2.58471496E-05,-7.64018914E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0016.tif
16,1.13375123E-02,3.27613987E-02,-1.24680941E-05,-4.48281426E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0017.tif
17,1.13426041E-02,3.27846371E-02,-7.37638220E-06,-2.15899836E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0018.tif
18,1.13505290E-02,3.28078046E-02,5.48564829E-07,1.57704312E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0019.tif
19,1.13399160E-02,3.27764191E-02,-1.00644492E-05,-2.98045943E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0020.tif
20,1.13501179E-02,3.27991918E-02,1.37456536E-07,-7.03218893E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0021.tif
21,1.13457259E-02,3.27942334E-02,-4.25453776E-06,-1.19933529E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0022.tif
22,1.13381354E-02,3.27740647E-02,-1.18449946E-05,-3.21605876E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0023.tif
23,1.13427750E-02,3.27830948E-02,-7.20546010E-06,-2.31300364E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0024.tif
24,1.13487664E-02,3.28024030E-02,-1.21405484E-06,-3.82245344E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0025.tif
25,1.13399033E-02,3.27818096E-02,-1.00771286E-05,-2.44140065E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0026.tif
26,1.13399442E-02,3.27741988E-02,-1.00362803E-05,-3.20265135E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0027.tif
27,1.13437826E-02,3.27900946E-02,-6.19783358E-06,-1.61313019E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0028.tif
28,1.13399014E-02,3.27711999E-02,-1.00789767E-05,-3.50270784E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0029.tif
29,1.13501438E-02,3.28126736E-02,1.63355532E-07,6.44620786E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0030.tif
30,1.13429045E-02,3.27853486E-02,-7.07590554E-06,-2.08769670E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0031.tif
31,1.13341596E-02,3.27602513E-02,-1.58208258E-05,-4.59719049E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0032.tif
32,1.13367319E-02,3.27666700E-02,-1.32484990E-05,-3.95549978E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0033.tif
33,1.13326763E-02,3.27480212E-02,-1.73041096E-05,-5.82037028E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0034.tif
34,1.13418556E-02,3.27815637E-02,-8.12482645E-06,-2.46601267E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0035.tif
