Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.13896999E-02,3.29155661E-02,-3.06434376E-05,-9.25683271E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0001.tif
1,1.13744415E-02,3.28747407E-02,-4.59018103E-05,-1.33396738E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0002.tif
2,1.13966974E-02,3.29420418E-02,-2.36458986E-05,-6.60949663E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0003.tif
3,1.13833449E-02,3.28952670E-02,-3.69984377E-05,-1.12869515E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0004.tif
4,1.13845825E-02,3.29055339E-02,-3.57608307E-05,-1.02601742E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0005.tif
5,1.13921482E-02,3.29256579E-02,-2.81950783E-05,-8.24773379E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0006.tif
6,1.13893628E-02,3.29209305E-02,-3.09805658E-05,-8.72017481E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0007.tif
7,1.13997421E-02,3.29487808E-02,-2.06012205E-05,-5.93523073E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0008.tif
8,1.13974665E-02,3.29434089E-02,-2.28768615E-05,-6.47258566E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0009.tif
9,1.13790147E-02,3.28906402E-02,-4.13286081E-05,-1.17495547E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0010.tif
10,1.13946418E-02,3.29314023E-02,-2.57015047E-05,-7.67299789E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0011.tif
11,1.13987691E-02,3.29485945E-02,-2.15741837E-05,-5.95432539E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0012.tif
12,1.13946010E-02,3.29311416E-02,-2.57422862E-05,-7.69920807E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0013.tif
13,1.13819206E-02,3.28980535E-02,-3.84227213E-05,-1.10081404E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0014.tif
14,1.13952001E-02,3.29345092E-02,-2.51432688E-05,-7.36265647E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0015.tif
15,1.13981392E-02,3.29422206E-02,-2.22041153E-05,-6.59115685E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0016.tif
16,1.13957696E-02,3.29390615E-02,-2.45737348E-05,-6.90737725E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0017.tif
17,1.13905965E-02,3.29239331E-02,-2.97468523E-05,-8.42038498E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0018.tif
18,1.13973583E-02,3.29465568E-02,-2.29849963E-05,-6.15763638E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0019.tif
19,1.13944368E-02,3.29352170E-02,-2.59065421E-05,-7.29194289E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0020.tif
