Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.17781443E-02,3.40426937E-02,-1.48833858E-06,-2.60903448E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0001.tif
1,1.17831664E-02,3.40662450E-02,3.53381958E-06,2.09413301E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0002.tif
2,1.17628621E-02,3.40012796E-02,-1.67705183E-05,-4.40202566E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0003.tif
3,1.17829317E-02,3.40616591E-02,3.29908348E-06,1.63543245E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0004.tif
4,1.17680789E-02,3.40100676E-02,-1.15536728E-05,-3.52356401E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0005.tif
5,1.17591753E-02,3.39925587E-02,-2.04572704E-05,-5.27430784E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0006.tif
6,1.17534212E-02,3.39738876E-02,-2.62113746E-05,-7.14152266E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0007.tif
7,1.17540154E-02,3.39786708E-02,-2.56172056E-05,-6.66319029E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0008.tif
8,1.17636590E-02,3.40031795E-02,-1.59736094E-05,-4.21215518E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0009.tif
9,1.17683807E-02,3.40102166E-02,-1.12518619E-05,-3.50876799E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0010.tif
10,1.17726360E-02,3.40256542E-02,-6.99658416E-06,-1.96495694E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0011.tif
11,1.17646234E-02,3.40020433E-02,-1.50092046E-05,-4.32607412E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0012.tif
12,1.17677379E-02,3.40116508E-02,-1.18947083E-05,-3.36532648E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0013.tif
13,1.17710647E-02,3.40223797E-02,-8.56784241E-06,-2.29251036E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0014.tif
14,1.17619978E-02,3.39978226E-02,-1.76348184E-05,-4.74810986E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0015.tif
15,1.17566448E-02,3.39742303E-02,-2.29878243E-05,-7.10726163E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0016.tif
16,1.17738572E-02,3.40362974E-02,-5.77536414E-06,-9.00409850E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0017.tif
17,1.17545346E-02,3.39689814E-02,-2.50980069E-05,-7.63217831E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0018.tif
18,1.17524211E-02,3.39640900E-02,-2.72115410E-05,-8.12128128E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0019.tif
19,1.17582997E-02,3.39884572E-02,-2.13328575E-05,-5.68432297E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0020.tif
20,1.17514742E-02,3.39595862E-02,-2.81583666E-05,-8.57183113E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0021.tif
21,1.17579888E-02,3.39818597E-02,-2.16438125E-05,-6.34466051E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0022.tif
22,1.17684118E-02,3.40146087E-02,-1.12208285E-05,-3.06947950E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0023.tif
23,1.17472094E-02,3.39503027E-02,-3.24232061E-05,-9.50000031E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0024.tif
