Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.18173914E-02,3.41579989E-02,-6.42952784E-06,-1.45611430E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0001.tif
1,1.18148481E-02,3.41462120E-02,-8.97285452E-06,-2.63533002E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0002.tif
2,1.18200465E-02,3.41614857E-02,-3.77452472E-06,-1.10791943E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0003.tif
3,1.18142993E-02,3.41472626E-02,-9.52170609E-06,-2.52990212E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0004.tif
4,1.18121082E-02,3.41396034E-02,-1.17127214E-05,-3.29619688E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0005.tif
5,1.18249785E-02,3.41793336E-02,1.15750311E-06,6.76636182E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0006.tif
6,1.18138442E-02,3.41393165E-02,-9.97682557E-06,-3.32472628E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0007.tif
7,1.18048835E-02,3.41268927E-02,-1.89374622E-05,-4.56761845E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0008.tif
8,1.18051074E-02,3.41181159E-02,-1.87135736E-05,-5.44463983E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0009.tif
9,1.18048604E-02,3.41192819E-02,-1.89605946E-05,-5.32828926E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0010.tif
10,1.18082466E-02,3.41310650E-02,-1.55743798E-05,-4.15000177E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0011.tif
11,1.18031758E-02,3.41127068E-02,-2.06451590E-05,-5.98565166E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0012.tif
12,1.18069870E-02,3.41232531E-02,-1.68339745E-05,-4.93107800E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0013.tif
13,1.18099690E-02,3.41317616E-02,-1.38520265E-05,-4.08067681E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0014.tif
14,1.18095029E-02,3.41342837E-02,-1.43180441E-05,-3.82791877E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0015.tif
15,1.18150383E-02,3.41500677E-02,-8.78264004E-06,-2.24945306E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0016.tif
16,1.18078901E-02,3.41292210E-02,-1.59308560E-05,-4.33423229E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0017.tif
17,1.18134359E-02,3.41395400E-02,-1.03851280E-05,-3.30249459E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0018.tif
18,1.18113421E-02,3.41411307E-02,-1.24788932E-05,-3.14322060E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0019.tif
19,1.18110428E-02,3.41310687E-02,-1.27781530E-05,-4.14951028E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0020.tif
20,1.18056816E-02,3.41266207E-02,-1.81393665E-05,-4.59451512E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0021.tif
21,1.18201219E-02,3.41648199E-02,-3.69906576E-06,-7.74747059E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0022.tif
22,1.17982540E-02,3.40954065E-02,-2.55669469E-05,-7.71586274E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0023.tif
23,1.18027870E-02,3.41105647E-02,-2.10339262E-05,-6.20024512E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0024.tif
24,1.18052521E-02,3.41222808E-02,-1.85688718E-05,-5.02846087E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0025.tif
25,1.18031926E-02,3.41095440E-02,-2.06283997E-05,-6.30192808E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0026.tif
26,1.18031481E-02,3.41180488E-02,-2.06728551E-05,-5.45187722E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0027.tif
27,1.18123998E-02,3.41398232E-02,-1.14211490E-05,-3.27397938E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0028.tif
28,1.17993226E-02,3.41044590E-02,-2.44983761E-05,-6.81037418E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0029.tif
29,1.18051256E-02,3.41157205E-02,-1.86954183E-05,-5.68426913E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0030.tif
30,1.17990122E-02,3.41011882E-02,-2.48087991E-05,-7.13748668E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0031.tif
31,1.18048055E-02,3.41124907E-02,-1.90154276E-05,-6.00728708E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0032.tif
32,1.18143772E-02,3.41464914E-02,-9.44374816E-06,-2.60738507E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0033.tif
33,1.18043956E-02,3.41162086E-02,-1.94253525E-05,-5.63557551E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0034.tif
34,1.17944993E-02,3.40920314E-02,-2.93216730E-05,-8.05361851E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0035.tif
35,1.18181019E-02,3.41534503E-02,-5.71906456E-06,-1.91140934E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0036.tif
36,1.18155098E-02,3.41426805E-02,-8.31111973E-06,-2.98843897E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0037.tif
37,1.17949077E-02,3.40898782E-02,-2.89132153E-05,-8.26883115E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0038.tif
38,1.18005516E-02,3.41022983E-02,-2.32694334E-05,-7.02667967E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS17_037_0039.tif
