,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
fGS16del (GS0),1020,450,1006,1016,971,1028,1050,596,1056,1156,1046,837,904,870,1141,1123,1012,917,999,899
fGS16del (GS0),1020,451,1233,1260,1219,1276,1290,735,1298,1408,1269,1038,1121,1066,1386,1389,1234,1141,1233,1118
fGS16del (GS0),1020,452,1527,1565,1494,1579,1569,900,1589,1736,1565,1270,1361,1300,1707,1702,1502,1389,1495,1361
fGS16del (GS0),1020,453,1912,1948,1866,1968,2002,1139,1969,2185,1957,1590,1712,1642,2136,2123,1898,1744,1883,1694
fGS16del (GS0),1020,454,2355,2393,2293,2419,2460,1383,2400,2664,2400,1955,2095,1991,2610,2595,2311,2116,2295,2060
fGS16del (GS0),1020,455,2833,2895,2776,2932,2956,1670,2922,3210,2889,2349,2529,2408,3131,3140,2789,2565,2770,2494
fGS16del (GS0),1020,456,3428,3478,3333,3537,3570,2015,3531,3840,3499,2854,3039,2892,3785,3794,3353,3089,3365,3021
fGS16del (GS0),1020,457,4113,4222,4019,4259,4293,2422,4217,4641,4189,3419,3642,3505,4534,4565,4045,3702,3995,3598
fGS16del (GS0),1020,458,4930,5034,4819,5080,5167,2896,5037,5588,5049,4073,4376,4193,5426,5454,4841,4440,4819,4315
fGS16del (GS0),1020,459,5803,5898,5661,5994,6065,3405,5914,6534,5905,4775,5148,4923,6384,6390,5660,5183,5592,5037
fGS16del (GS0),1020,460,6754,6877,6564,6961,7037,3969,6852,7525,6855,5571,5993,5745,7411,7416,6587,6029,6508,5841
fGS16del (GS0),1020,461,7776,7888,7535,7987,8137,4526,7890,8718,7898,6385,6901,6581,8475,8582,7570,6966,7462,6720
fGS16del (GS0),1020,462,8971,9137,8745,9285,9463,5226,9194,10138,9151,7435,8021,7655,9864,9928,8783,8061,8673,7788
fGS16del (GS0),1020,463,10103,10335,9901,10492,10643,5938,10332,11462,10351,8430,9043,8660,11111,11222,9961,9121,9794,8815
fGS16del (GS0),1020,464,11273,11494,11027,11646,11855,6600,11492,12789,11609,9373,10093,9654,12413,12503,11083,10154,10973,9799
fGS16del (GS0),1020,465,12620,12862,12359,13049,13332,7405,12949,14369,13023,10535,11381,10875,13893,14082,12449,11355,12298,10996
fGS16del (GS0),1020,466,13747,14001,13411,14137,14486,8013,14004,15670,14188,11472,12365,11861,15131,15283,13548,12396,13347,11977
fGS16del (GS0),1020,467,14749,15016,14360,15220,15555,8614,15024,16804,15246,12404,13294,12725,16202,16389,14544,13310,14351,12888
fGS16del (GS0),1020,468,15643,16070,15365,16266,16572,9188,16106,17999,16331,13254,14244,13648,17357,17563,15584,14242,15362,13766
fGS16del (GS0),1020,469,16675,17082,16399,17301,17674,9784,17209,19256,17452,14168,15234,14560,18459,18734,16683,15219,16377,14710
fGS16del (GS0),1020,470,17484,17793,17095,18008,18487,10227,17951,20117,18286,14776,15966,15274,19355,19617,17394,15944,17088,15407
fGS16del (GS0),1020,471,17861,18239,17464,18481,18873,10452,18403,20650,18767,15264,16314,15663,19853,20159,17835,16318,17575,15815
fGS16del (GS0),1020,472,18342,18739,17945,19010,19456,10831,19067,21330,19402,15775,16959,16214,20538,20831,18385,16882,18254,16346
fGS16del (GS0),1020,473,18599,18981,18203,19253,19764,10958,19304,21740,19736,16010,17209,16486,20731,21148,18743,17120,18516,16577
fGS16del (GS0),1020,474,18640,19030,18257,19326,19782,10970,19411,21822,19834,16096,17300,16573,20848,21215,18834,17247,18577,16684
fGS16del (GS0),1020,475,18725,19119,18354,19484,19936,11031,19560,22004,20021,16276,17515,16794,21011,21458,19016,17433,18782,16799
fGS16del (GS0),1020,476,18442,18810,18115,19157,19688,10896,19313,21728,19737,16080,17311,16539,20735,21168,18820,17229,18456,16578
fGS16del (GS0),1020,477,18214,18563,17878,18924,19455,10770,19152,21528,19612,15892,17140,16423,20520,20963,18657,17065,18377,16486
fGS16del (GS0),1020,478,17819,18194,17468,18493,18987,10526,18761,21104,19169,15625,16780,16060,20109,20534,18285,16741,17985,16162
fGS16del (GS0),1020,479,17509,17851,17163,18126,18708,10351,18416,20715,18832,15339,16536,15795,19820,20207,17930,16459,17663,15901
fGS16del (GS0),1020,480,17000,17363,16671,17641,18101,10054,17978,20198,18393,14941,16083,15387,19235,19690,17428,15981,17240,15462
fGS16del (GS0),1020,481,16611,16925,16300,17227,17717,9886,17604,19756,17995,14629,15760,15133,18890,19280,17116,15685,16874,15153
fGS16del (GS0),1020,482,16149,16511,15843,16802,17319,9600,17136,19207,17480,14210,15346,14666,18384,18726,16697,15244,16435,14781
fGS16del (GS0),1020,483,15642,15920,15313,16228,16709,9250,16559,18565,16902,13768,14776,14224,17757,18104,16126,14765,15826,14239
fGS16del (GS0),1020,484,15456,15705,15134,16014,16464,9174,16350,18291,16716,13575,14609,14023,17569,17894,15873,14577,15675,14104
fGS16del (GS0),1020,485,15016,15319,14734,15604,16009,8957,15919,17840,16218,13232,14224,13706,17078,17381,15418,14174,15259,13751
fGS16del (GS0),1020,486,14893,15170,14583,15492,15886,8880,15842,17683,16107,13075,14154,13507,16929,17265,15264,14025,15117,13616
fGS16del (GS0),1020,487,14727,14990,14440,15260,15675,8811,15557,17380,15839,12922,13854,13333,16688,16964,15069,13813,14913,13434
fGS16del (GS0),1020,488,14542,14872,14286,15151,15473,8725,15355,17094,15584,12739,13701,13165,16406,16707,14788,13636,14635,13210
fGS16del (GS0),1020,489,14534,14860,14258,15150,15519,8695,15390,17122,15613,12731,13716,13168,16440,16670,14827,13600,14627,13272
fGS16del (GS0),1020,490,14589,14963,14386,15234,15589,8808,15370,17104,15662,12724,13689,13153,16457,16730,14849,13646,14686,13275
fGS16del (GS0),1020,491,14564,14884,14391,15237,15538,8815,15313,17004,15529,12624,13667,13121,16375,16599,14771,13577,14642,13240
fGS16del (GS0),1020,492,14999,15226,14690,15509,15832,9054,15628,17325,15827,12896,13907,13384,16706,16910,15009,13804,14950,13548
