,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,450,2899,2786,2706,2621,2758,2765,2819,2859,3021,2950,2933,2877,2576,2540,2431,2470,2205,2047,0,0,0,0,0,0,2942,3119,2961,2947,2349,2929,2872,2573,2282,2139,1939,1642,2899,2881,2627,2781,2569,2575,2458,2468,2326,2313,2322,2369,1219,1158,1163,1270,1215,1197,1212,1097,1004,1087,1044,1037,1166,1048,1051,1064,1045,1082,1185,1140,928,1111,1095,1080,1177,1017,909,1102,1077,640,1441,1466,1476,1514,1464,1495,1647,1829,2047,2039,1958,1954,1638,1992,1998,1973,2017,1673
GS24,1020,451,3537,3442,3333,3214,3358,3372,3470,3526,3699,3632,3600,3555,3181,3135,2976,3023,2690,2517,0,0,0,0,0,0,3610,3847,3660,3626,2876,3580,3520,3116,2786,2618,2364,1976,3563,3529,3191,3377,3138,3126,3013,2994,2832,2815,2800,2871,1523,1429,1449,1579,1492,1465,1518,1357,1269,1335,1317,1293,1452,1317,1316,1324,1304,1343,1484,1397,1150,1401,1371,1337,1490,1263,1135,1362,1342,781,1779,1798,1797,1851,1793,1833,2029,2237,2512,2505,2418,2418,1989,2423,2485,2422,2443,2060
GS24,1020,452,4344,4241,4089,3975,4143,4147,4252,4310,4544,4436,4420,4358,3896,3827,3659,3726,3324,3104,0,0,0,0,0,0,4445,4747,4506,4441,3564,4409,4309,3845,3411,3190,2885,2427,4389,4341,3938,4181,3835,3859,3677,3667,3449,3434,3457,3500,1869,1757,1798,1942,1843,1825,1868,1681,1576,1674,1612,1602,1784,1600,1615,1617,1607,1655,1820,1749,1409,1724,1681,1643,1847,1554,1380,1682,1657,966,2167,2181,2200,2247,2180,2224,2459,2715,3049,3069,2953,2957,2428,2967,3008,2945,3013,2490
GS24,1020,453,5452,5265,5125,4998,5202,5195,5306,5381,5706,5579,5500,5433,4854,4788,4558,4629,4116,3845,0,0,0,0,0,0,5564,5924,5613,5573,4414,5528,5419,4769,4255,4004,3569,2970,5476,5464,4938,5226,4828,4837,4590,4572,4292,4284,4293,4374,2314,2185,2198,2406,2275,2224,2314,2096,1926,2070,1982,1975,2203,1976,1984,1997,1981,2021,2238,2142,1735,2123,2075,2014,2249,1917,1693,2051,2008,1186,2721,2736,2765,2806,2745,2771,3068,3402,3808,3797,3652,3621,3016,3688,3753,3658,3732,3129
GS24,1020,454,6625,6462,6284,6073,6378,6366,6486,6640,6951,6824,6736,6650,5937,5856,5593,5650,5041,4673,0,0,0,0,0,0,6768,7235,6833,6792,5404,6778,6545,5760,5187,4845,4342,3608,6656,6617,6011,6332,5839,5894,5555,5594,5221,5166,5214,5284,2837,2664,2708,2949,2785,2728,2864,2587,2387,2535,2442,2432,2710,2445,2457,2468,2430,2490,2742,2624,2133,2624,2550,2497,2762,2335,2070,2522,2470,1443,3302,3317,3342,3397,3302,3368,3723,4128,4621,4632,4422,4420,3668,4484,4579,4470,4563,3815
GS24,1020,455,8004,7742,7578,7328,7695,7680,7848,7958,8385,8238,8144,8003,7162,7058,6750,6831,6084,5676,0,0,0,0,0,0,8154,8704,8247,8155,6507,8130,7866,6955,6194,5812,5221,4311,7984,7986,7167,7629,7034,7029,6643,6653,6282,6227,6215,6370,3451,3244,3321,3576,3407,3321,3465,3126,2892,3109,2969,2988,3285,2971,2982,3001,2933,3025,3311,3176,2606,3165,3094,3028,3361,2838,2542,3064,2999,1751,3954,3999,4017,4103,3971,4031,4469,4941,5524,5575,5307,5303,4416,5400,5489,5375,5482,4569
GS24,1020,456,9603,9306,9095,8827,9221,9219,9418,9566,10077,9902,9736,9586,8576,8451,8102,8164,7322,6790,0,0,0,0,0,0,9791,10489,9914,9834,7804,9751,9470,8342,7441,6954,6244,5170,9595,9599,8660,9197,8451,8467,8009,7974,7516,7453,7485,7609,4173,3904,3988,4305,4120,4010,4212,3771,3500,3721,3567,3579,3927,3565,3547,3601,3539,3640,3983,3834,3096,3815,3709,3634,4004,3409,3041,3700,3625,2097,4743,4795,4815,4909,4756,4838,5294,5882,6608,6631,6372,6345,5273,6449,6544,6423,6527,5478
GS24,1020,457,11529,11202,10901,10602,11090,11030,11270,11421,12107,11828,11724,11490,10258,10117,9672,9828,8734,8123,0,0,0,0,0,0,11686,12432,11761,11696,9291,11668,11284,9953,8832,8288,7433,6170,11446,11361,10307,10934,10082,10080,9543,9490,8940,8840,8923,9069,4952,4665,4738,5145,4863,4778,4983,4515,4179,4451,4270,4270,4685,4243,4243,4304,4243,4386,4747,4559,3709,4522,4397,4322,4765,4069,3632,4395,4311,2500,5644,5717,5772,5854,5703,5787,6289,6987,7878,7870,7557,7531,6291,7668,7808,7660,7817,6537
