,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS8,1020,450,2254,2369,2296,2322,2181,2253,2396,2419,2451,2468,2264,2272,2465,2314,2229,2014,1851,1778,0,0,0,0,0,0,2469,2445,2561,2612,2562,2529,2298,2141,2021,1845,1675,1486,2353,2467,2349,2365,2328,2220,2140,2266,2167,2373,2230,2194,1087,1000,1029,1115,1089,1029,1019,952,852,872,857,781,1044,983,1024,983,1003,984,1034,1058,1047,1039,1024,992,983,984,1043,1018,861,830,1318,1200,1222,1266,1350,1317,1510,1388,1330,1495,1741,1739,1497,1414,1425,1519,1771,1616
GS8,1020,451,2817,2940,2864,2889,2706,2786,2956,2999,3050,3047,2803,2781,3042,2880,2760,2494,2312,2203,0,0,0,0,0,0,3067,3046,3201,3229,3176,3150,2832,2634,2498,2273,2086,1813,2893,3047,2919,2927,2866,2766,2635,2796,2672,2888,2752,2737,1344,1244,1278,1370,1345,1270,1269,1207,1048,1108,1063,973,1294,1240,1265,1233,1233,1233,1292,1333,1301,1280,1263,1236,1227,1223,1302,1268,1080,1034,1605,1470,1506,1552,1638,1596,1829,1700,1622,1825,2118,2118,1838,1729,1750,1865,2176,1972
GS8,1020,452,3472,3661,3575,3611,3377,3460,3674,3736,3780,3811,3478,3467,3732,3568,3419,3100,2860,2743,0,0,0,0,0,0,3787,3798,3930,3996,3953,3899,3497,3260,3055,2778,2546,2227,3579,3781,3615,3614,3561,3412,3236,3440,3301,3527,3403,3334,1666,1557,1588,1700,1649,1552,1564,1476,1321,1350,1328,1196,1601,1523,1551,1537,1540,1519,1594,1634,1608,1570,1579,1522,1524,1521,1614,1557,1339,1290,1948,1801,1830,1880,2001,1937,2230,2081,1974,2208,2584,2581,2224,2109,2133,2268,2658,2419
GS8,1020,453,4262,4511,4407,4456,4170,4255,4508,4588,4649,4681,4290,4236,4488,4399,4224,3821,3497,3341,0,0,0,0,0,0,4642,4636,4840,4900,4829,4774,4291,3989,3756,3393,3092,2698,4407,4651,4467,4442,4380,4150,3952,4199,4043,4314,4139,4072,2063,1901,1934,2081,2041,1907,1951,1828,1625,1667,1627,1481,1969,1862,1920,1869,1890,1872,1948,2014,1980,1924,1923,1872,1888,1876,1984,1923,1644,1578,2436,2220,2275,2347,2490,2416,2782,2577,2473,2758,3200,3214,2764,2621,2669,2828,3301,3005
GS8,1020,454,5238,5544,5397,5484,5119,5208,5536,5621,5716,5735,5245,5218,5476,5397,5189,4667,4289,4094,0,0,0,0,0,0,5707,5707,5943,6059,5953,5868,5270,4886,4600,4139,3786,3272,5418,5726,5446,5450,5378,5106,4850,5153,4950,5237,5073,4978,2562,2334,2422,2574,2498,2343,2399,2266,2021,2060,2022,1835,2412,2285,2377,2289,2306,2273,2403,2484,2426,2399,2376,2302,2265,2274,2423,2357,2025,1924,2925,2688,2773,2842,3028,2920,3369,3120,2994,3353,3896,3895,3336,3189,3220,3416,4010,3646
GS8,1020,455,6445,6818,6616,6691,6275,6364,6737,6863,6979,7042,6440,6368,6657,6579,6300,5730,5271,5016,0,0,0,0,0,0,6942,6948,7222,7330,7260,7180,6370,5934,5585,5003,4574,3962,6564,6946,6635,6626,6497,6202,5837,6237,5970,6314,6132,6026,3097,2852,2920,3144,3052,2840,2914,2752,2474,2536,2474,2253,2954,2804,2882,2811,2810,2765,2925,3023,2963,2921,2901,2819,2783,2769,2972,2880,2472,2360,3516,3217,3310,3414,3619,3512,4013,3741,3608,4021,4667,4668,4026,3823,3859,4126,4834,4390
GS8,1020,456,7708,8191,7978,8064,7557,7657,8091,8251,8397,8463,7750,7733,8013,7906,7605,6862,6306,6000,0,0,0,0,0,0,8330,8366,8678,8860,8749,8631,7689,7101,6703,6069,5498,4776,7921,8311,7955,7973,7819,7427,7046,7479,7173,7543,7382,7272,3739,3420,3486,3788,3667,3421,3542,3343,2976,3040,2986,2701,3572,3396,3466,3405,3410,3315,3524,3639,3557,3526,3495,3379,3328,3325,3573,3474,2951,2843,4221,3838,3949,4126,4350,4203,4805,4472,4301,4824,5599,5575,4801,4567,4623,4924,5799,5255
GS8,1020,457,9250,9782,9522,9660,9017,9159,9655,9838,10023,10146,9263,9224,9443,9465,9111,8198,7539,7198,0,0,0,0,0,0,9903,9944,10373,10517,10430,10295,9152,8443,7958,7167,6527,5649,9368,9882,9456,9467,9308,8881,8355,8868,8510,8953,8721,8595,4473,4102,4171,4527,4391,4092,4249,3985,3542,3654,3575,3213,4227,4001,4147,4041,4035,3958,4215,4330,4250,4209,4161,4014,3974,3951,4239,4144,3512,3395,5023,4582,4685,4864,5192,5013,5740,5312,5098,5751,6622,6636,5722,5433,5505,5886,6884,6260
