,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mNGctrl (NGfree),1020,450,155,54,57,56,65,55,57,57,57,60,59,66,56,49,57,58,58,62
mNGctrl (NGfree),1020,451,171,57,56,56,68,55,55,56,55,59,60,71,57,50,59,58,58,63
mNGctrl (NGfree),1020,452,203,54,58,59,69,56,55,58,58,59,59,72,60,53,56,61,59,65
mNGctrl (NGfree),1020,453,229,57,60,59,70,56,57,56,59,61,61,73,61,49,60,63,60,61
mNGctrl (NGfree),1020,454,275,56,56,57,73,57,53,57,58,64,62,75,61,52,61,67,60,62
mNGctrl (NGfree),1020,455,307,59,62,60,78,59,55,59,56,64,62,85,62,51,58,64,59,64
mNGctrl (NGfree),1020,456,363,58,63,59,86,58,59,58,58,67,61,87,66,53,60,70,57,62
mNGctrl (NGfree),1020,457,422,56,63,62,88,61,60,60,57,67,63,93,68,55,59,65,62,64
mNGctrl (NGfree),1020,458,492,59,60,61,95,65,60,59,56,70,63,98,69,50,61,72,61,65
mNGctrl (NGfree),1020,459,568,60,62,57,99,61,60,62,60,68,63,103,73,56,61,71,60,63
mNGctrl (NGfree),1020,460,657,61,67,62,103,65,60,62,59,71,63,111,78,54,64,77,62,64
mNGctrl (NGfree),1020,461,737,58,66,62,113,64,60,62,63,74,64,118,78,49,65,75,62,60
mNGctrl (NGfree),1020,462,840,60,66,60,122,69,61,63,59,73,64,127,83,53,63,84,63,64
mNGctrl (NGfree),1020,463,935,60,71,63,136,75,62,64,59,77,64,136,88,52,63,84,64,65
mNGctrl (NGfree),1020,464,1044,61,69,61,144,70,64,64,60,81,65,142,86,57,69,82,63,64
mNGctrl (NGfree),1020,465,1168,63,71,61,146,79,63,65,63,84,64,157,93,57,70,90,64,65
mNGctrl (NGfree),1020,466,1256,59,75,63,153,75,66,66,61,84,66,169,99,60,70,92,70,65
mNGctrl (NGfree),1020,467,1339,65,75,64,165,77,66,67,63,88,70,169,100,62,74,96,64,68
mNGctrl (NGfree),1020,468,1428,64,75,67,172,81,68,70,65,88,70,181,109,58,73,101,65,66
mNGctrl (NGfree),1020,469,1504,65,77,68,178,81,67,70,65,92,70,185,113,59,74,99,68,69
mNGctrl (NGfree),1020,470,1586,66,75,65,184,81,72,70,64,90,71,194,116,64,73,105,67,69
mNGctrl (NGfree),1020,471,1611,66,78,65,193,85,66,70,66,94,69,200,114,59,74,109,69,69
mNGctrl (NGfree),1020,472,1646,72,81,69,194,90,75,76,66,97,73,205,119,65,76,113,68,72
mNGctrl (NGfree),1020,473,1682,72,82,70,198,89,70,76,68,99,71,206,122,68,78,111,70,72
mNGctrl (NGfree),1020,474,1680,69,84,67,201,86,72,77,67,98,71,207,123,63,77,105,72,72
mNGctrl (NGfree),1020,475,1692,72,83,70,202,91,74,81,71,101,75,213,121,68,79,115,72,76
mNGctrl (NGfree),1020,476,1664,77,86,74,199,89,74,76,69,100,75,215,128,70,80,110,75,74
mNGctrl (NGfree),1020,477,1648,78,86,75,197,94,80,82,73,103,78,214,132,67,85,115,78,78
mNGctrl (NGfree),1020,478,1623,76,91,75,203,91,79,80,77,105,82,214,125,70,83,119,79,77
mNGctrl (NGfree),1020,479,1582,82,94,79,200,94,86,82,77,105,83,210,129,74,89,118,76,83
mNGctrl (NGfree),1020,480,1551,83,93,81,200,97,85,87,83,107,83,212,131,72,89,115,80,83
mNGctrl (NGfree),1020,481,1530,86,98,86,203,100,90,89,84,108,86,212,136,73,92,118,87,85
mNGctrl (NGfree),1020,482,1493,91,100,92,203,107,92,98,87,115,89,212,133,78,96,124,88,87
mNGctrl (NGfree),1020,483,1462,95,104,95,205,105,95,95,93,116,94,213,133,78,97,122,94,92
mNGctrl (NGfree),1020,484,1440,99,112,101,208,111,101,102,93,116,100,213,139,83,106,131,100,93
mNGctrl (NGfree),1020,485,1415,109,116,108,214,112,106,109,96,122,104,212,146,88,108,135,102,100
mNGctrl (NGfree),1020,486,1417,111,126,114,223,120,113,113,103,126,112,218,151,94,112,143,106,102
mNGctrl (NGfree),1020,487,1406,123,133,119,225,125,125,124,110,136,117,228,162,99,119,139,112,110
mNGctrl (NGfree),1020,488,1403,138,143,134,235,136,129,129,120,139,126,223,172,106,122,150,120,115
mNGctrl (NGfree),1020,489,1420,150,162,146,254,145,150,144,129,149,137,236,181,117,133,161,136,126
mNGctrl (NGfree),1020,490,1450,173,176,158,276,161,161,160,146,159,149,247,195,129,145,173,148,136
mNGctrl (NGfree),1020,491,1465,193,195,186,294,175,182,175,159,172,166,259,211,138,156,180,162,143
mNGctrl (NGfree),1020,492,1537,219,226,206,315,198,211,201,178,188,191,274,244,162,178,199,177,162
mNGctrl (NGfree),1020,493,1573,256,254,239,357,230,241,221,203,211,216,288,270,183,196,223,205,177
mNGctrl (NGfree),1020,494,1662,289,299,283,397,259,279,261,234,241,246,310,302,205,227,255,235,205
mNGctrl (NGfree),1020,495,1774,350,351,331,466,302,323,302,264,268,288,346,350,236,254,287,273,230
mNGctrl (NGfree),1020,496,1884,415,407,382,531,344,380,352,312,310,331,382,406,272,292,321,303,258
mNGctrl (NGfree),1020,497,2049,490,483,456,611,410,456,426,369,364,394,435,479,322,336,370,376,303
mNGctrl (NGfree),1020,498,2230,582,578,550,708,476,540,503,439,428,460,494,558,377,405,437,433,360
mNGctrl (NGfree),1020,499,2417,688,687,638,823,569,651,600,521,502,539,555,658,452,475,506,509,409
mNGctrl (NGfree),1020,500,2650,810,803,751,950,655,761,709,614,591,641,628,775,526,558,589,614,481
mNGctrl (NGfree),1020,501,2913,958,950,888,1106,771,905,835,726,683,761,722,890,623,649,693,707,558
mNGctrl (NGfree),1020,502,3304,1143,1139,1081,1312,913,1086,996,862,817,907,846,1074,752,784,823,856,680
mNGctrl (NGfree),1020,503,3633,1325,1307,1231,1488,1035,1247,1163,1021,936,1074,957,1223,855,886,944,986,772
mNGctrl (NGfree),1020,504,4032,1552,1517,1414,1715,1206,1454,1349,1177,1098,1238,1106,1422,996,1034,1093,1169,891
