,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C01,C02,C03,C04,C05,C06,,,,,,,,,,,,
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24
FUS,1020,450,1124,843,1175,1077,1075,1053,1137,860,910,794,906,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,1141,1026,1092,877,707,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,451,1397,1029,1455,1336,1327,1324,1405,1049,1103,940,1080,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546,1414,1275,1360,1083,879,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,452,1717,1283,1791,1670,1653,1636,1724,1277,1324,1144,1299,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,1758,1581,1675,1324,1081,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,453,2115,1574,2226,2051,2024,1991,2106,1562,1615,1358,1542,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359,2158,1927,2041,1626,1318,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,454,2596,1938,2727,2499,2507,2468,2554,1905,1953,1628,1861,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879,2640,2376,2511,1995,1605,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,455,3180,2368,3331,3057,3063,2982,3127,2314,2351,2001,2219,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502,3214,2905,3068,2436,1960,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,456,3828,2858,4027,3693,3712,3618,3738,2768,2826,2364,2649,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4208,3906,3488,3687,2934,2370,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,457,4577,3415,4802,4425,4410,4333,4455,3301,3342,2798,3116,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5026,4601,4133,4404,3482,2814,0,0,0,0,0,0,0,0,0,0,0,0
