,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,450,1080,681,688,1043,694,1070,1170,1005,1021,970,1041,537,1172,1373,713,875,833,778
FUS,1020,451,1362,851,859,1295,871,1335,1463,1253,1252,1207,1301,672,1466,1688,886,1093,1019,960
FUS,1020,452,1677,1050,1045,1615,1069,1654,1818,1556,1565,1493,1604,826,1814,2085,1096,1353,1262,1191
FUS,1020,453,2048,1275,1284,1987,1314,2000,2218,1897,1937,1833,1961,1000,2205,2569,1342,1644,1539,1448
FUS,1020,454,2528,1563,1580,2423,1606,2456,2720,2340,2365,2236,2411,1234,2692,3152,1653,2021,1870,1753
FUS,1020,455,3079,1901,1918,2951,1940,2975,3339,2858,2909,2742,2962,1491,3314,3827,2001,2462,2289,2150
FUS,1020,456,3713,2300,2319,3545,2328,3599,4019,3460,3511,3301,3565,1799,3977,4627,2406,2957,2740,2564
FUS,1020,457,4407,2737,2753,4206,2780,4297,4815,4136,4196,3946,4236,2141,4739,5478,2874,3506,3266,3057
FUS,1020,458,5283,3245,3269,4995,3325,5082,5717,4932,4998,4733,5047,2562,5674,6564,3421,4172,3896,3621
FUS,1020,459,6245,3879,3879,5949,3896,6019,6719,5853,5906,5585,5978,3020,6692,7782,4033,4942,4595,4304
FUS,1020,460,7260,4481,4480,6863,4543,6931,7835,6785,6896,6474,6967,3527,7790,9044,4682,5769,5337,4985
FUS,1020,461,8254,5098,5129,7838,5174,7951,8993,7740,7912,7440,7981,4042,8901,10289,5366,6619,6112,5682
FUS,1020,462,9473,5826,5858,8977,5909,9101,10299,8929,9043,8579,9166,4611,10181,11772,6151,7570,7031,6573
FUS,1020,463,10848,6695,6710,10284,6769,10317,11856,10263,10396,9841,10541,5331,11728,13558,7079,8678,8067,7503
FUS,1020,464,12034,7419,7447,11356,7511,11507,13124,11434,11585,10906,11755,5919,13030,15070,7856,9642,8995,8351
FUS,1020,465,13279,8179,8212,12564,8306,12727,14568,12653,12807,12109,13009,6550,14355,16650,8690,10666,9940,9207
FUS,1020,466,14607,9025,9041,13840,9104,13944,16062,13917,14176,13416,14332,7254,15880,18418,9606,11785,10937,10198
FUS,1020,467,15667,9662,9745,14857,9800,14982,17292,15034,15272,14442,15467,7826,17071,19828,10412,12725,11802,10963
FUS,1020,468,16684,10301,10323,15788,10423,15926,18398,16082,16312,15422,16550,8376,18163,21171,11089,13571,12618,11705
FUS,1020,469,17711,10916,10968,16750,11081,16930,19608,17125,17470,16416,17602,8927,19402,22541,11796,14473,13479,12513
FUS,1020,470,18591,11475,11518,17550,11610,17685,20639,17957,18326,17277,18532,9361,20259,23593,12422,15192,14140,13110
FUS,1020,471,18959,11725,11785,17998,11867,18093,21137,18465,18797,17756,19012,9607,20767,24259,12770,15625,14540,13536
FUS,1020,472,19394,11974,12102,18372,12089,18515,21602,18911,19254,18166,19412,9893,21347,24910,13119,15995,14848,13850
FUS,1020,473,19915,12296,12395,18853,12468,19054,22336,19512,19849,18768,20061,10185,21875,25571,13485,16496,15353,14286
FUS,1020,474,19880,12303,12376,18821,12394,18957,22311,19467,19860,18748,20090,10171,21922,25740,13482,16517,15352,14261
FUS,1020,475,20057,12480,12530,19039,12571,19177,22535,19766,20171,19029,20313,10351,22188,26000,13694,16745,15583,14502
FUS,1020,476,19783,12268,12336,18714,12353,18818,22196,19440,19839,18810,20103,10182,21943,25715,13517,16474,15409,14288
FUS,1020,477,19461,12114,12108,18443,12201,18588,21896,19244,19662,18521,19829,10040,21578,25408,13343,16284,15184,14156
FUS,1020,478,19161,11931,11980,18123,11970,18306,21625,18936,19312,18268,19458,9932,21246,24839,13188,16028,14942,13896
FUS,1020,479,18772,11608,11739,17763,11769,17842,21166,18540,18915,17854,19066,9726,20880,24482,12932,15765,14650,13669
FUS,1020,480,18273,11342,11424,17232,11444,17413,20639,18041,18469,17431,18598,9481,20330,23780,12567,15341,14295,13369
FUS,1020,481,17916,11165,11199,16896,11214,17115,20157,17748,18142,17100,18301,9322,19975,23372,12400,15105,14068,13117
FUS,1020,482,17414,10818,10892,16446,10950,16601,19574,17187,17607,16605,17771,9083,19393,22653,12015,14643,13674,12756
FUS,1020,483,16844,10521,10569,15903,10603,16141,19011,16698,17067,16147,17163,8808,18745,21975,11650,14225,13250,12405
FUS,1020,484,16698,10386,10494,15692,10474,15926,18713,16452,16849,15867,16934,8696,18462,21620,11503,14009,13077,12220
FUS,1020,485,16218,10088,10182,15282,10174,15455,18195,15990,16344,15374,16467,8456,17994,20975,11137,13636,12710,11904
FUS,1020,486,15949,9972,10066,15086,10071,15305,17896,15749,16037,15178,16143,8358,17727,20651,11043,13447,12494,11778
FUS,1020,487,15813,9875,9961,14944,9963,15100,17656,15570,15821,14912,15913,8281,17454,20325,10903,13325,12406,11589
