,,Well,,,,,,,,,,,,,E07,E08,E09,E10,E11,E12,,,,,,,,,,,,,D07,D08,D09,D10,D11,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,450,789,871,851,852,810,836,0,0,0,0,0,0,1009,1027,978,981,944,891,0,0,0,0,0,0,0,0,0,0,0,0,847,810,723,690,676,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,1130,1248,1227,1328,1437,1086,1186,1283,1252,1351,1405
PUMA S3,1020,451,992,1072,1061,1059,1004,1044,0,0,0,0,0,0,1242,1264,1206,1189,1157,1075,0,0,0,0,0,0,0,0,0,0,0,0,1036,982,875,836,813,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,1387,1551,1519,1641,1775,1339,1481,1597,1542,1674,1750
PUMA S3,1020,452,1212,1329,1329,1306,1236,1292,0,0,0,0,0,0,1529,1552,1476,1453,1393,1295,0,0,0,0,0,0,0,0,0,0,0,0,1272,1205,1082,1013,966,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,1701,1898,1870,2029,2170,1649,1821,1968,1894,2065,2172
PUMA S3,1020,453,1484,1625,1608,1597,1505,1555,0,0,0,0,0,0,1870,1879,1794,1762,1654,1556,0,0,0,0,0,0,0,0,0,0,0,0,1549,1464,1301,1226,1168,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,2088,2314,2287,2460,2648,2028,2246,2394,2331,2512,2663
PUMA S3,1020,454,1816,1994,1986,1959,1849,1928,0,0,0,0,0,0,2291,2298,2159,2138,2045,1866,0,0,0,0,0,0,0,0,0,0,0,0,1900,1807,1570,1475,1403,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434,2570,2840,2803,3034,3267,2483,2751,2976,2869,3114,3271
PUMA S3,1020,455,2223,2453,2438,2381,2266,2352,0,0,0,0,0,0,2768,2791,2614,2563,2440,2268,0,0,0,0,0,0,0,0,0,0,0,0,2306,2170,1913,1780,1670,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,3102,3443,3431,3674,3952,3004,3317,3570,3485,3763,3966
PUMA S3,1020,456,2673,2955,2908,2877,2721,2835,0,0,0,0,0,0,3316,3314,3125,3051,2891,2647,0,0,0,0,0,0,0,0,0,0,0,0,2765,2588,2270,2126,1995,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477,3717,4128,4105,4422,4735,3621,4008,4318,4205,4549,4740
PUMA S3,1020,457,3221,3531,3501,3457,3230,3352,0,0,0,0,0,0,3954,3950,3701,3623,3436,3136,0,0,0,0,0,0,0,0,0,0,0,0,3291,3080,2703,2497,2359,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4171,4430,4934,4870,5264,5641,4300,4782,5148,4975,5409,5671
