Q,I(Q),Error
2.99882683E-03,2.44578719E-02,2.47031277E-03
3.28442939E-03,2.70503499E-02,1.33953878E-03
3.57003195E-03,2.76171006E-02,1.14113242E-03
3.85563450E-03,2.87524424E-02,9.33337048E-04
4.14123706E-03,2.76486799E-02,7.50926711E-04
4.42683961E-03,2.82012671E-02,6.41733767E-04
4.71244217E-03,2.89997607E-02,5.89330451E-04
4.99804472E-03,2.85509564E-02,5.57659933E-04
5.28364728E-03,2.82636508E-02,5.32740862E-04
5.56924984E-03,2.73591131E-02,5.26523660E-04
5.85485239E-03,2.88178921E-02,5.25165226E-04
6.14045495E-03,2.74052434E-02,5.10395734E-04
6.42605750E-03,2.74542458E-02,4.96890695E-04
6.71166006E-03,2.79155374E-02,4.79975083E-04
6.99726261E-03,2.76852064E-02,4.66034861E-04
7.28286517E-03,2.74369754E-02,4.62261747E-04
7.56846773E-03,2.69451104E-02,4.57883017E-04
7.85407028E-03,2.74901539E-02,4.41673082E-04
8.13967284E-03,2.68326141E-02,4.32015236E-04
8.42527539E-03,2.69993469E-02,4.31249834E-04
8.71087795E-03,2.72916704E-02,4.20941399E-04
8.99648050E-03,2.71959789E-02,4.18982046E-04
9.28208306E-03,2.70341821E-02,4.05266465E-04
9.56768562E-03,2.70234644E-02,3.96792074E-04
9.85328817E-03,2.69101113E-02,4.07170287E-04
1.01388907E-02,2.59841830E-02,3.85098196E-04
1.04244933E-02,2.68128589E-02,3.79602368E-04
1.07100958E-02,2.71260329E-02,3.82965899E-04
1.09956984E-02,2.68953517E-02,3.76457947E-04
1.12813009E-02,2.69550122E-02,3.77456310E-04
1.15669035E-02,2.68222690E-02,3.62165773E-04
1.18525061E-02,2.62129679E-02,3.62815630E-04
1.21381086E-02,2.61925869E-02,3.57993085E-04
1.24237112E-02,2.65501961E-02,3.30124530E-04
1.27093137E-02,2.56967135E-02,3.23175549E-04
1.29949163E-02,2.60234028E-02,3.09598391E-04
1.32805188E-02,2.58338414E-02,3.06650585E-04
1.35661214E-02,2.62062550E-02,2.97854122E-04
1.38517240E-02,2.58973427E-02,2.92863159E-04
1.41373265E-02,2.56134495E-02,2.87454886E-04
1.44229291E-02,2.53450051E-02,2.82578867E-04
1.47085316E-02,2.54063085E-02,2.78740467E-04
1.49941342E-02,2.50332057E-02,2.72419427E-04
1.52797367E-02,2.52686255E-02,2.69808762E-04
1.55653393E-02,2.52465382E-02,2.64093689E-04
1.58509418E-02,2.49277279E-02,2.62390087E-04
1.61365444E-02,2.50665061E-02,2.57617275E-04
1.64221470E-02,2.48162597E-02,2.53652816E-04
1.67077495E-02,2.46259160E-02,2.50340778E-04
1.69933521E-02,2.46620923E-02,2.46059261E-04
1.72789546E-02,2.43869126E-02,2.44029232E-04
1.75645572E-02,2.39200741E-02,2.40869399E-04
1.78501597E-02,2.42957175E-02,2.37127228E-04
1.81357623E-02,2.39272006E-02,2.37063440E-04
1.84213648E-02,2.35507749E-02,2.31151238E-04
1.87069674E-02,2.34162509E-02,2.29862369E-04
1.89925700E-02,2.38430277E-02,2.30273282E-04
1.92781725E-02,2.34845169E-02,2.23138711E-04
1.95637751E-02,2.35584155E-02,2.24791477E-04
1.98493776E-02,2.30113752E-02,2.18850613E-04
2.01349802E-02,2.32711583E-02,2.18998381E-04
2.04205827E-02,2.33431421E-02,2.17708378E-04
2.07061853E-02,2.31085382E-02,2.12709411E-04
2.09917878E-02,2.29106136E-02,2.12957785E-04
2.12773904E-02,2.33297907E-02,2.09975878E-04
2.15629930E-02,2.28128098E-02,2.08762971E-04
2.18485955E-02,2.25842707E-02,2.06721172E-04
2.21341981E-02,2.25890949E-02,2.03620267E-04
2.24198006E-02,2.19777860E-02,2.03065404E-04
2.27054032E-02,2.23858692E-02,2.01344219E-04
2.29910057E-02,2.19158977E-02,1.99811263E-04
2.32766083E-02,2.16423273E-02,1.96444147E-04
2.35622108E-02,2.20468752E-02,1.97190258E-04
2.38478134E-02,2.16936991E-02,1.94292646E-04
2.41334160E-02,2.12401599E-02,1.92684017E-04
2.44190185E-02,2.11657286E-02,1.91111288E-04
2.47046211E-02,2.13269815E-02,1.89497774E-04
2.49902236E-02,2.14323662E-02,1.88796642E-04
2.52758262E-02,2.12765820E-02,1.86670039E-04
2.55614287E-02,2.06733197E-02,1.85220624E-04
2.58470313E-02,2.06992775E-02,1.84828447E-04
2.61326338E-02,2.04561800E-02,1.81857236E-04
2.64182364E-02,2.04077102E-02,1.81979446E-04
2.67038390E-02,2.06004120E-02,1.78449095E-04
2.69894415E-02,2.01658644E-02,1.79841179E-04
