,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,450,2028,2088,2178,2260,2106,2075,2246,2214,2342,2253,2187,2381,2317,2056,1964,2000,1986,1755,0,0,0,0,0,0,2321,2432,2388,2742,2547,2616,2079,2158,1943,1820,1567,1352,2138,2167,2661,2189,2174,2185,1969,1828,1934,1904,1987,1950,832,1006,1129,932,1118,1210,877,942,763,919,904,933,1005,1028,1100,999,1013,1059,1022,1031,1176,1039,1042,1101,1007,1041,1023,981,984,1009,1266,1230,1306,1308,1201,1203,1553,1579,1728,1463,1531,1538,1410,1816,1788,1846,1895,1707
GS16,1020,451,2568,2583,2709,2781,2611,2587,2786,2753,2909,2794,2710,2946,2874,2540,2456,2478,2455,2183,0,0,0,0,0,0,2875,3039,2966,3385,3141,3226,2575,2651,2396,2260,1938,1641,2671,2671,3305,2715,2709,2714,2448,2271,2388,2359,2446,2395,1039,1260,1417,1138,1380,1483,1103,1177,954,1139,1130,1156,1253,1292,1375,1255,1263,1312,1253,1288,1457,1274,1290,1379,1232,1275,1267,1221,1217,1276,1546,1483,1597,1615,1474,1471,1904,1919,2120,1784,1865,1886,1710,2213,2184,2264,2319,2111
GS16,1020,452,3193,3210,3343,3463,3264,3226,3470,3439,3601,3495,3385,3656,3585,3127,3043,3076,3037,2691,0,0,0,0,0,0,3568,3749,3697,4200,3923,3983,3161,3288,2952,2769,2374,2017,3289,3317,4068,3340,3338,3341,2980,2781,2921,2894,3025,2960,1284,1561,1761,1421,1694,1839,1361,1463,1186,1422,1408,1443,1567,1596,1702,1574,1557,1634,1581,1601,1808,1598,1612,1689,1539,1605,1582,1517,1526,1573,1886,1843,1961,1977,1800,1807,2313,2360,2594,2207,2285,2294,2085,2697,2664,2757,2829,2566
GS16,1020,453,3923,3962,4123,4257,4009,3954,4264,4208,4425,4256,4153,4475,4402,3865,3726,3744,3735,3274,0,0,0,0,0,0,4353,4580,4538,5147,4801,4904,3873,4036,3614,3390,2887,2458,4026,4061,4981,4097,4084,4101,3660,3428,3571,3522,3672,3603,1589,1935,2164,1727,2098,2253,1700,1827,1466,1766,1743,1771,1924,1970,2103,1920,1930,1997,1953,1973,2223,1976,2000,2084,1873,1961,1939,1849,1879,1932,2367,2293,2433,2479,2269,2256,2889,2947,3256,2744,2859,2882,2590,3375,3338,3460,3529,3214
GS16,1020,454,4794,4843,5075,5199,4896,4827,5248,5168,5417,5236,5073,5480,5404,4768,4551,4619,4565,4015,0,0,0,0,0,0,5378,5682,5570,6335,5878,5998,4777,4949,4433,4151,3526,2981,4975,4994,6142,5054,5041,5032,4480,4210,4393,4325,4502,4411,1944,2382,2657,2123,2589,2765,2093,2253,1826,2175,2157,2179,2359,2427,2599,2355,2370,2435,2391,2424,2748,2417,2447,2552,2310,2420,2385,2289,2288,2383,2870,2809,2981,3003,2746,2750,3481,3554,3943,3324,3488,3493,3133,4108,4044,4216,4299,3896
GS16,1020,455,5875,5937,6226,6371,6005,5913,6421,6350,6671,6379,6193,6733,6623,5797,5564,5633,5545,4892,0,0,0,0,0,0,6527,6883,6756,7660,7158,7254,5781,5992,5378,5016,4245,3614,6024,6069,7424,6114,6078,6091,5428,5086,5306,5209,5457,5344,2396,2908,3293,2634,3180,3380,2569,2755,2250,2685,2642,2670,2885,2972,3176,2893,2923,2978,2914,2975,3369,2946,2986,3128,2838,2925,2895,2786,2789,2895,3430,3355,3587,3613,3316,3331,4177,4277,4733,3997,4171,4202,3768,4952,4865,5060,5190,4722
GS16,1020,456,7028,7145,7464,7669,7218,7096,7765,7627,7984,7686,7445,8063,7923,6952,6683,6793,6712,5870,0,0,0,0,0,0,7860,8268,8135,9258,8592,8791,6977,7214,6459,6020,5092,4310,7218,7270,8985,7363,7316,7300,6516,6068,6374,6265,6521,6393,2892,3539,3966,3163,3827,4091,3094,3357,2710,3233,3194,3220,3486,3589,3852,3492,3510,3606,3491,3560,4075,3589,3576,3771,3381,3545,3496,3362,3358,3494,4133,4069,4342,4357,3974,3971,5034,5115,5685,4769,4990,5037,4517,5916,5814,6083,6216,5667
GS16,1020,457,8438,8527,8966,9160,8669,8482,9253,9147,9584,9238,8930,9711,9483,8308,7954,8104,7991,7015,0,0,0,0,0,0,9381,9867,9732,10967,10212,10426,8265,8591,7668,7189,6066,5112,8589,8679,10654,8746,8741,8701,7751,7240,7568,7405,7760,7563,3456,4243,4779,3793,4541,4840,3726,4036,3283,3877,3805,3861,4173,4306,4616,4171,4204,4328,4202,4263,4869,4293,4281,4483,4040,4226,4181,4014,4012,4169,4978,4857,5160,5222,4738,4739,6009,6138,6822,5685,5969,6006,5378,7017,6960,7294,7444,6756
