,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS32,1020,450,3003,2749,2701,2899,2748,2818,2987,2891,3065,3090,2861,3060,2188,2837,2883,2514,2722,2243,0,0,0,0,0,0,3132,3254,3387,3109,3190,3639,2808,2617,2367,2301,2028,1804,2792,3020,2948,2788,2953,2838,2517,2473,2395,2719,2524,2503,1130,1195,1189,1276,1287,1326,1067,1157,1056,1149,1158,1163,1141,1157,1158,1193,1336,1283,1147,1230,1180,1136,1280,1304,1150,1135,1115,1126,1180,1200,1474,1504,1701,1562,1615,1609,1616,1638,1833,1868,1929,1938,1641,1681,1855,1863,1948,1969
GS32,1020,451,3691,3364,3342,3528,3356,3458,3688,3554,3786,3805,3531,3729,2688,3491,3553,3071,3322,2756,0,0,0,0,0,0,3855,3999,4198,3830,3906,4467,3436,3205,2899,2811,2464,2200,3440,3701,3616,3396,3595,3477,3070,3002,2913,3317,3086,3042,1408,1478,1476,1584,1600,1638,1334,1441,1315,1439,1427,1450,1436,1456,1437,1479,1668,1599,1428,1519,1476,1419,1556,1625,1445,1407,1385,1401,1471,1503,1795,1859,2090,1903,1971,1960,1958,2004,2250,2272,2372,2360,2010,2062,2263,2262,2391,2408
GS32,1020,452,4499,4147,4074,4337,4135,4222,4550,4369,4638,4683,4316,4580,3305,4288,4395,3807,4099,3378,0,0,0,0,0,0,4757,4938,5170,4705,4805,5504,4216,3904,3549,3405,2998,2667,4225,4518,4435,4181,4439,4269,3756,3675,3559,4042,3744,3717,1739,1846,1843,1964,1960,2011,1660,1790,1618,1787,1773,1790,1760,1784,1779,1828,2063,1954,1764,1886,1822,1749,1925,1996,1772,1746,1710,1732,1801,1856,2205,2259,2565,2336,2416,2404,2405,2429,2748,2768,2882,2909,2443,2519,2779,2758,2924,2982
GS32,1020,453,5717,5202,5112,5473,5184,5294,5658,5435,5765,5826,5410,5735,4109,5362,5419,4693,5052,4206,0,0,0,0,0,0,5939,6169,6478,5889,6000,6841,5290,4889,4430,4280,3717,3277,5285,5670,5517,5240,5509,5327,4718,4580,4474,5047,4695,4635,2135,2265,2262,2407,2422,2489,2031,2199,1992,2189,2179,2204,2166,2176,2161,2222,2521,2399,2159,2296,2236,2130,2354,2440,2176,2118,2086,2140,2206,2237,2739,2811,3188,2892,2991,2961,2989,3033,3437,3468,3601,3635,3049,3124,3435,3452,3675,3695
GS32,1020,454,6950,6339,6248,6636,6310,6441,6909,6710,7093,7144,6577,7005,5029,6554,6653,5753,6206,5144,0,0,0,0,0,0,7239,7528,7882,7174,7340,8379,6445,5957,5377,5189,4509,3989,6403,6884,6739,6355,6733,6444,5712,5563,5394,6078,5672,5605,2659,2834,2788,2958,2984,3051,2523,2714,2467,2701,2696,2739,2675,2704,2698,2735,3107,2972,2658,2855,2728,2620,2887,2997,2659,2606,2579,2624,2713,2760,3339,3430,3879,3528,3655,3578,3601,3693,4175,4201,4357,4371,3716,3778,4194,4179,4439,4483
GS32,1020,455,8367,7626,7506,7997,7619,7785,8365,8078,8561,8629,7969,8480,6104,7918,8023,6949,7496,6177,0,0,0,0,0,0,8730,9056,9501,8615,8798,10053,7761,7168,6512,6209,5415,4783,7684,8286,8056,7674,8088,7735,6863,6646,6463,7355,6762,6727,3247,3432,3407,3629,3637,3698,3089,3307,3005,3278,3271,3294,3245,3278,3273,3325,3757,3608,3235,3444,3327,3170,3513,3613,3229,3172,3125,3186,3312,3354,3997,4121,4650,4214,4375,4312,4323,4416,4988,5029,5207,5240,4461,4577,5036,4998,5297,5373
GS32,1020,456,10066,9181,9028,9615,9156,9365,9985,9716,10277,10358,9558,10155,7330,9477,9658,8336,8992,7366,0,0,0,0,0,0,10514,10948,11415,10381,10591,12076,9293,8584,7740,7440,6480,5730,9237,9968,9723,9223,9706,9314,8246,7956,7708,8801,8136,8110,3897,4155,4102,4364,4407,4473,3681,3955,3608,3960,3945,3965,3892,3955,3926,4009,4539,4313,3901,4129,3971,3817,4222,4352,3864,3819,3779,3807,3955,4038,4802,4956,5584,5031,5203,5172,5196,5274,5963,6026,6238,6265,5347,5458,6042,6024,6370,6453
GS32,1020,457,12093,11018,10820,11560,10995,11218,11997,11589,12327,12448,11470,12214,8773,11363,11537,9967,10762,8815,0,0,0,0,0,0,12532,13009,13575,12381,12607,14387,11034,10198,9227,8885,7730,6748,11007,11921,11580,10946,11590,11102,9773,9542,9214,10500,9709,9584,4680,4950,4886,5211,5207,5318,4411,4745,4315,4740,4714,4759,4669,4721,4680,4768,5385,5122,4638,4919,4735,4564,5008,5191,4601,4536,4470,4531,4699,4817,5736,5876,6653,6032,6215,6125,6156,6273,7088,7155,7418,7414,6359,6509,7199,7167,7587,7642
