,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,450,1861,3569,1672,1693,1916,1460,1625,1136,1643,1626,999,1601,1862,1685,1686,1578,1739,1411
GS48,1020,451,2271,3694,2056,2054,2320,1782,1998,1384,2009,1989,1235,1952,2264,2043,2051,1941,2116,1713
GS48,1020,452,2774,3893,2512,2520,2857,2194,2444,1699,2455,2446,1487,2402,2763,2533,2538,2365,2582,2113
GS48,1020,453,3464,4228,3142,3184,3584,2749,3064,2133,3071,3053,1881,2985,3462,3154,3150,2942,3224,2633
GS48,1020,454,4224,4499,3833,3839,4393,3366,3707,2574,3768,3735,2288,3637,4203,3833,3806,3610,3956,3201
GS48,1020,455,5081,4861,4608,4654,5263,4041,4502,3112,4508,4474,2739,4392,5059,4623,4607,4335,4749,3854
GS48,1020,456,6097,5256,5540,5567,6304,4836,5356,3738,5392,5370,3280,5288,6098,5539,5500,5172,5719,4615
GS48,1020,457,7265,5747,6680,6704,7566,5787,6453,4450,6437,6390,3947,6317,7292,6637,6595,6191,6870,5529
GS48,1020,458,8636,6329,7922,7933,9055,6921,7684,5339,7691,7614,4731,7550,8630,7893,7802,7332,8180,6625
GS48,1020,459,10104,6963,9259,9321,10574,8080,8991,6250,8975,8913,5565,8836,10113,9286,9152,8532,9566,7731
GS48,1020,460,11716,7606,10727,10834,12310,9394,10406,7280,10387,10336,6453,10294,11762,10777,10572,9926,11098,8989
GS48,1020,461,13400,8310,12230,12403,14101,10763,12017,8342,11883,11861,7406,11867,13460,12342,12096,11355,12728,10308
GS48,1020,462,15487,9187,14180,14293,16257,12402,13870,9658,13728,13642,8628,13726,15562,14320,13909,13083,14740,11939
GS48,1020,463,17287,9983,15871,15966,18209,13939,15582,10873,15406,15379,9674,15479,17496,16050,15573,14673,16622,13424
GS48,1020,464,19356,10802,17639,17733,20343,15511,17371,12155,17176,17091,10835,17278,19507,17962,17382,16306,18565,14999
GS48,1020,465,21482,11771,19658,19774,22690,17287,19351,13571,19069,18975,12081,19262,21820,20002,19352,18120,20704,16742
GS48,1020,466,23411,12547,21364,21567,24603,18774,21174,14783,20741,20663,13221,21051,23766,21896,21007,19738,22625,18297
GS48,1020,467,25016,13221,22845,23047,26340,20105,22642,15859,22208,22086,14198,22649,25451,23433,22454,21110,24331,19613
GS48,1020,468,26706,13832,24364,24440,28053,21301,24199,17017,23578,23453,15181,24133,27117,24984,23852,22467,25989,20950
GS48,1020,469,28442,14686,25986,26137,29954,22725,25833,18167,25068,25090,16299,25876,29022,26736,25525,23900,27798,22485
GS48,1020,470,29539,15125,26846,27066,31033,23606,26878,18945,26174,25956,16969,26989,30135,27809,26354,24778,28971,23328
GS48,1020,471,30305,15412,27550,27848,31959,24202,27682,19515,26855,26643,17465,27901,31063,28728,27149,25479,29931,24138
GS48,1020,472,31336,15932,28546,28708,32959,25026,28651,20216,27666,27509,18104,28880,32097,29648,28023,26330,30928,25013
GS48,1020,473,31556,16035,28766,28889,33232,25296,28890,20441,27924,27703,18355,29229,32504,30036,28247,26558,31319,25307
GS48,1020,474,31752,16057,28839,29151,33436,25419,29198,20677,28084,27860,18552,29494,32745,30317,28452,26668,31600,25502
GS48,1020,475,31953,16199,29175,29328,33751,25569,29501,20844,28247,28048,18732,29833,33050,30657,28617,26889,31955,25775
GS48,1020,476,31441,15953,28586,28813,33206,25141,28997,20517,27775,27579,18470,29340,32530,30181,28184,26488,31522,25447
GS48,1020,477,31310,15958,28545,28683,33003,24985,28895,20468,27587,27389,18465,29263,32429,30086,28064,26365,31300,25340
GS48,1020,478,30511,15670,27871,28009,32259,24447,28289,20016,27047,26919,18089,28635,31731,29520,27435,25784,30694,24872
GS48,1020,479,30005,15445,27345,27536,31650,24061,27727,19686,26484,26344,17799,28214,31141,28837,26909,25291,30311,24483
GS48,1020,480,29300,15161,26639,26761,30884,23515,27067,19187,25874,25700,17343,27576,30430,28235,26235,24700,29552,23905
GS48,1020,481,28508,14870,26020,26202,30087,22960,26382,18740,25139,25036,16928,26856,29676,27558,25625,24034,28818,23311
GS48,1020,482,27840,14622,25337,25480,29429,22429,25884,18385,24608,24446,16604,26298,28964,26957,25000,23541,28253,22867
GS48,1020,483,27015,14287,24569,24743,28454,21734,25012,17794,23833,23841,16111,25480,28103,26066,24319,22825,27342,22154
GS48,1020,484,26549,14125,24118,24324,27915,21346,24530,17483,23456,23359,15811,25043,27556,25568,23817,22355,26848,21719
GS48,1020,485,25897,13897,23662,23742,27345,20897,24028,17131,22971,22958,15524,24470,26970,24996,23374,21976,26254,21273
GS48,1020,486,25574,13856,23369,23462,26817,20657,23794,16871,22677,22612,15319,24179,26582,24747,23048,21669,25854,20931
GS48,1020,487,25346,13701,22967,23184,26567,20439,23448,16661,22441,22327,15122,23770,26257,24342,22762,21414,25454,20629
GS48,1020,488,25048,13558,22665,22884,26224,20100,23062,16458,22128,22035,14852,23479,25830,23896,22441,21082,25087,20398
GS48,1020,489,24790,13533,22601,22733,26005,19921,22839,16330,21950,21918,14741,23269,25590,23699,22338,21002,24819,20201
GS48,1020,490,24910,13598,22732,22832,26070,20056,22878,16317,22082,21964,14725,23287,25620,23730,22437,21084,24890,20253
GS48,1020,491,24673,13514,22620,22722,25827,19865,22656,16170,21965,21818,14650,23116,25362,23516,22321,21000,24596,20135
GS48,1020,492,25068,13712,22851,23055,26164,20214,22912,16406,22220,22135,14833,23395,25609,23698,22596,21235,24886,20396
GS48,1020,493,25107,13764,22926,23090,26201,20313,22885,16346,22270,22216,14841,23354,25612,23739,22651,21335,24969,20448
GS48,1020,494,25303,13858,23189,23422,26487,20540,23050,16492,22584,22484,15025,23573,25821,23918,22924,21634,25191,20654
GS48,1020,495,25916,14168,23875,23984,27099,21034,23557,16810,23163,23099,15327,24157,26289,24437,23522,22155,25718,21206
GS48,1020,496,26169,14304,24114,24364,27357,21308,23700,16959,23447,23345,15547,24409,26458,24551,23772,22445,25969,21466
