,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,450,1489,1480,1449,1424,1438,1397,1522,1383,1372,1289,1119,950,1511,2501,1280,1155,1141,990
p53 NTAD,1020,451,1849,1843,1786,1770,1764,1738,1899,1705,1690,1596,1380,1185,1888,2764,1593,1417,1406,1214
p53 NTAD,1020,452,2313,2308,2240,2215,2228,2166,2357,2125,2105,1988,1720,1472,2347,3123,1976,1773,1768,1509
p53 NTAD,1020,453,2841,2854,2773,2709,2724,2665,2894,2634,2592,2441,2118,1810,2872,3558,2435,2187,2177,1838
p53 NTAD,1020,454,3483,3487,3407,3353,3370,3294,3558,3236,3189,2998,2594,2240,3537,4101,2992,2685,2684,2260
p53 NTAD,1020,455,4264,4290,4181,4099,4113,3999,4355,3940,3885,3670,3175,2730,4311,4724,3656,3287,3250,2758
p53 NTAD,1020,456,5159,5197,5014,4939,4936,4875,5278,4748,4730,4442,3838,3300,5216,5469,4416,3955,3920,3349
p53 NTAD,1020,457,6167,6228,6047,5925,5933,5810,6262,5692,5630,5294,4584,3974,6229,6286,5301,4744,4690,3999
p53 NTAD,1020,458,7351,7411,7218,7068,7089,6903,7498,6803,6675,6324,5468,4705,7405,7290,6311,5633,5548,4763
p53 NTAD,1020,459,8725,8790,8565,8369,8419,8224,8811,8075,7971,7504,6485,5570,8764,8446,7486,6685,6625,5622
p53 NTAD,1020,460,10078,10214,9921,9721,9758,9576,10292,9399,9306,8779,7595,6502,10180,9664,8671,7759,7730,6594
p53 NTAD,1020,461,11564,11651,11395,11136,11173,10961,11754,10738,10624,9990,8675,7460,11614,10912,9936,8891,8842,7502
p53 NTAD,1020,462,13310,13377,13117,12815,12850,12617,13529,12399,12326,11594,10024,8611,13410,12400,11490,10246,10215,8630
p53 NTAD,1020,463,15257,15377,14985,14649,14719,14406,15497,14242,14051,13294,11493,9835,15314,14118,13138,11772,11696,9954
p53 NTAD,1020,464,16916,17079,16650,16317,16391,16026,17152,15821,15676,14788,12834,11003,17120,15578,14609,13095,12991,11066
p53 NTAD,1020,465,18701,18792,18439,18027,18072,17683,19010,17527,17315,16414,14225,12151,18850,17168,16213,14509,14393,12287
p53 NTAD,1020,466,20580,20841,20354,19936,19996,19537,21044,19405,19153,18146,15721,13453,20793,18912,17955,16068,15861,13556
p53 NTAD,1020,467,22141,22355,21859,21471,21499,20989,22587,20869,20696,19522,16935,14533,22391,20316,19331,17333,17183,14572
p53 NTAD,1020,468,23544,23808,23272,22850,22891,22294,24013,22315,22134,20882,18080,15552,23926,21517,20634,18491,18359,15572
p53 NTAD,1020,469,25026,25315,24790,24321,24335,23785,25628,23767,23583,22270,19320,16573,25458,22944,21989,19688,19588,16606
p53 NTAD,1020,470,26243,26543,25994,25468,25537,24944,26869,24895,24820,23468,20335,17453,26694,24109,23160,20751,20574,17516
p53 NTAD,1020,471,26896,27232,26588,26095,26151,25525,27563,25639,25470,24104,20875,17969,27468,24702,23777,21363,21112,17945
p53 NTAD,1020,472,27442,27843,27198,26662,26695,26093,28296,26174,26120,24709,21405,18424,28067,25362,24422,21859,21731,18446
p53 NTAD,1020,473,28229,28572,27906,27382,27501,26830,29093,27011,26931,25441,22071,18958,28919,26124,25188,22486,22415,18988
p53 NTAD,1020,474,28159,28536,27908,27320,27451,26766,29184,27024,26914,25470,22078,19000,28916,26085,25166,22566,22338,19000
p53 NTAD,1020,475,28521,28788,28114,27599,27664,27008,29533,27422,27241,25882,22377,19257,29401,26411,25530,22872,22754,19301
p53 NTAD,1020,476,28017,28379,27788,27216,27345,26629,29119,26984,26932,25489,22101,19010,28987,26083,25118,22552,22383,18944
p53 NTAD,1020,477,27675,27878,27361,26827,26911,26265,28769,26708,26527,25172,21742,18770,28532,25663,24846,22283,22094,18752
p53 NTAD,1020,478,27064,27312,26735,26216,26294,25608,28224,26135,26002,24690,21412,18326,28001,25206,24395,21862,21613,18401
p53 NTAD,1020,479,26586,26871,26255,25734,25818,25186,27711,25623,25609,24298,20983,18072,27469,24759,23950,21441,21318,18074
p53 NTAD,1020,480,25791,26105,25506,25007,25074,24509,26995,25056,24945,23618,20500,17581,26777,24113,23254,20909,20690,17606
p53 NTAD,1020,481,25370,25574,25041,24515,24702,24065,26514,24661,24486,23204,20168,17325,26315,23588,22858,20502,20381,17377
p53 NTAD,1020,482,24580,24883,24295,23811,23911,23324,25781,23937,23755,22515,19539,16850,25561,22948,22168,19909,19781,16867
p53 NTAD,1020,483,23812,24030,23460,22985,23140,22642,24877,23108,23000,21786,18904,16291,24703,22170,21460,19337,19178,16397
p53 NTAD,1020,484,23522,23680,23182,22773,22915,22357,24654,22909,22778,21597,18728,16095,24420,21902,21217,19070,18863,16152
p53 NTAD,1020,485,22727,22928,22454,22099,22160,21698,23957,22229,21946,20880,18139,15608,23679,21378,20501,18530,18405,15647
p53 NTAD,1020,486,22458,22599,22171,21825,21853,21431,23566,21827,21653,20566,17822,15421,23267,20905,20254,18204,18140,15365
p53 NTAD,1020,487,22171,22398,21969,21459,21653,21142,23245,21531,21432,20354,17659,15199,23052,20665,20072,18010,17892,15269
p53 NTAD,1020,488,21814,21995,21633,21187,21301,20869,22839,21183,20984,19979,17351,14968,22675,20340,19689,17727,17662,15049
p53 NTAD,1020,489,21686,21919,21445,21055,21203,20668,22563,20926,20853,19856,17221,14896,22455,20172,19502,17538,17486,14904
p53 NTAD,1020,490,21820,21985,21523,21250,21300,20788,22749,21003,20893,19804,17286,14987,22535,20167,19598,17608,17513,15030
p53 NTAD,1020,491,21686,21902,21379,21049,21201,20652,22550,20768,20726,19709,17167,14872,22294,20069,19437,17531,17459,14877
p53 NTAD,1020,492,21836,22030,21525,21189,21290,20730,22575,20887,20779,19843,17324,14982,22491,20031,19534,17583,17537,15036
p53 NTAD,1020,493,22101,22335,21893,21483,21553,21049,22867,21162,21026,20027,17510,15206,22782,20269,19833,17849,17814,15281
