,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S1,1020,450,886,785,656,784,943,702,1023,902,879,817,790,747,865,871,859,838,748,672
PUMA S1,1020,451,1092,966,813,964,1107,866,1277,1121,1097,1003,973,924,1082,1078,1068,1041,918,830
PUMA S1,1020,452,1348,1193,1004,1188,1325,1070,1573,1369,1362,1243,1206,1140,1331,1325,1325,1290,1151,1022
PUMA S1,1020,453,1644,1465,1223,1457,1573,1320,1897,1689,1665,1521,1487,1385,1636,1621,1621,1585,1409,1252
PUMA S1,1020,454,2027,1805,1510,1774,1873,1612,2350,2070,2043,1877,1840,1712,1999,1987,1988,1942,1715,1525
PUMA S1,1020,455,2467,2192,1839,2185,2238,1965,2855,2513,2508,2298,2225,2076,2425,2427,2407,2364,2099,1862
PUMA S1,1020,456,2980,2651,2220,2614,2620,2362,3425,3040,3022,2758,2663,2530,2923,2915,2926,2873,2507,2236
PUMA S1,1020,457,3536,3171,2635,3115,3084,2813,4093,3637,3575,3295,3198,3015,3478,3489,3480,3378,3002,2676
PUMA S1,1020,458,4230,3755,3155,3721,3598,3370,4874,4337,4283,3936,3828,3611,4139,4167,4151,4058,3570,3176
PUMA S1,1020,459,4962,4436,3724,4384,4195,3968,5748,5070,5061,4636,4519,4247,4884,4911,4908,4800,4206,3756
PUMA S1,1020,460,5761,5173,4340,5089,4858,4601,6670,5959,5879,5413,5249,4967,5719,5687,5697,5536,4913,4359
PUMA S1,1020,461,6579,5945,4953,5813,5486,5222,7617,6780,6745,6193,6029,5698,6514,6515,6524,6342,5596,4950
PUMA S1,1020,462,7519,6755,5666,6689,6228,6009,8781,7765,7733,7064,6937,6516,7468,7492,7486,7290,6402,5703
PUMA S1,1020,463,8630,7757,6477,7653,7053,6860,10011,8959,8878,8117,7969,7483,8530,8577,8616,8375,7395,6540
PUMA S1,1020,464,9576,8605,7176,8463,7777,7600,11104,9948,9897,9087,8839,8304,9531,9548,9514,9304,8222,7282
PUMA S1,1020,465,10582,9486,7967,9367,8532,8399,12286,10940,10898,10035,9752,9204,10431,10518,10561,10302,9102,8062
PUMA S1,1020,466,11657,10490,8760,10352,9370,9219,13569,12139,12041,11112,10817,10191,11580,11655,11697,11442,10027,8954
PUMA S1,1020,467,12478,11241,9434,11059,10000,9922,14591,13043,13005,11876,11643,10956,12403,12511,12590,12269,10799,9572
PUMA S1,1020,468,13240,11999,10056,11743,10648,10587,15529,13918,13856,12726,12425,11719,13256,13401,13456,13056,11592,10218
PUMA S1,1020,469,14119,12706,10617,12509,11241,11218,16540,14797,14775,13562,13174,12490,14081,14236,14317,13968,12275,10883
PUMA S1,1020,470,14717,13297,11118,13092,11735,11717,17331,15523,15463,14249,13940,13084,14803,14913,14966,14650,12931,11472
PUMA S1,1020,471,15072,13574,11388,13396,11973,12013,17798,15972,15966,14693,14292,13435,15132,15364,15371,15019,13308,11750
PUMA S1,1020,472,15403,13930,11639,13658,12221,12299,18290,16350,16320,15033,14627,13769,15484,15734,15767,15420,13624,12063
PUMA S1,1020,473,15783,14239,11880,13940,12504,12571,18660,16815,16711,15393,15028,14196,15897,16106,16179,15856,13992,12396
PUMA S1,1020,474,15807,14273,11932,14032,12547,12609,18734,16890,16806,15444,15122,14261,15955,16166,16207,15933,14026,12433
PUMA S1,1020,475,15793,14290,11983,14036,12524,12649,18892,17009,16981,15551,15184,14327,16120,16286,16383,15997,14192,12523
PUMA S1,1020,476,15647,14151,11826,13890,12458,12526,18617,16827,16780,15436,15096,14226,15907,16185,16190,15863,13983,12382
PUMA S1,1020,477,15463,13965,11655,13727,12272,12394,18430,16616,16566,15269,14859,14060,15684,15938,16060,15686,13855,12277
PUMA S1,1020,478,15115,13609,11407,13398,12012,12102,18049,16296,16235,14919,14576,13699,15388,15641,15715,15415,13556,12031
PUMA S1,1020,479,14890,13464,11215,13230,11792,11915,17741,16029,16027,14729,14375,13559,15193,15417,15502,15178,13403,11883
PUMA S1,1020,480,14489,13093,10908,12847,11476,11570,17284,15626,15571,14339,14004,13184,14769,14953,15047,14718,13014,11564
PUMA S1,1020,481,14162,12790,10708,12554,11266,11339,16958,15284,15281,14067,13713,12886,14454,14689,14770,14426,12781,11316
PUMA S1,1020,482,13831,12489,10447,12249,10989,11048,16553,14896,14909,13689,13393,12628,14123,14350,14421,14072,12475,11012
PUMA S1,1020,483,13389,12081,10119,11842,10604,10706,16016,14406,14384,13267,12924,12176,13671,13852,13884,13566,12037,10648
PUMA S1,1020,484,13217,11946,10046,11752,10519,10597,15796,14243,14227,13093,12749,12062,13504,13706,13769,13438,11913,10574
PUMA S1,1020,485,12890,11655,9750,11484,10273,10331,15396,13882,13842,12751,12459,11742,13110,13318,13399,13106,11579,10290
