,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,450,725,682,754,462,758,672,714,715,877,525,703,683,704,728,638,665,638,654
PUMA S2,1020,451,889,844,931,564,931,823,879,884,1075,646,867,833,866,895,777,814,769,783
PUMA S2,1020,452,1095,1030,1132,695,1148,1019,1076,1095,1327,787,1073,1034,1053,1101,953,993,947,966
PUMA S2,1020,453,1343,1254,1390,840,1408,1240,1306,1339,1620,953,1300,1259,1298,1350,1153,1228,1154,1178
PUMA S2,1020,454,1624,1532,1691,1026,1717,1525,1596,1623,1965,1174,1594,1534,1570,1638,1419,1503,1401,1434
PUMA S2,1020,455,1965,1856,2033,1254,2102,1835,1948,1966,2393,1419,1946,1868,1902,1988,1711,1828,1699,1740
PUMA S2,1020,456,2357,2240,2462,1495,2515,2209,2336,2368,2893,1719,2337,2246,2283,2386,2074,2182,2055,2087
PUMA S2,1020,457,2811,2640,2918,1771,2986,2621,2774,2826,3405,2017,2778,2665,2712,2824,2424,2587,2428,2482
PUMA S2,1020,458,3319,3119,3457,2086,3536,3119,3297,3358,4064,2423,3307,3177,3179,3356,2894,3069,2873,2941
PUMA S2,1020,459,3909,3707,4056,2480,4141,3672,3851,3974,4796,2836,3882,3751,3790,3965,3412,3621,3417,3450
PUMA S2,1020,460,4547,4275,4719,2848,4835,4261,4503,4610,5568,3301,4528,4365,4375,4594,3967,4198,3931,4045
PUMA S2,1020,461,5167,4889,5398,3257,5519,4858,5129,5240,6385,3779,5174,4983,4987,5272,4517,4806,4486,4629
PUMA S2,1020,462,5931,5539,6169,3725,6312,5544,5860,5999,7294,4321,5919,5708,5695,5982,5195,5504,5152,5275
PUMA S2,1020,463,6753,6365,7037,4293,7248,6344,6725,6870,8386,4957,6799,6541,6488,6883,5953,6310,5924,6040
PUMA S2,1020,464,7495,7060,7817,4758,8004,7042,7479,7649,9318,5526,7566,7263,7237,7665,6627,7009,6564,6728
PUMA S2,1020,465,8257,7812,8639,5225,8834,7776,8263,8446,10258,6108,8383,8052,7985,8400,7351,7746,7268,7427
PUMA S2,1020,466,9113,8605,9519,5747,9724,8536,9057,9338,11349,6779,9229,8890,8788,9289,8070,8555,8021,8205
PUMA S2,1020,467,9758,9200,10183,6171,10449,9173,9717,10052,12224,7270,9936,9562,9466,10006,8652,9183,8618,8812
PUMA S2,1020,468,10400,9825,10892,6572,11158,9780,10366,10700,13071,7797,10626,10226,10091,10683,9208,9811,9222,9437
PUMA S2,1020,469,11019,10449,11580,7025,11837,10416,11089,11406,13962,8295,11348,10905,10731,11392,9857,10493,9849,10085
PUMA S2,1020,470,11523,10922,12058,7339,12410,10900,11587,11938,14617,8710,11868,11453,11240,11942,10317,10988,10296,10548
PUMA S2,1020,471,11808,11196,12375,7496,12730,11138,11929,12238,15008,8905,12234,11736,11544,12190,10632,11249,10583,10847
PUMA S2,1020,472,12129,11463,12638,7726,13023,11430,12169,12589,15449,9177,12555,12086,11826,12563,10877,11615,10853,11154
PUMA S2,1020,473,12373,11753,13017,7899,13307,11749,12542,12924,15818,9470,12889,12365,12126,12861,11163,11883,11174,11421
PUMA S2,1020,474,12508,11806,13021,7960,13352,11761,12595,13011,15911,9517,12955,12465,12138,12920,11241,11939,11250,11501
PUMA S2,1020,475,12588,11876,13135,8002,13415,11817,12703,13168,16088,9587,13097,12638,12335,13114,11358,12098,11342,11674
PUMA S2,1020,476,12396,11771,12961,7915,13325,11710,12590,13001,15890,9492,12976,12480,12175,12954,11235,11968,11185,11521
PUMA S2,1020,477,12319,11605,12803,7827,13143,11586,12442,12897,15730,9398,12818,12345,12080,12841,11127,11852,11154,11418
PUMA S2,1020,478,12025,11383,12564,7663,12876,11305,12187,12587,15454,9220,12567,12099,11829,12588,10929,11583,10930,11186
PUMA S2,1020,479,11890,11244,12361,7547,12719,11132,12031,12479,15242,9079,12378,11999,11679,12414,10797,11441,10767,11048
PUMA S2,1020,480,11579,10923,12076,7371,12337,10875,11705,12160,14827,8863,12043,11664,11405,12114,10512,11170,10520,10739
PUMA S2,1020,481,11371,10743,11851,7227,12139,10699,11554,11940,14576,8686,11862,11460,11187,11865,10297,10955,10322,10570
PUMA S2,1020,482,11084,10475,11572,7067,11909,10404,11239,11654,14194,8492,11579,11162,10879,11595,10102,10705,10074,10333
PUMA S2,1020,483,10736,10159,11186,6873,11429,10081,10877,11191,13742,8199,11156,10815,10568,11241,9749,10339,9743,9965
PUMA S2,1020,484,10659,10077,11087,6785,11362,9955,10724,11091,13587,8119,11045,10695,10479,11136,9659,10237,9630,9888
PUMA S2,1020,485,10406,9833,10852,6656,11089,9775,10520,10828,13204,7952,10808,10417,10175,10853,9401,9957,9416,9637
PUMA S2,1020,486,10237,9679,10659,6541,10924,9616,10336,10658,13010,7811,10602,10276,10034,10627,9259,9846,9254,9484
