Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.13915314E-02,3.29314806E-02,1.05886775E-05,3.74768606E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0001.tif
1,1.13775014E-02,3.28812487E-02,-3.44127753E-06,-1.27558042E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0002.tif
2,1.13960320E-02,3.29391807E-02,1.50892803E-05,4.51797277E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0003.tif
3,1.13856527E-02,3.29031795E-02,4.70996127E-06,9.17634952E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0004.tif
4,1.14009034E-02,3.29550430E-02,1.99607025E-05,6.10419011E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0005.tif
5,1.13846008E-02,3.29027176E-02,3.65815546E-06,8.71460543E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0006.tif
6,1.13948566E-02,3.29396613E-02,1.39139603E-05,4.56574780E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0007.tif
7,1.14022654E-02,3.29523608E-02,2.13226653E-05,5.83598012E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0008.tif
8,1.13874647E-02,3.29131484E-02,6.52203106E-06,1.91464351E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0009.tif
9,1.13871126E-02,3.29108499E-02,6.16989366E-06,1.68490133E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0010.tif
10,1.13893804E-02,3.29168476E-02,8.43767900E-06,2.28432000E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0011.tif
11,1.14095531E-02,3.29770781E-02,2.86104179E-05,8.30764548E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0012.tif
12,1.13954339E-02,3.29321139E-02,1.44911693E-05,3.81125428E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0013.tif
13,1.13956982E-02,3.29397023E-02,1.47554546E-05,4.57017777E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0014.tif
14,1.13837343E-02,3.29062380E-02,2.79165930E-06,1.22364227E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0015.tif
15,1.13898232E-02,3.29170898E-02,8.88054228E-06,2.30878431E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0016.tif
16,1.13870547E-02,3.29139829E-02,6.11202422E-06,1.99778278E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0017.tif
17,1.13685739E-02,3.28555778E-02,-1.23687726E-05,-3.84239756E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0018.tif
