Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
0,1.13238414E-02,3.27310674E-02,-1.96315047E-05,-5.51652483E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0001.tif
1,1.13127019E-02,3.26936394E-02,-3.07709805E-05,-9.25914937E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0002.tif
2,1.13161683E-02,3.27036157E-02,-2.73046392E-05,-8.26164978E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0003.tif
3,1.13179337E-02,3.27142477E-02,-2.55392237E-05,-7.19862001E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0004.tif
4,1.13171854E-02,3.27072889E-02,-2.62875557E-05,-7.89404512E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0005.tif
5,1.13146019E-02,3.26988474E-02,-2.88710612E-05,-8.73827375E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0006.tif
6,1.13086740E-02,3.26853842E-02,-3.47988906E-05,-1.00846744E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0007.tif
7,1.13139735E-02,3.26994099E-02,-2.94994409E-05,-8.68256539E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0008.tif
8,1.13152295E-02,3.27050388E-02,-2.82434152E-05,-8.11946593E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0009.tif
9,1.13103082E-02,3.26886587E-02,-3.31647006E-05,-9.75726289E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0010.tif
10,1.13158750E-02,3.27046998E-02,-2.75979094E-05,-8.15293097E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0011.tif
11,1.13204839E-02,3.27217653E-02,-2.29889859E-05,-6.44665779E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0012.tif
12,1.13136109E-02,3.27015035E-02,-2.98620005E-05,-8.47308620E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0013.tif
13,1.13164056E-02,3.27048413E-02,-2.70672977E-05,-8.13917213E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0014.tif
14,1.13129428E-02,3.26930322E-02,-3.05301559E-05,-9.31999675E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0015.tif
15,1.13045295E-02,3.26687284E-02,-3.89433944E-05,-1.17504365E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0016.tif
16,1.13151610E-02,3.27019319E-02,-2.83118651E-05,-8.43040470E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0017.tif
17,1.13100048E-02,3.26846093E-02,-3.34681114E-05,-1.01623169E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0018.tif
18,1.13088460E-02,3.26819122E-02,-3.46268941E-05,-1.04323364E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0019.tif
19,1.13110807E-02,3.26902904E-02,-3.23921823E-05,-9.59434037E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS09_028_0020.tif
