,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,D07,D08,D09,D10,D11,D12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,450,1870,1866,1901,1887,1929,1952,2082,2001,1895,1842,1761,1666,2089,2028,1960,1844,1806,1670
GS16,1020,451,2275,2292,2329,2311,2408,2380,2543,2452,2329,2249,2158,2051,2562,2484,2397,2254,2193,2041
GS16,1020,452,2812,2784,2871,2844,2948,2923,3136,3001,2877,2795,2665,2514,3143,3049,2940,2802,2714,2516
GS16,1020,453,3533,3460,3580,3548,3695,3659,3940,3781,3595,3503,3313,3159,3954,3858,3708,3523,3404,3152
GS16,1020,454,4305,4274,4384,4319,4506,4467,4819,4606,4404,4300,4059,3852,4817,4667,4533,4260,4139,3817
GS16,1020,455,5172,5163,5295,5229,5443,5374,5832,5588,5317,5170,4907,4629,5797,5634,5452,5128,4963,4597
GS16,1020,456,6216,6193,6336,6277,6516,6416,6997,6722,6430,6207,5937,5528,6946,6806,6503,6178,5978,5502
GS16,1020,457,7442,7407,7578,7502,7782,7668,8377,8055,7723,7444,7115,6682,8285,8096,7809,7364,7145,6582
GS16,1020,458,8954,8883,9081,8971,9337,9164,10067,9705,9248,8962,8528,8032,9938,9719,9397,8834,8546,7871
GS16,1020,459,10439,10374,10565,10502,10818,10658,11767,11349,10795,10523,10000,9354,11589,11362,10999,10347,10026,9213
GS16,1020,460,12073,11981,12250,12142,12506,12310,13626,13185,12560,12250,11619,10873,13504,13181,12698,12021,11604,10670
GS16,1020,461,13850,13783,14087,13971,14392,14100,15710,15118,14502,14063,13407,12528,15428,15096,14655,13831,13398,12292
GS16,1020,462,15998,15938,16214,16008,16630,16352,18157,17607,16876,16341,15514,14496,17843,17485,16986,15947,15494,14234
GS16,1020,463,17977,17884,18250,18091,18680,18421,20471,19823,19017,18476,17526,16427,20093,19661,19118,17983,17426,16030
GS16,1020,464,20023,19856,20256,20115,20774,20425,22850,22132,21181,20630,19600,18297,22306,21934,21350,20080,19458,17845
GS16,1020,465,22271,22174,22504,22312,23025,22736,25496,24773,23740,23040,21921,20489,24989,24550,23866,22515,21810,20015
GS16,1020,466,24111,23998,24474,24137,25020,24639,27704,26926,25847,25174,23937,22323,27189,26680,25912,24500,23686,21671
GS16,1020,467,25936,25699,26219,25953,26844,26369,29689,28946,27796,27072,25690,24005,29057,28708,27820,26350,25444,23381
GS16,1020,468,27637,27416,27970,27661,28599,28120,31792,30977,29770,29054,27571,25732,31086,30681,29817,28236,27247,25050
GS16,1020,469,29323,29114,29667,29338,30377,29830,33800,33021,31695,30999,29450,27495,33129,32699,31690,29968,29054,26647
GS16,1020,470,30555,30313,30984,30620,31672,31110,35343,34631,33289,32417,30864,28707,34628,34163,33197,31430,30419,27895
GS16,1020,471,31297,31144,31599,31373,32357,31843,36267,35371,34030,33105,31649,29546,35425,34995,34073,32136,31199,28640
GS16,1020,472,32043,31833,32597,32080,33351,32681,37317,36524,35186,34241,32666,30415,36569,36171,35065,33195,32227,29546
GS16,1020,473,32520,32389,32963,32612,33816,33117,38005,37202,35793,34874,33270,31010,37250,36792,35826,33794,32778,29983
GS16,1020,474,32570,32363,33134,32695,33830,33325,38132,37310,36020,35073,33459,31146,37380,36940,35951,34013,32914,30164
GS16,1020,475,32893,32666,33350,32938,34099,33502,38542,37758,36371,35387,33738,31500,37770,37399,36367,34352,33346,30634
GS16,1020,476,32416,32133,32840,32423,33648,32969,38004,37304,35786,34872,33375,31213,37371,36871,35899,33894,32865,30262
GS16,1020,477,32055,31824,32509,32194,33232,32760,37691,36876,35585,34639,33038,30926,36950,36599,35708,33724,32727,29966
GS16,1020,478,31273,31050,31715,31360,32475,31966,36832,36088,34792,33933,32363,30234,36203,35887,34839,32951,31973,29393
GS16,1020,479,30685,30601,31110,30820,31877,31273,36128,35543,34213,33328,31755,29755,35547,35270,34367,32410,31497,28917
GS16,1020,480,29848,29799,30370,30021,31045,30576,35287,34608,33363,32479,31044,29097,34647,34416,33468,31646,30732,28229
GS16,1020,481,29245,29072,29790,29357,30344,29957,34567,33841,32620,31784,30429,28464,33870,33534,32822,31009,30033,27615
GS16,1020,482,28425,28305,28930,28631,29579,29138,33437,32916,31703,30975,29586,27622,32950,32685,31945,30139,29214,26888
GS16,1020,483,27574,27463,28024,27609,28643,28120,32308,31764,30566,29860,28565,26748,31807,31555,30820,29141,28329,26015
GS16,1020,484,27154,26963,27595,27231,28221,27738,31780,31275,30109,29470,28039,26325,31210,31106,30333,28651,27827,25633
GS16,1020,485,26441,26275,26877,26561,27494,27063,30929,30450,29332,28642,27358,25661,30437,30245,29498,27939,27112,25000
GS16,1020,486,26176,26137,26587,26338,27330,26938,30632,29999,29042,28391,27112,25406,30141,29931,29211,27600,26843,24729
GS16,1020,487,25842,25690,26250,25959,26885,26517,30109,29522,28468,27834,26562,24968,29631,29360,28586,27155,26413,24309
GS16,1020,488,25535,25354,25849,25572,26532,26132,29606,29106,27988,27345,26152,24561,29105,28903,28183,26658,25891,23917
GS16,1020,489,25542,25352,25906,25596,26548,26149,29401,28878,27894,27274,26122,24595,28998,28747,28060,26632,25936,23889
GS16,1020,490,25544,25368,25904,25654,26613,26165,29402,28851,27828,27241,26009,24505,28889,28679,27920,26484,25878,23816
GS16,1020,491,25428,25393,25901,25629,26488,26132,29128,28538,27506,26967,25868,24350,28664,28378,27747,26261,25676,23696
GS16,1020,492,25914,25721,26242,26022,26933,26569,29418,28819,27772,27248,26148,24759,29053,28788,28162,26701,26045,24122
GS16,1020,493,26148,26014,26621,26274,27205,26888,29543,28969,27977,27446,26311,24861,29149,28812,28108,26818,26154,24266
GS16,1020,494,26818,26618,27181,26904,27837,27495,29990,29428,28415,27879,26810,25387,29587,29315,28703,27220,26685,24859
GS16,1020,495,27502,27467,27990,27742,28735,28260,30696,29948,28953,28465,27386,26080,30213,29833,29178,27833,27296,25449
GS16,1020,496,28268,28055,28648,28406,29407,29056,31079,30412,29370,28931,27984,26619,30595,30276,29613,28226,27788,25958
