,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24
GS48,1020,450,2176,2206,1973,2088,2001,2035,2087,1975,1990,1709,1701,1630,2044,2158,2197,2103,2308,2224,2142,2279,2368,2444,2221,2573,2676,2646,2659,2648,2628,2673,2466,2400,2205,2394,1477,1793,2532,2309,1865,1837,1051,549,2516,2364,2068,1355,582,447,2126,2170,2254,2216,2300,2433,2377,2283,2255,2391,2514,2620,2107,1890,1943,1847,1661,1729,2223,2139,2062,2169,2233,2277,2150,2362,2268,2300,2303,2114,2341,2180,2123,1895,1844,1248,2357,2162,1879,1871,824,464,1989,2114,1805,1290,587,440
GS48,1020,451,2677,2707,2446,2547,2432,2496,2582,2402,2413,2059,2050,1946,2491,2632,2729,2594,2840,2736,2609,2799,2908,2988,2732,3163,3268,3230,3251,3256,3230,3278,3007,2930,2695,2917,1808,2205,3085,2818,2285,2254,1284,665,3091,2874,2513,1653,704,527,2620,2656,2738,2712,2805,2968,2914,2806,2734,2891,3054,3170,2579,2302,2333,2215,1996,2059,2751,2636,2521,2650,2727,2779,2642,2874,2783,2806,2814,2572,2870,2669,2586,2338,2263,1514,2872,2653,2298,2287,1019,559,2459,2581,2205,1591,720,530
GS48,1020,452,3283,3335,2991,3146,3019,3079,3124,2937,2931,2486,2486,2336,3064,3248,3331,3173,3460,3347,3216,3431,3577,3691,3345,3898,3994,3983,3981,4003,3969,4009,3670,3578,3313,3563,2219,2672,3755,3448,2794,2745,1553,797,3751,3524,3067,2012,856,640,3219,3250,3400,3325,3450,3626,3594,3434,3352,3513,3688,3858,3147,2811,2836,2682,2403,2447,3364,3243,3098,3246,3353,3423,3238,3550,3382,3430,3437,3169,3496,3297,3162,2834,2763,1861,3483,3235,2786,2777,1229,682,2967,3154,2674,1931,858,632
GS48,1020,453,4111,4171,3753,3926,3789,3856,3902,3655,3638,3057,3045,2862,3832,4051,4134,3976,4302,4176,3973,4293,4464,4609,4172,4858,4998,4955,5005,4994,4952,5005,4585,4463,4090,4436,2717,3329,4719,4338,3484,3413,1933,983,4712,4380,3836,2502,1056,799,4009,4098,4238,4155,4284,4525,4497,4281,4181,4390,4596,4751,3929,3489,3500,3315,2948,2998,4220,4056,3894,4047,4166,4250,4031,4433,4249,4325,4273,3960,4367,4081,3957,3534,3420,2310,4354,4034,3452,3452,1521,833,3725,3945,3314,2401,1060,778
GS48,1020,454,5037,5145,4609,4853,4640,4720,4752,4419,4411,3703,3678,3431,4680,4975,5091,4816,5275,5084,4820,5196,5384,5587,5099,5925,6037,6027,6080,6078,6014,6106,5563,5436,4987,5402,3331,4038,5753,5217,4202,4160,2356,1188,5679,5320,4655,3042,1263,960,4915,5025,5188,5082,5232,5549,5454,5232,5103,5357,5596,5791,4756,4255,4215,3984,3538,3586,5119,4923,4716,4899,5078,5176,4929,5380,5180,5207,5209,4791,5328,4990,4800,4280,4190,2769,5292,4902,4220,4208,1855,997,4503,4769,4026,2881,1278,929
GS48,1020,455,6070,6195,5552,5861,5575,5686,5706,5272,5261,4417,4380,4084,5635,5967,6098,5809,6344,6119,5788,6240,6511,6724,6101,7108,7259,7253,7300,7324,7203,7316,6670,6530,5976,6469,3993,4866,6867,6274,5059,4983,2789,1412,6792,6364,5582,3627,1505,1137,5941,6021,6253,6109,6309,6652,6576,6294,6130,6421,6732,6888,5728,5075,5035,4728,4226,4219,6181,5908,5655,5900,6116,6216,5929,6483,6231,6223,6230,5721,6394,5982,5764,5134,5021,3348,6335,5846,5033,5013,2194,1189,5383,5736,4826,3453,1515,1097
GS48,1020,456,7301,7479,6703,7029,6734,6854,6841,6339,6287,5256,5223,4855,6715,7174,7391,7007,7583,7365,6933,7442,7776,8078,7344,8523,8657,8694,8754,8721,8675,8784,8009,7838,7171,7744,4795,5800,8207,7519,6043,5960,3327,1665,8111,7608,6651,4335,1805,1347,7167,7257,7497,7345,7561,8000,7899,7513,7304,7719,8082,8288,6872,6073,6015,5640,5003,5009,7429,7121,6792,7070,7270,7438,7088,7760,7425,7467,7460,6856,7641,7141,6887,6143,5981,3992,7583,6992,6027,6012,2626,1414,6491,6831,5801,4135,1805,1302
GS48,1020,457,8694,8915,8014,8419,8006,8181,8114,7572,7458,6248,6219,5766,8013,8575,8767,8302,9026,8752,8231,8869,9293,9630,8760,10144,10315,10336,10442,10444,10305,10454,9496,9266,8541,9210,5698,6923,9757,8947,7177,7054,3943,1980,9644,9051,7903,5159,2123,1596,8534,8630,8951,8764,9036,9546,9430,8990,8766,9163,9600,9826,8122,7243,7185,6665,5926,5906,8830,8458,8127,8428,8702,8755,8409,9204,8838,8920,8897,8151,9038,8499,8204,7342,7148,4749,9030,8325,7197,7154,3121,1665,7703,8115,6865,4893,2141,1533
