,,Well,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mTQ2ctrl (TQfree),1020,450,1946,1905,1799,1788,1996,1729,1689,1841,1786,1719,1654,1759,1570,1761,1579,1594,1471,1491
mTQ2ctrl (TQfree),1020,451,2361,2323,2199,2175,2425,2096,2082,2254,2192,2096,2018,2157,1925,2151,1921,1975,1811,1824
mTQ2ctrl (TQfree),1020,452,2892,2851,2718,2685,2985,2555,2540,2756,2700,2557,2457,2649,2346,2631,2372,2401,2226,2257
mTQ2ctrl (TQfree),1020,453,3625,3563,3404,3370,3760,3213,3195,3468,3369,3219,3105,3336,2926,3314,2956,3011,2775,2820
mTQ2ctrl (TQfree),1020,454,4397,4372,4132,4102,4555,3925,3877,4229,4093,3949,3784,4025,3561,4016,3616,3701,3401,3420
mTQ2ctrl (TQfree),1020,455,5305,5258,4979,4945,5481,4726,4670,5084,4945,4758,4561,4868,4286,4854,4351,4422,4068,4103
mTQ2ctrl (TQfree),1020,456,6413,6352,5998,5966,6595,5691,5620,6122,5962,5687,5496,5884,5151,5860,5205,5327,4876,4937
mTQ2ctrl (TQfree),1020,457,7639,7541,7201,7120,7890,6786,6675,7331,7112,6821,6568,7046,6142,6983,6263,6357,5853,5928
mTQ2ctrl (TQfree),1020,458,9150,9081,8611,8529,9417,8138,8061,8809,8597,8178,7823,8452,7418,8382,7518,7640,7017,7095
mTQ2ctrl (TQfree),1020,459,10670,10580,10036,9982,11030,9512,9409,10310,10045,9617,9249,9914,8651,9836,8767,8981,8246,8319
mTQ2ctrl (TQfree),1020,460,12362,12293,11612,11610,12784,11017,10943,11990,11669,11143,10753,11482,10033,11426,10193,10388,9581,9648
mTQ2ctrl (TQfree),1020,461,14174,14074,13273,13299,14605,12614,12469,13792,13374,12799,12373,13213,11529,13127,11679,11938,10984,11141
mTQ2ctrl (TQfree),1020,462,16471,16282,15416,15476,17047,14624,14556,15978,15629,14899,14322,15391,13293,15202,13565,13863,12739,12898
mTQ2ctrl (TQfree),1020,463,18464,18361,17351,17432,19126,16518,16377,18111,17603,16863,16177,17409,15041,17157,15308,15670,14455,14553
mTQ2ctrl (TQfree),1020,464,20512,20406,19297,19416,21233,18271,18233,20128,19654,18799,18139,19431,16693,19122,17064,17492,16126,16224
mTQ2ctrl (TQfree),1020,465,22874,22790,21448,21697,23708,20445,20358,22569,21978,21089,20314,21763,18691,21415,19215,19620,18070,18225
mTQ2ctrl (TQfree),1020,466,24818,24745,23391,23632,25783,22192,22172,24532,23936,23039,22139,23753,20237,23344,20880,21351,19651,19870
mTQ2ctrl (TQfree),1020,467,26688,26540,25095,25327,27590,23793,23841,26454,25903,24788,23870,25607,21829,25119,22500,22957,21145,21337
mTQ2ctrl (TQfree),1020,468,28443,28405,26759,27153,29520,25368,25523,28276,27633,26503,25563,27358,23268,26938,24062,24662,22679,22904
mTQ2ctrl (TQfree),1020,469,30226,30147,28375,28921,31313,26961,27114,30151,29561,28359,27329,29253,24828,28717,25668,26249,24297,24396
mTQ2ctrl (TQfree),1020,470,31496,31528,29695,30314,32693,28249,28413,31598,31034,29766,28663,30630,26068,30134,27038,27637,25433,25613
mTQ2ctrl (TQfree),1020,471,32346,32249,30341,30972,33494,28827,29201,32421,31825,30550,29393,31428,26692,30936,27664,28331,26089,26423
mTQ2ctrl (TQfree),1020,472,33282,33337,31373,32015,34582,29795,30169,33502,32969,31617,30369,32659,27599,32012,28551,29281,26900,27203
mTQ2ctrl (TQfree),1020,473,33808,33758,31714,32428,34952,30115,30608,34102,33597,32200,31050,33218,28132,32631,29187,29814,27469,27772
mTQ2ctrl (TQfree),1020,474,33996,33897,31786,32604,35107,30207,30751,34312,33787,32434,31229,33466,28294,32753,29422,30022,27686,27956
mTQ2ctrl (TQfree),1020,475,34196,34202,32127,32997,35390,30495,31168,34787,34012,32782,31608,33801,28572,33191,29648,30387,27949,28350
mTQ2ctrl (TQfree),1020,476,33729,33688,31678,32440,34752,30003,30743,34387,33695,32337,31275,33522,28123,32815,29357,30006,27783,27962
mTQ2ctrl (TQfree),1020,477,33495,33423,31361,32217,34470,29844,30567,34131,33454,32173,31024,33225,27990,32534,29064,29811,27505,27782
mTQ2ctrl (TQfree),1020,478,32718,32748,30618,31489,33799,29093,29912,33477,32740,31528,30421,32672,27440,32012,28587,29285,26923,27335
mTQ2ctrl (TQfree),1020,479,32147,32136,30110,30976,33242,28555,29548,32890,32266,31026,29957,32172,26985,31498,28119,28774,26584,26888
mTQ2ctrl (TQfree),1020,480,31144,31303,29343,30176,32285,27890,28749,32025,31440,30203,29283,31343,26312,30701,27363,28054,25932,26185
mTQ2ctrl (TQfree),1020,481,30714,30672,28699,29595,31686,27331,28152,31419,30771,29704,28663,30717,25743,30074,26814,27579,25341,25595
mTQ2ctrl (TQfree),1020,482,29846,29856,27951,28785,30819,26523,27437,30569,30023,28866,27901,29934,25043,29299,26163,26840,24650,24980
mTQ2ctrl (TQfree),1020,483,28821,28883,26980,27741,29744,25694,26462,29518,28995,27989,26918,28858,24251,28229,25285,25878,23848,24176
mTQ2ctrl (TQfree),1020,484,28441,28371,26717,27395,29381,25344,26046,28994,28547,27473,26510,28464,23914,27828,24825,25492,23546,23809
mTQ2ctrl (TQfree),1020,485,27708,27669,25923,26619,28540,24616,25460,28309,27850,26740,25791,27641,23267,27086,24215,24820,22922,23141
mTQ2ctrl (TQfree),1020,486,27344,27380,25748,26385,28291,24422,25134,28026,27520,26432,25462,27347,22960,26794,23918,24551,22602,22882
mTQ2ctrl (TQfree),1020,487,26801,26884,25254,25901,27767,24031,24683,27439,26950,25916,25050,26814,22553,26206,23461,24068,22167,22389
mTQ2ctrl (TQfree),1020,488,26474,26357,24847,25384,27292,23591,24138,26874,26461,25408,24577,26289,22066,25761,23002,23551,21699,21980
mTQ2ctrl (TQfree),1020,489,26226,26267,24684,25269,27214,23482,23946,26703,26178,25249,24323,26110,21968,25502,22820,23410,21620,21815
