,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
Ash1,1020,450,1133,1159,1304,979,1112,1046,1362,1324,1424,1226,1251,1068,1309,1159,1278,1104,1040,964
Ash1,1020,451,1384,1396,1584,1184,1348,1285,1656,1617,1759,1501,1536,1317,1631,1417,1577,1340,1259,1181
Ash1,1020,452,1685,1715,1968,1463,1641,1577,2028,1980,2154,1834,1886,1607,1985,1738,1904,1641,1537,1416
Ash1,1020,453,2124,2139,2439,1832,2058,1942,2523,2486,2683,2302,2346,2002,2471,2186,2397,2034,1915,1793
Ash1,1020,454,2578,2603,3001,2238,2529,2377,3078,3028,3271,2805,2872,2424,2978,2638,2914,2485,2331,2177
Ash1,1020,455,3093,3134,3588,2672,3045,2861,3729,3626,3923,3384,3438,2942,3576,3185,3528,2995,2810,2622
Ash1,1020,456,3694,3784,4312,3207,3668,3437,4451,4378,4730,4059,4122,3499,4302,3815,4227,3585,3361,3124
Ash1,1020,457,4440,4557,5193,3871,4401,4131,5323,5216,5675,4871,4965,4192,5132,4556,5071,4305,4036,3739
Ash1,1020,458,5266,5383,6176,4584,5233,4916,6372,6259,6788,5805,5929,5004,6075,5433,6007,5121,4776,4454
Ash1,1020,459,6132,6279,7246,5403,6136,5753,7433,7332,7971,6849,6977,5859,7122,6357,7007,5974,5605,5209
Ash1,1020,460,7076,7254,8347,6212,7119,6642,8620,8490,9257,7885,8070,6776,8250,7335,8101,6912,6499,6024
Ash1,1020,461,8122,8308,9630,7151,8118,7593,9844,9744,10608,9051,9286,7758,9403,8404,9309,7927,7426,6888
Ash1,1020,462,9370,9583,11136,8268,9408,8761,11391,11284,12275,10526,10730,8984,10830,9748,10752,9146,8578,7975
Ash1,1020,463,10521,10844,12466,9286,10523,9873,12824,12685,13867,11815,12081,10126,12174,10923,12111,10325,9680,8977
Ash1,1020,464,11681,11974,13876,10303,11746,11001,14276,14174,15376,13189,13466,11247,13548,12185,13465,11447,10759,9976
Ash1,1020,465,12895,13300,15320,11409,13004,12118,15766,15643,17086,14606,14925,12495,14991,13478,14910,12762,11892,11026
Ash1,1020,466,14029,14481,16758,12394,14182,13210,17243,17179,18695,16003,16271,13654,16356,14681,16322,13886,13037,12061
Ash1,1020,467,15006,15508,17881,13275,15173,14148,18428,18365,19987,17113,17457,14589,17435,15754,17463,14890,13942,12863
Ash1,1020,468,15963,16443,18953,14078,16142,15048,19615,19649,21389,18278,18594,15567,18569,16762,18656,15876,14854,13730
Ash1,1020,469,16960,17474,20224,15079,17166,15982,20928,20850,22819,19548,19905,16624,19825,17824,19844,16935,15888,14633
Ash1,1020,470,17641,18157,20998,15581,17740,16607,21717,21678,23684,20258,20653,17235,20519,18576,20638,17617,16467,15265
Ash1,1020,471,18080,18629,21476,15991,18210,17030,22359,22362,24418,20910,21241,17794,21141,19081,21261,18157,16922,15700
Ash1,1020,472,18553,19083,22090,16392,18662,17483,22913,22979,25136,21532,21857,18271,21737,19598,21830,18658,17491,16118
Ash1,1020,473,18788,19387,22422,16687,19007,17688,23279,23373,25512,21837,22230,18602,21991,19995,22174,18967,17788,16415
Ash1,1020,474,18816,19391,22396,16628,18977,17731,23277,23404,25613,21900,22379,18726,22074,20013,22266,19041,17836,16531
Ash1,1020,475,18852,19452,22436,16661,19007,17709,23368,23498,25668,21989,22371,18801,22252,20067,22385,19068,17865,16589
Ash1,1020,476,18657,19195,22179,16527,18823,17541,23164,23316,25434,21810,22319,18669,22056,19950,22192,18910,17755,16454
Ash1,1020,477,18382,18976,21852,16255,18526,17316,22843,22945,25102,21560,22024,18415,21722,19658,21958,18769,17507,16225
Ash1,1020,478,17976,18524,21373,15843,18115,16973,22294,22459,24533,21133,21558,18052,21256,19266,21490,18346,17225,15942
Ash1,1020,479,17662,18204,20980,15608,17782,16621,21905,22112,24153,20723,21175,17748,20924,18949,21120,18020,16956,15717
Ash1,1020,480,17106,17665,20349,15152,17226,16028,21308,21466,23445,20134,20553,17223,20396,18404,20471,17482,16426,15208
Ash1,1020,481,16879,17394,20026,14893,16968,15852,20939,21118,23067,19780,20222,17023,20080,18117,20143,17292,16154,15023
Ash1,1020,482,16335,16821,19386,14403,16393,15406,20323,20424,22354,19209,19587,16483,19506,17588,19554,16751,15708,14639
Ash1,1020,483,15881,16332,18736,14001,15947,14909,19645,19834,21666,18591,18969,15980,18857,17015,18976,16211,15223,14143
Ash1,1020,484,15695,16177,18569,13878,15783,14767,19398,19579,21405,18357,18777,15822,18724,16856,18726,16025,15040,13997
Ash1,1020,485,15222,15687,17988,13462,15311,14363,18847,18970,20762,17723,18199,15294,18095,16353,18145,15583,14592,13556
Ash1,1020,486,15146,15595,17938,13290,15229,14277,18757,18843,20544,17675,18085,15182,18011,16168,18060,15498,14527,13519
Ash1,1020,487,14906,15366,17614,13135,14992,14030,18407,18434,20173,17344,17750,14915,17642,15933,17764,15200,14264,13277
Ash1,1020,488,14788,15160,17453,13035,14836,13927,18130,18229,19927,17080,17485,14762,17371,15761,17515,14995,14100,13123
Ash1,1020,489,14829,15185,17462,13050,14814,13931,18116,18200,19849,17110,17464,14741,17444,15681,17457,14955,14060,13100
Ash1,1020,490,14798,15249,17486,12986,14837,13919,17974,18093,19765,16927,17345,14700,17334,15643,17371,14928,14045,13119
Ash1,1020,491,14822,15179,17412,13075,14855,13956,17945,18002,19659,16882,17296,14617,17247,15581,17289,14847,14007,13001
Ash1,1020,492,15058,15505,17747,13304,15122,14171,18127,18260,19818,17141,17522,14900,17443,15806,17557,15073,14239,13232
Ash1,1020,493,15279,15755,18005,13509,15359,14348,18277,18348,20035,17267,17735,15037,17674,15870,17755,15237,14364,13441
Ash1,1020,494,15751,16110,18432,13835,15732,14756,18618,18631,20354,17549,17965,15359,17826,16151,18005,15495,14666,13787
Ash1,1020,495,16161,16613,18992,14209,16171,15128,18888,18939,20668,17883,18394,15748,18198,16498,18383,15860,15050,14157
