,date,well,prot,osm,A_after,A_before,D_after,D_before,area,directA_after,directA_before,A_corr_before,A_corr_after,D/A_before,D/A_after,d_directA
0,5/27/2021,A3,WT,100,29762.908,31476.121,5152.695,5285.66,238.29,11526.985,12029.348,26389.14508,24841.8525,0.20029675,0.207419918,-502.363
1,5/27/2021,A3,WT,100,14374.651,14996.313,2926.174,3002.198,145.34,5418.349,5652.442,12331.18408,11794.29247,0.243463886,0.248100851,-234.093
2,5/27/2021,A3,WT,100,20875.836,24498.219,3593.761,3942.677,424.19,8077.231,9433.438,20616.24697,17436.46878,0.191241258,0.206106009,-1356.207
3,5/27/2021,A3,WT,100,15922.507,16518.707,3065.96,3179.973,126.75,6422.96,6584.24,13582.31571,13077.1858,0.234125982,0.234451054,-161.28
4,5/27/2021,A3,WT,100,28759.65,29678.037,4736.53,5232.048,140.27,10225.47,10643.217,24882.84033,24306.4498,0.210267314,0.194867208,-417.747
5,5/27/2021,A3,WT,100,23334.877,25177.715,3990.562,4194.492,219.7,9268.208,9975.593,21059.27157,19458.91962,0.19917555,0.205076236,-707.385
6,5/27/2021,A3,WT,100,16768.248,17573.326,3118.941,3481.584,170.69,6134.465,6546.109,14484.32577,13949.66092,0.240369076,0.223585435,-411.644
7,5/27/2021,A3,WT,100,30271.986,31317.686,5038.808,5157.253,246.74,11460.377,11748.027,26352.21678,25423.94613,0.195704712,0.198191421,-287.65
9,5/27/2021,A3,WT,100,14606.873,15157.475,2979.898,3104.771,199.42,5978.152,6207.822,12332.46019,11891.67818,0.251756012,0.250586835,-229.67
10,5/27/2021,A3,WT,100,28731.367,30795.531,4817.747,5152.126,133.51,10833.76,11539.114,25872.47256,24119.54669,0.199135432,0.199744509,-705.354
11,5/27/2021,A3,WT,100,25838.277,26685.777,4414.583,4483.361,121.68,10056.902,10212.848,22369.15455,21587.73663,0.200426037,0.204494944,-155.946
12,5/27/2021,A3,WT,100,24690.746,26099.369,4186.031,4431.916,219.7,10345.284,11020.931,21656.47663,20506.54561,0.204646216,0.204131455,-675.647
13,5/27/2021,A3,WT,100,30755.443,32335.992,5350.346,5541.654,224.77,12462.15,13023.963,26924.36241,25551.95112,0.205823035,0.209390898,-561.813
14,5/27/2021,A3,WT,100,30203.113,30876.922,5235.359,5274.629,150.41,11525.528,11715.18,25855.48443,25238.52241,0.204004261,0.207435242,-189.652
17,5/27/2021,A3,WT,100,26142.969,27547.59,4587.428,4850.697,540.8,10243.097,10743.528,22935.45027,21765.44373,0.211493428,0.210766574,-500.431
18,5/27/2021,A3,WT,100,17673.234,19269.029,3646.941,3938.338,114.92,6634.441,7306.397,15793.49443,14479.81148,0.249364573,0.251863845,-671.956
19,5/27/2021,A3,WT,100,14930.704,15701.711,3355.479,3503.556,239.98,6161.486,6524.88,12605.09912,11981.61779,0.277947517,0.280052248,-363.394
20,5/27/2021,A3,WT,100,18009.35,19188.822,3885.293,4106.797,633.75,6958.325,7468.005,15593.29864,14628.06296,0.263369355,0.265605433,-509.68
21,5/27/2021,A3,WT,100,15459.352,17026.604,3272.878,3642.742,792.61,6049.561,6743.322,13814.71956,12575.31007,0.263685555,0.260262211,-693.761
22,5/27/2021,A3,WT,100,21207.572,23912.758,3878.814,4339.043,118.3,8174.657,9119.515,19880.35736,17598.61575,0.218257797,0.220404494,-944.858
23,5/27/2021,A3,WT,100,31035.371,32809.98,5851.429,6100.085,556.01,11629.714,12251.177,27249.21132,25724.46797,0.223862809,0.227465501,-621.463
24,5/27/2021,A3,WT,100,26771.598,28084.453,4731.91,4933.95,336.31,10900.166,11391.603,23305.05493,22192.65416,0.21171158,0.213219652,-491.437
26,5/27/2021,A3,WT,100,16976.41,19108.02,3491.771,3855.286,177.45,7252.571,8202.267,15506.28769,13747.78288,0.248627272,0.253987936,-949.696
27,5/27/2021,A3,WT,100,19987.346,22243.674,4818.346,5152.917,263.64,7106.833,7851.045,18020.92944,16083.32435,0.28594069,0.299586447,-744.212
28,5/27/2021,A3,WT,100,33633.117,37858.043,5259.559,5819.187,199.42,12236.051,13590.279,32191.72088,28520.70104,0.180766571,0.184411982,-1354.228
29,5/27/2021,A3,WT,100,28035.938,29314.416,4732.292,4921.407,190.97,10461.549,10850.558,24644.46427,23540.12893,0.199696246,0.201030845,-389.009
31,5/27/2021,A3,WT,100,11943.727,13017.108,2912.194,3165.813,234.91,5018.417,5476.324,10298.72555,9446.76495,0.307398521,0.30827421,-457.907
32,5/27/2021,A3,WT,100,23895.621,26454.182,4230.894,4576.061,111.54,9189.591,10111.197,22107.74224,19907.22489,0.20698907,0.212530577,-921.606
33,5/27/2021,A3,WT,100,33829.328,33273.395,5378.721,5237.971,175.76,12538.471,12320.692,28156.33889,28596.29638,0.186031679,0.188091525,217.779
34,5/27/2021,A3,WT,100,14013.358,14422.123,3021.259,3144.84,136.89,5792.568,6009.049,11613.63849,11311.50281,0.270788522,0.267096163,-216.481
35,5/27/2021,A3,WT,100,18929.029,19072.406,3229.797,3191.681,116.61,7631.985,7751,15908.12507,15767.15944,0.200632129,0.204843302,-119.015
36,5/27/2021,A3,WT,100,17290.555,19271.676,3447.471,3778.483,402.22,7361.248,8155.185,15719.59486,14064.75825,0.240367709,0.245114131,-793.937
37,5/27/2021,A3,WT,100,35659.598,37798.324,5808.178,6078.116,218.01,13516.559,14254.271,31868.61103,30013.11745,0.190724221,0.193521316,-737.712
39,5/27/2021,A3,WT,100,25318.678,27912.414,4506.858,4848.73,620.23,9859.793,10824.117,23286.00487,21056.68259,0.20822507,0.21403457,-964.324
41,5/27/2021,A3,WT,100,18343.838,20405.338,3242.645,3505.468,104.78,7479.081,8155.452,16997.90408,15204.21076,0.206229426,0.213272826,-676.371
42,5/27/2021,A3,WT,100,11965.687,13353.642,2607.209,2850.03,113.23,4974.612,5594.88,10780.0989,9638.68995,0.264378836,0.270494125,-620.268
43,5/27/2021,A3,WT,100,23042.174,24024.139,3970.802,4079.977,145.34,9290.488,9713.779,20016.13318,19172.45622,0.203834425,0.207109718,-423.291
44,5/27/2021,A3,WT,100,19101.184,20484.994,3737.197,3960.441,256.88,6893.355,7420.454,16976.07401,15810.73214,0.23329546,0.236370901,-527.099
45,5/27/2021,A3,WT,100,18252.133,20402.293,3477.707,3741.173,126.75,6664.32,7362.813,17020.53684,15142.72749,0.219803467,0.229661863,-698.493
46,5/27/2021,A3,WT,100,10370.867,11326.481,2415.771,2677.663,140.27,4373.566,4839.084,8987.89365,8259.53083,0.297918857,0.292482836,-465.518
47,5/27/2021,A3,WT,100,16693.176,18124.969,3166.488,3404.906,270.4,6341.869,6894.794,15010.35796,13809.98225,0.226837095,0.229289795,-552.925
49,5/27/2021,A3,WT,100,19389.742,19913.223,3765.587,3847.291,348.14,7631.383,7824.534,16387.49731,15944.01812,0.234769894,0.236175534,-193.151
50,5/27/2021,A3,WT,100,22717.41,24323.543,3817.301,3987.446,140.27,8691.506,9276.373,20447.68575,19042.85433,0.195007203,0.200458447,-584.867
51,5/27/2021,A3,WT,100,35611.719,39885.402,4977.5,5399.174,155.48,12546.369,14022.152,34359.6309,30589.83389,0.157137136,0.162717458,-1475.783
52,5/27/2021,A3,WT,100,13504.447,14747.431,2933.773,3197.967,305.89,5448.293,5908.188,11929.95277,10914.37164,0.268062,0.268799075,-459.895
53,5/27/2021,A3,WT,100,16770.598,18204.959,3057.629,3332.68,163.93,7369.948,7938.866,14930.25406,13749.76451,0.223216563,0.222376827,-568.918
54,5/27/2021,A3,WT,100,10339.162,11208.897,2199.529,2356.573,114.92,4258.074,4628,9080.59331,8364.37757,0.259517514,0.262963859,-369.926
55,5/27/2021,A3,WT,100,17507.941,18907.045,3489.187,3663.645,261.95,7153.581,7776.207,15487.83382,14299.4915,0.236549865,0.244007768,-622.626
57,5/27/2021,A3,WT,100,20187.246,22477.416,3547.138,3910.539,109.85,8490.308,9328.846,18632.34959,16694.10434,0.209879005,0.212478485,-838.538
